V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
13,ALA_14,Gastrodia sesamoides,-42.016667,147.95,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Lake Leake Road, 4km E of Block and Stable Creek",Australia,AU,NA,12,1983,PRESERVED_SPECIMEN,HO,HO,HO72431,s.n.,"Pataczek, W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(147.95, -42.016667)",TRUE
26,ALA_27,Gastrodia sesamoides,-42.933333,147.25,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Near The Springs, Mt Wellington",Australia,AU,NA,1,1893,PRESERVED_SPECIMEN,HO,HO,HO114121,s.n.,"Rodway, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(147.25, -42.933333)",TRUE
39,ALA_44,Gastrodia sesamoides,-39.934444,144.1025,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"960 Pegarah Road, King Island.",Australia,AU,80,12,2009,PRESERVED_SPECIMEN,HO,HO,HO571557,s.n.,"Finzel, M.|Finzel, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(144.1025, -39.934444)",TRUE
116,ALA_128,Gastrodia procera,-41.9033554,146.9817383,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,G.W.Carr,Gunns Lake,Australia,AU,990,3,1989,PRESERVED_SPECIMEN,HO,HO,HO144485,17072,"Moscal, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88854,Gastrodia procera,Gastrodia,procera,G.W.Carr,Species,Accepted,NA,985763-1,88854,0,8,"c(146.9817383, -41.9033554)",TRUE
205,ALA_230,Gastrodia procera,-41.983333,145.466667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,G.W.Carr,Henty Bridge on Zeehan Highway,Australia,AU,120,1,1985,PRESERVED_SPECIMEN,HO,HO,HO406835,5549,"Buchanan, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88854,Gastrodia procera,Gastrodia,procera,G.W.Carr,Species,Accepted,NA,985763-1,88854,0,8,"c(145.466667, -41.983333)",TRUE
376,ALA_415,Gastrodia sesamoides,-43,146.916667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Southern road near Judbury, 2km from bridge",Australia,AU,NA,11,1929,PRESERVED_SPECIMEN,HO,HO,HO114112,s.n.,"Giblin, A.V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(146.916667, -43)",TRUE
403,ALA_447,Gastrodia procera,-43.4846936,146.8909935,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,G.W.Carr,South Cape Road,Australia,AU,160,12,1998,PRESERVED_SPECIMEN,HO,HO,HO500283,s.n.,"Wapstra, H.|Wapstra, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88854,Gastrodia procera,Gastrodia,procera,G.W.Carr,Species,Accepted,NA,985763-1,88854,0,8,"c(146.8909935, -43.4846936)",TRUE
408,ALA_454,Gastrodia sesamoides,-42.9,147.233333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Mt Wellington, forest road from The Falls to The Springs",Australia,AU,NA,2,1849,PRESERVED_SPECIMEN,HO,HO,HO502217,1261,"Milligan, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(147.233333, -42.9)",TRUE
467,ALA_518,Gastrodia sesamoides,-41.845636,147.483908,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Meadowbank, 8.9 km N of Campbell Town, 53.7 km SE of Launceston.",Australia,AU,240,11,2019,PRESERVED_SPECIMEN,HO,HO,HO606838,TCA007711,"Leitch, E.|Starkey, M.|Potter, T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(147.483908, -41.845636)",TRUE
808,ALA_905,Gastrodia sesamoides,-43.433333,146.966667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,Hyth [Southport],Australia,AU,NA,12,1958,PRESERVED_SPECIMEN,HO,HO,HO114114,s.n.,"Curtis, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(146.966667, -43.433333)",TRUE
843,ALA_951,Gastrodia sesamoides,-42.9062511,147.2962734,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Hobart, near entrance gate, lower Waterworks Res.",Australia,AU,140,11,2001,PRESERVED_SPECIMEN,HO,HO,HO519123,1159,"Gray, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(147.2962734, -42.9062511)",TRUE
878,ALA_990,Gastrodia sesamoides,-41.7753429,146.8373845,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,R.Br.,"Westons Rivulet, Drys Bluff",Australia,AU,950,1,1990,PRESERVED_SPECIMEN,HO,HO,HO144565,18324,"Moscal, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88859,Gastrodia sesamoides,Gastrodia,sesamoides,R.Br.,Species,Accepted,NA,635545-1,88859,0,5,"c(146.8373845, -41.7753429)",TRUE
898,ALA_1012,Gastrodia procera,-42.6127714,146.4792024,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Gastrodia,species,G.W.Carr,Florentine Valley (FO 020A),Australia,AU,430,1,2000,PRESERVED_SPECIMEN,HO,HO,HO528894,438,"French, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88854,Gastrodia procera,Gastrodia,procera,G.W.Carr,Species,Accepted,NA,985763-1,88854,0,8,"c(146.4792024, -42.6127714)",TRUE
