V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104401,GBIF_626,Gavilea litoralis,-51.519,-59.462,1056621436,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,(Phil.) M.N.Correa,Falkland islands (malvinas),NA,FK,NA,12,1949,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095620,Fa128/49,William Joseph Lambert Sladen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,88923,Gavilea litoralis,Gavilea,litoralis,(Phil.) M.N.Correa,Species,Accepted,NA,635573-1,88923,0,18,"c(-59.462, -51.519)",TRUE
136497,GBIF_61985,Gavilea glandulifera,-41.1403,-71.3014,1576151193,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Poepp.,"Parque Nacional Nahuel Huape; Bariloche, Cerro Otto.",NA,AR,NA,1,1947,PRESERVED_SPECIMEN,USF,Herb,28481,44434,Capurro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88919,Gavilea glandulifera,Gavilea,glandulifera,(Poepp. & Endl.) M.N.Correa,Species,Accepted,NA,107809-2,88919,21,5,"c(-71.3014, -41.1403)",TRUE
136817,GBIF_62308,Gavilea lutea,-41.1403,-71.3014,1576151203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,(Comm. ex Pers.) Skottsb.,Cerro Lopez al W de SC di Bariloche.,NA,AR,NA,1,1934,PRESERVED_SPECIMEN,USF,Herb,28490,6135,A. E. Burkart,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88925,Gavilea lutea,Gavilea,lutea,(Comm. ex Pers.) M.N.Correa,Species,Accepted,NA,107812-2,88925,10,17,"c(-71.3014, -41.1403)",TRUE
137035,GBIF_62532,Gavilea odoratissima,-41.0333,-62.7833,1576151202,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Poepp. & Endl.,Río Negro; Lago Moreus (Parque Nacional JV. Heufo)(?).,NA,AR,NA,11,1945,PRESERVED_SPECIMEN,USF,Herb,28498,660,R. Dizarba,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88927,Gavilea odoratissima,Gavilea,odoratissima,Poepp.,Species,Accepted,NA,635576-1,88927,8,5,"c(-62.7833, -41.0333)",TRUE
137676,GBIF_63190,Gavilea glandulifera,-34.8333,-70.55,1576151191,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Poepp.,Cajón de Los Helados.,NA,CL,NA,7,1951,PRESERVED_SPECIMEN,USF,Herb,28484,10197,M. Ricardi Salinas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88919,Gavilea glandulifera,Gavilea,glandulifera,(Poepp. & Endl.) M.N.Correa,Species,Accepted,NA,107809-2,88919,21,5,"c(-70.55, -34.8333)",TRUE
137718,GBIF_63234,Gavilea longibracteata,-36.8333,-71.7833,1576151194,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Lindl.,Atacalco; rio Diguillín.,NA,CL,NA,2,1946,PRESERVED_SPECIMEN,USF,Herb,28476,7558,F. Behn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88924,Gavilea longibracteata,Gavilea,longibracteata,(Lindl.) Sparre ex L.E.Navas,Species,Accepted,NA,907879-1,88924,22,5,"c(-71.7833, -36.8333)",TRUE
137905,GBIF_63426,Gavilea araucana,-38.0156,-73.2299,1576151199,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Phil.,Contulmo; Cerros Las Cruces.,NA,CL,NA,12,1949,PRESERVED_SPECIMEN,USF,Herb,28488,9285,M. Ricardi Salinas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88916,Gavilea araucana,Gavilea,araucana,(Phil.) M.N.Correa,Species,Accepted,NA,107806-2,88916,13,4,"c(-73.2299, -38.0156)",TRUE
137991,GBIF_63516,Gavilea lutea,-40.9256,-71.5151,1576151213,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,(Comm. ex Pers.) Skottsb.,Nahuel Huapi National Park; Nothofagus; at the Tronador.,NA,AR,NA,1,1951,PRESERVED_SPECIMEN,USF,Herb,28495,1234,K. Thomasson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88925,Gavilea lutea,Gavilea,lutea,(Comm. ex Pers.) M.N.Correa,Species,Accepted,NA,107812-2,88925,10,17,"c(-71.5151, -40.9256)",TRUE
138040,GBIF_63568,Gavilea longibracteata,-36.8733,-72.2872,1576151189,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Lindl.,Orillas del Rio Diguillin.,NA,CL,NA,11,1946,PRESERVED_SPECIMEN,USF,Herb,28477,s.n.,F. Behn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88924,Gavilea longibracteata,Gavilea,longibracteata,(Lindl.) Sparre ex L.E.Navas,Species,Accepted,NA,907879-1,88924,22,5,"c(-72.2872, -36.8733)",TRUE
138669,GBIF_64224,Gavilea glandulifera,-34.4548,-58.5398,1576151187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gavilea,SPECIES,Poepp.,Parque Nacional Nahuel Hualai; Isla Victoria.,NA,AR,NA,1,1946,PRESERVED_SPECIMEN,USF,Herb,28482,50276,P. Moreau,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,88919,Gavilea glandulifera,Gavilea,glandulifera,(Poepp. & Endl.) M.N.Correa,Species,Accepted,NA,107809-2,88919,21,5,"c(-58.5398, -34.4548)",TRUE
