V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
8290,ALA_10138,Genoplesium baueri,-34.9,150.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,2,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8909666.2,4781,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.6, -34.9)",TRUE
9265,ALA_11447,Genoplesium baueri,-34.3,150.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,2,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8808139.1,RGT282,"Riley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.6, -34.3)",TRUE
11006,ALA_13938,Genoplesium baueri,-33.7,151.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,1986,PRESERVED_SPECIMEN,CANB,CANB,CBG 8601184.1,4030,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(151.1, -33.7)",TRUE
11389,ALA_14445,Genoplesium baueri,-34.1,151,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,1986,PRESERVED_SPECIMEN,CANB,CANB,CBG 8601186.1,4032,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(151, -34.1)",TRUE
15744,ALA_20670,Genoplesium baueri,-34.1,151,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 650537.1,ORG1306,"Brinsley, W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(151, -34.1)",TRUE
16174,ALA_21307,Genoplesium baueri,-33.7,151.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,4,1964,PRESERVED_SPECIMEN,CANB,CANB,CBG 8104832.1,s.n.,"Whitehead, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(151.2, -33.7)",TRUE
16633,ALA_22044,Genoplesium baueri,-33.7,151.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9004853.1,DLJ5815,"Angus, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(151.3, -33.7)",TRUE
20311,ALA_28024,Genoplesium baueri,-34.4,150.7,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,1,1988,PRESERVED_SPECIMEN,CANB,CANB,CANB 1001644.1,s.n.,"Tunstall, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.7, -34.4)",TRUE
22224,ALA_31199,Genoplesium baueri,-34.6,150.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,4,1994,PRESERVED_SPECIMEN,CANB,CANB,CBG 9407714.2,DLJ12897,"Tunstall, R.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.2, -34.6)",TRUE
24458,ALA_35294,Genoplesium baueri,-34.9,150.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,1986,PRESERVED_SPECIMEN,CANB,CANB,CBG 8601111.1,49,"Tunstall, R.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.6, -34.9)",TRUE
24501,ALA_35380,Genoplesium baueri,-34.6,150.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,4,1994,PRESERVED_SPECIMEN,CANB,CANB,CBG 9517048.1,DLJ12897,"Tunstall, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.2, -34.6)",TRUE
25102,ALA_36448,Genoplesium baueri,-34.2,150.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,4,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 638702.2,18240,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.9, -34.2)",TRUE
25455,ALA_37066,Genoplesium baueri,-34.9,150.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,2001,PRESERVED_SPECIMEN,CANB,CANB,CANB 631112.1,17820,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.6, -34.9)",TRUE
25766,ALA_37676,Genoplesium baueri,-34.9,150.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Genoplesium,species,R.Br.,NA,Australia,AU,NA,3,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 638396.1,18221,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89161,Genoplesium baueri,Genoplesium,baueri,R.Br.,Species,Accepted,NA,635583-1,89161,0,5,"c(150.5, -34.9)",TRUE
