V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104442,GBIF_669,Gomesa ranifera,-22.510275,-42.989594,1056637231,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,(Lindl.) M.W.Chase & N.H.Williams,Serra dos Orgaos National Park (Organ Mountains),NA,BR,NA,3,1841,PRESERVED_SPECIMEN,NHMUK,BOT,BM000534489,s.n.,George Gardner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,457749,Gomesa ranifera,Gomesa,ranifera,(Lindl.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101302-1,457749,0,33,"c(-42.989594, -22.510275)",TRUE
110593,GBIF_14509,Gomesa paranensoides,-26.36667,-53.1,437320599,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Kraenzl.,NA,NA,BR,950,12,1964,PRESERVED_SPECIMEN,MNHN,P,P00437526,without-number,"Smith, L.B.;Klein, R.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457738,Gomesa paranensoides,Gomesa,paranensoides,M.W.Chase & N.H.Williams,Species,Accepted,NA,77102528-1,457738,21,1,"c(-53.1, -26.36667)",TRUE
111203,GBIF_15207,Gomesa gomezoides,-22.373889,-44.751944,4526414480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,"Estrada BR-485, próximo ao km 02.",NA,BR,NA,2,2014,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00840378,245,L.S.B. Calazans,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,91274,Gomesa gomezoides,Gomesa,gomezoides,(Barb.Rodr.) Pabst,Species,Accepted,NA,111623-2,91274,15,1,"c(-44.751944, -22.373889)",TRUE
111249,GBIF_15256,Gomesa riograndensis,-26.324444,-49.312778,4526419972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,"Rio Natal, trilho, próximo á CEPA.",NA,BR,NA,12,2013,PRESERVED_SPECIMEN,NA,FURB,FURB22770,137,"Schwirkowski, P.;",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457755,Gomesa riograndensis,Gomesa,riograndensis,(Cogn.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101308-1,457755,28,1,"c(-49.312778, -26.324444)",TRUE
111258,GBIF_15268,Gomesa concolor,-22.385278,-44.759444,4526420740,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,"Parque Nacional do Itatiaia. Planalto, próximo do Km 6.",NA,BR,NA,7,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00548738,52,F. F. V. A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457679,Gomesa concolor,Gomesa,concolor,(Hook.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101220-1,457679,29,1,"c(-44.759444, -22.385278)",TRUE
111283,GBIF_15294,Gomesa barbaceniae,-28.16,-49.620278,4526422963,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,Parque Nacional de São Joaquim.,NA,BR,NA,12,2014,PRESERVED_SPECIMEN,NA,FLOR,FLOR0061926,1632,"Trevisan, R.;et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457656,Gomesa barbaceniae,Gomesa,barbaceniae,(Lindl.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101186-1,457656,29,1,"c(-49.620278, -28.16)",TRUE
111284,GBIF_15295,Gomesa warmingii,-22.296944,-44.443889,4526423165,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,Trilha da Pedra Selada. Floresta Ombrófila Densa.,NA,BR,NA,2,2015,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB01097703,1149,L.J.T. Cardoso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457773,Gomesa warmingii,Gomesa,warmingii,(Rchb.f.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101324-1,457773,31,1,"c(-44.443889, -22.296944)",TRUE
111286,GBIF_15298,Gomesa recurva,-22.344444,-44.617778,4526423322,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,Trilha da Travessia Rancho Caído. Região de Visconde de Mauá/Maromba.,NA,BR,NA,5,2016,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB01121016,676,D.R.Gonzaga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,91285,Gomesa recurva,Gomesa,recurva,R.Br.,Species,Accepted,NA,635948-1,91285,11,1,"c(-44.617778, -22.344444)",TRUE
111303,GBIF_15316,Gomesa cornigera,-27.724167,-48.535,4526424308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,Parque Municipal da Lagoa do Peri.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,NA,FURB,FURB35863,1494,"Cadorin, T.J.;Grosch, B.,Zimmermann, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457680,Gomesa cornigera,Gomesa,cornigera,(Lindl.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101221-1,457680,29,1,"c(-48.535, -27.724167)",TRUE
111319,GBIF_15333,Gomesa ramosa,-20.520556,-41.100556,4526425437,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,SPECIES,Angiospermas,Topo do Forninho. Inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549205,2369,"C.N. Fraga;R.C. Forzza,R. Goldenberg",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457748,Gomesa ramosa,Gomesa,ramosa,(Lindl.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101301-1,457748,29,1,"c(-41.100556, -20.520556)",TRUE
