V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104358,GBIF_582,Gomphichis plantaginifolia,-16.3167,-67.9,1057568143,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,C.Schweinf.,Unduavi,NA,BO,NA,7,1950,PRESERVED_SPECIMEN,NHMUK,BOT,BM000061657,6592,Winifred Mary Adelaide Brooke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91404,Gomphichis plantaginifolia,Gomphichis,plantaginifolia,C.Schweinf.,Species,Accepted,NA,297318-2,91404,0,11,"c(-67.9, -16.3167)",TRUE
114378,GBIF_18576,Gomphichis crassilabia,0.6156,-77.7214,2464664045,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Garay,"Huaca. Parroquia Mariscal Sucre. Estación Biológica Guandera en la zona oriental en dirección sur-este, en el sendero que va al Río Bretaña, a 300 m del margen derecho del río. Transecto # 10.",NA,EC,NA,2,2000,PRESERVED_SPECIMEN,NY,NY,04092725,415,M. Mites,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91389,Gomphichis crassilabia,Gomphichis,crassilabia,Garay,Species,Accepted,NA,111820-2,91389,0,5,"c(-77.7214, 0.6156)",TRUE
114734,GBIF_18940,Gomphichis adnata,9.2297,-70.1725,1931318934,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,(Ridl.) Schltr.,14.3 km desde el poblado de Guaramacal vía a las antenas de telecomunicaciones,NA,VE,NA,12,2002,PRESERVED_SPECIMEN,NY,NY,00981484,2984,A. B. Alvarez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91380,Gomphichis adnata,Gomphichis,adnata,(Ridl.) Schltr.,Species,Accepted,NA,111811-2,91380,0,15,"c(-70.1725, 9.2297)",TRUE
115309,GBIF_19535,Gomphichis valida,-2.4775,-78.9606,1929460209,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Rchb.f.,"Carretera de ingreso al Lago Culebrillas, km 6.",NA,EC,NA,7,2000,PRESERVED_SPECIMEN,NY,NY,00981477,2705,A. B. Alvarez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91410,Gomphichis valida,Gomphichis,valida,Rchb.f.,Species,Accepted,NA,635987-1,91410,0,7,"c(-78.9606, -2.4775)",TRUE
115463,GBIF_19692,Gomphichis crassilabia,-4.4,-79.1,2464687723,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Garay,Parque Nacional Podocarpus. Cerro Toledo E of Yangana.,NA,EC,NA,2,1985,PRESERVED_SPECIMEN,NY,NY,04092726,58146,B. Øllgaard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91389,Gomphichis crassilabia,Gomphichis,crassilabia,Garay,Species,Accepted,NA,111820-2,91389,0,5,"c(-79.1, -4.4)",TRUE
128532,GBIF_53187,Gomphichis altissima,4.958056,-73.887972,4135867540,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Renz,Vereda La Esmeralda. Finca de Marco Tulio Cortés.,NA,CO,2861,7,2022,PRESERVED_SPECIMEN,Cenit Transporte y Logística de Hidrocarburos S.A.S. (CENIT),Herbario Federico Medem Bogotá del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (FMB),En proceso de catalogación,SAM_3953,Sandra Urbano;Aura Robles;Aldemar Guerrero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91382,Gomphichis altissima,Gomphichis,altissima,Renz,Species,Accepted,NA,111813-2,91382,0,4,"c(-73.887972, 4.958056)",TRUE
131035,GBIF_55757,Gomphichis valida,-2.793055,-79.28,1257537371,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Rchb. f.,"Carretera Cuenca-Molleturo-Naranjal, km 37.",NA,EC,3600,7,2000,PRESERVED_SPECIMEN,MO,Tropicos,100183304,2759,Aída Alvarez;Linder Suin;Juan Carlos Valenzuela,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,91410,Gomphichis valida,Gomphichis,valida,Rchb.f.,Species,Accepted,NA,635987-1,91410,1,5,"c(-79.28, -2.793055)",TRUE
133371,GBIF_58500,Gomphichis crassilabia,-4.4,-79.1,2517200210,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Garay,NA,NA,EC,NA,2,1985,PRESERVED_SPECIMEN,NA,Botany,U.1466498,"Øllgaard, B; et al. 58146",Øllgaard B; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91389,Gomphichis crassilabia,Gomphichis,crassilabia,Garay,Species,Accepted,NA,111820-2,91389,0,5,"c(-79.1, -4.4)",TRUE
137579,GBIF_63092,Gomphichis caucana,-4,-79.2333,1576158042,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Ames,Terrace 3-4 km W of Loja.,NA,EC,2425,2,1945,PRESERVED_SPECIMEN,USF,Herb,25627,22918,"F. R. Fosberg, M. A. Giler",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,91385,Gomphichis caucana,Gomphichis,caucana,Schltr.,Species,Accepted,NA,111816-2,91385,7,-1,"c(-79.2333, -4)",TRUE
138019,GBIF_63545,Gomphichis altissima,4.56667,-73.8333,1576158041,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomphichis,SPECIES,Renz,"Crest of Cerro de Fonté, district of Ferrolarada, 10 km NE of Choachí, Cordillera de Carinto.",NA,CO,2600,11,1943,PRESERVED_SPECIMEN,USF,Herb,25614,21384,F. R. Fosberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91382,Gomphichis altissima,Gomphichis,altissima,Renz,Species,Accepted,NA,111813-2,91382,0,4,"c(-73.8333, 4.56667)",TRUE
