V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110190,GBIF_14064,Gonatostylis vieillardii,-22.15556,166.90194,438965742,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,150,10,1986,PRESERVED_SPECIMEN,MNHN,P,P00143404,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(166.90194, -22.15556)",TRUE
110515,GBIF_14427,Gonatostylis vieillardii,-21.58732,165.93465,439299190,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,MNHN,P,P00121333,without-number,"Vieillard, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(165.93465, -21.58732)",TRUE
110540,GBIF_14455,Gonatostylis vieillardii,-21.60417,165.86306,436968035,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,850,11,1966,PRESERVED_SPECIMEN,MNHN,P,P00143414,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(165.86306, -21.60417)",TRUE
122721,GBIF_44020,Gonatostylis vieillardii,-21.82067,166.47317,2513805444,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,Auf den Hugeln bei Ngoye.,NA,NC,NA,10,1902,PRESERVED_SPECIMEN,NA,Botany,L.1508987,"Schlechter, FRR 15121",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(166.47317, -21.82067)",TRUE
129592,GBIF_54269,Gonatostylis vieillardii,-21.995,166.503333,4032163387,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb. f.) Schltr.,"Vallée de la Ni, versant opposé aux Mts Ouin, su le sentier de la scierie. Forêt humide. Ultramafique.",NA,NC,750,11,2003,PRESERVED_SPECIMEN,MO,Tropicos,103246184,127,A. Mouly;Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,1,11,"c(166.503333, -21.995)",TRUE
186363,GBIF_131974,Gonatostylis vieillardii,-20.613611,164.74,1258605477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb. f.) Schltr.,"Mt. Panié, above Haut Coulna, on SW forested slopes.",NA,NC,1155,10,1999,PRESERVED_SPECIMEN,MO,Tropicos,1383119,17833,Gordon McPherson;H. van der Werff,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,1,11,"c(164.74, -20.613611)",TRUE
232403,GBIF_191854,Gonatostylis bougainvillei,-21.433333,165.716667,1261361935,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,N. Hallé,"Along mining roads between Kouaoua and Poro; forest remnants c. 400 m, dominated by Araucaria rulei.",NA,NC,400,5,1983,PRESERVED_SPECIMEN,MO,Tropicos,646113,5706,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,91529,Gonatostylis bougainvillei,Gonatostylis,bougainvillei,N.Hallé,Species,Accepted,NA,635989-1,91529,1,5,"c(165.716667, -21.433333)",TRUE
237583,GBIF_197729,Gonatostylis vieillardii,-22.204444,166.877778,912402027,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,Branche Est du haut Creek Pernod,NA,NC,350,10,1979,PRESERVED_SPECIMEN,K,Herbarium,K000482511,37402,"Mackee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(166.877778, -22.204444)",TRUE
250288,GBIF_214872,Gonatostylis bougainvillei,-21.24167,165.12556,439192113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,N.Hallé,NA,NA,NC,800,7,1967,PRESERVED_SPECIMEN,MNHN,P,P00121330,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91529,Gonatostylis bougainvillei,Gonatostylis,bougainvillei,N.Hallé,Species,Accepted,NA,635989-1,91529,0,7,"c(165.12556, -21.24167)",TRUE
250424,GBIF_215034,Gonatostylis vieillardii,-22.16028,166.51361,437633492,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,NA,7,1951,PRESERVED_SPECIMEN,MNHN,P,P00143426,without-number,"Baumann-Bodenheim, M.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(166.51361, -22.16028)",TRUE
250942,GBIF_215684,Gonatostylis bougainvillei,-20.63461,164.3947,437825192,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,N.Hallé,NA,NA,NC,NA,5,1993,PRESERVED_SPECIMEN,MNHN,P,P00121327,without-number,"Bégaud, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91529,Gonatostylis bougainvillei,Gonatostylis,bougainvillei,N.Hallé,Species,Accepted,NA,635989-1,91529,0,7,"c(164.3947, -20.63461)",TRUE
250972,GBIF_215716,Gonatostylis vieillardii,-22.11667,166.6,438965745,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,850,11,1979,PRESERVED_SPECIMEN,MNHN,P,P00143396,without-number,"McPherson, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(166.6, -22.11667)",TRUE
250973,GBIF_215717,Gonatostylis vieillardii,-22.12222,166.60028,438632004,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,950,10,1956,PRESERVED_SPECIMEN,MNHN,P,P00143408,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(166.60028, -22.12222)",TRUE
251614,GBIF_216445,Gonatostylis vieillardii,-21.42639,165.4575,438632006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gonatostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,MNHN,P,P00143425,without-number,"Blanchon, J.P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,91530,Gonatostylis vieillardii,Gonatostylis,vieillardii,(Rchb.f.) Schltr.,Species,Accepted,NA,635990-1,91530,0,17,"c(165.4575, -21.42639)",TRUE
