V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104429,GBIF_656,Govenia tingens,-9.163761,-74.375627,1056768840,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,Lindl.,NA,NA,PE,NA,NA,1840,PRESERVED_SPECIMEN,NHMUK,BOT,BM000525991,3188,A Mathews,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92239,Govenia tingens,Govenia,tingens,Poepp. & Endl.,Species,Accepted,NA,636270-1,92239,10,4,"c(-74.375627, -9.163761)",TRUE
111420,GBIF_15439,Govenia utriculata,-20.403889,-41.019167,4526432479,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,Angiospermas,Parque Estadual da Pedra Azul.,NA,BR,NA,1,1992,PRESERVED_SPECIMEN,NA,MBML,MBML006240,101,L. Kollmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92240,Govenia utriculata,Govenia,utriculata,(Sw.) Lindl.,Species,Accepted,NA,636271-1,92240,12,-1,"c(-41.019167, -20.403889)",TRUE
113387,GBIF_17551,Govenia liliacea,19.591667,-104.263889,1893959635,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(Lex.) Lindl., 1835","Puerto de San Campús, Estación Científica Las Joyas",NA,MX,990,7,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,747,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92225,Govenia liliacea,Govenia,liliacea,(Lex.) Lindl.,Species,Accepted,NA,1092235-2,92225,6,13,"c(-104.263889, 19.591667)",TRUE
113399,GBIF_17563,Govenia superba,19.591667,-104.263889,1893962869,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832","Puerto de San Campús, Estación Científica Las Joyas",NA,MX,990,7,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,227,without-number,José Antonio Vázquez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-104.263889, 19.591667)",TRUE
113435,GBIF_17602,Govenia superba,19.588611,-104.267222,1893962759,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832","Estación Científica Las Joyas, 17-18 km al E de Casimiro Castillo",NA,MX,900,7,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,5712,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-104.267222, 19.588611)",TRUE
113439,GBIF_17606,Govenia superba,19.445278,-103.95,1893962757,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832",1-1.5 km al O de El Terrero,NA,MX,1000,8,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,9337,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-103.95, 19.445278)",TRUE
113453,GBIF_17620,Govenia superba,19.449167,-103.95,1893962781,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832","3 km NO de El Terrero, 13-14 km al NE de Minatitlán",NA,MX,1150,8,1994,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,21276,without-number,Francisco Javier Santana Michel; Enrique Valente Sánchez Rodríguez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-103.95, 19.449167)",TRUE
113458,GBIF_17625,Govenia superba,19.591667,-104.275,1893962801,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832","Los Asoleaderos del Tlacuache, Estación Científica Las Joyas",NA,MX,1960,8,1990,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16483,without-number,Bertha Alicia Pérez Solís,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-104.275, 19.591667)",TRUE
113481,GBIF_17651,Govenia superba,19.591667,-104.291667,1893962779,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832","1 km adelante de Cuatro Caminos, por la brecha que va a Las Galeras, Estación Científica Las Joyas",NA,MX,975,8,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,891,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-104.291667, 19.591667)",TRUE
113508,GBIF_17683,Govenia superba,19.426667,-103.973333,1893962826,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Govenia,SPECIES,"(La Llave & Lex.) Lindl., 1832","8 km de El Sauz por el camino a El Terrero, 9-10 km al ENE de Minatitlán",NA,MX,900,7,1996,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16998,without-number,Francisco Javier Santana Michel; Bruce Benz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92237,Govenia superba,Govenia,superba,(Lex.) Lindl.,Species,Accepted,NA,636268-1,92237,17,12,"c(-103.973333, 19.426667)",TRUE
