V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129398,GBIF_54072,Grammangis ellisii,-18.8625,48.316945,4031352312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Region Alaotra Mangoro, District Moramanga.",NA,MG,1056,11,2012,PRESERVED_SPECIMEN,MO,Tropicos,102853037,626A1812/2,Ambatovy Spirit Collection;Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.316945, -18.8625)",TRUE
173396,GBIF_116614,Grammangis ellisii,-18.827222,48.338333,4062154891,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,Ambatovy: Région Alotra-Mangoro; District Moramanga.,NA,MG,1073,5,2018,PRESERVED_SPECIMEN,NA,Tropicos,101078799,7412,Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.338333, -18.827222)",TRUE
173562,GBIF_116783,Grammangis ellisii,-18.800278,48.334722,3946800393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Région Alaotra-Mangoro, District Moramanga.",NA,MG,1090,11,2020,PRESERVED_SPECIMEN,K,Tropicos,101345899,4196A7799/1,Ambatovy Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.334722, -18.800278)",TRUE
173652,GBIF_116878,Grammangis ellisii,-18.804167,48.321389,4061138695,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Région Alaotra Mangoro, District Moramanga.",NA,MG,1021,3,2022,PRESERVED_SPECIMEN,NA,Tropicos,101404943,8808,Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.321389, -18.804167)",TRUE
174109,GBIF_117386,Grammangis ellisii,-18.8225,48.333333,4062004732,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Région Alaotra- Mangoro, District Moramanga.",NA,MG,1105,10,2016,PRESERVED_SPECIMEN,TAN,Tropicos,102991185,6484/1,Ambatovy Spirit Collection;Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.333333, -18.8225)",TRUE
175341,GBIF_118672,Grammangis ellisii,-24.850556,47.005556,1257656875,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Taolagnaro, Mahatalaky, Farafara Vatanibe.",NA,MG,135,11,2009,PRESERVED_SPECIMEN,TAN,Tropicos,100307189,4512,Charles Rakotovao;Razafindradika;P. Alvares;J. Octave;P. Maka,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(47.005556, -24.850556)",TRUE
175413,GBIF_118747,Grammangis ellisii,-18.847222,48.275,4061102274,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Région Alaotra-Mangoro, District Moramanga.",NA,MG,942,2,2012,PRESERVED_SPECIMEN,NA,Tropicos,100478490,693,Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.275, -18.847222)",TRUE
175479,GBIF_118817,Grammangis ellisii,-18.8625,48.316945,1257928413,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Region Alaotra Mangoro, District Moramanga.",NA,MG,1056,11,2012,PRESERVED_SPECIMEN,K,Tropicos,100584177,1812,Ambatovy Spirit Collection;Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.316945, -18.8625)",TRUE
175834,GBIF_119183,Grammangis ellisii,-18.821111,48.328333,4061111921,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,Ambatovy: Région Aloatra-Mangoro; District Moramanga.,NA,MG,1116,5,2017,PRESERVED_SPECIMEN,NA,Tropicos,101047165,6775,Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.328333, -18.821111)",TRUE
175977,GBIF_119333,Grammangis ellisii,-18.8225,48.333333,3128980321,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammangis,SPECIES,(Lindl.) Rchb. f.,"Ambatovy: Région Alaotra- Mangoro, District Moramanga.",NA,MG,1105,11,2016,PRESERVED_SPECIMEN,K,Tropicos,101282395,3190A6484/1,Ambatovy Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92251,Grammangis ellisii,Grammangis,ellisii,(Lindl.) Rchb.f.,Species,Accepted,NA,636274-1,92251,1,14,"c(48.333333, -18.8225)",TRUE
