V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104127,GBIF_344,Grammatophyllum speciosum,3.4689,114.5464,1057451952,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,NA,NA,MY,NA,11,1894,PRESERVED_SPECIMEN,NHMUK,BOT,BM000532728,122,Charles Hose,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(114.5464, 3.4689)",TRUE
107652,GBIF_10890,Grammatophyllum speciosum,-1.85,106.13333,2513811913,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,"Archipel. Ind. Bangka, Soengei Liat.",NA,ID,NA,11,1917,PRESERVED_SPECIMEN,NA,Botany,L.1515544,"Bünnemeijer, HAB 1877",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(106.13333, -1.85)",TRUE
107653,GBIF_10891,Grammatophyllum scriptum,-3.65912,128.17748,2513812889,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,(L.) Blume,Amboina [Ambon],NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1515586,"Forsten, EA s.n.",Forsten EA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,0,10,"c(128.17748, -3.65912)",TRUE
107654,GBIF_10892,Grammatophyllum multiflorum,12.70139,124.03861,2513813701,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Lindl.,"Philippines, Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.",NA,PH,NA,8,1916,PRESERVED_SPECIMEN,NA,Botany,L.1515605,"Elmer, ADE 15417",Elmer ADE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92277,Grammatophyllum multiflorum,Grammatophyllum,multiflorum,Lindl.,Species,Accepted,NA,636295-1,92277,0,6,"c(124.03861, 12.70139)",TRUE
115178,GBIF_19402,Grammatophyllum kinabaluense,6.04158,116.49704,1928457258,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Ames & C.Schweinf.,"Mount Kinabalu, Kiau",NA,MY,914.4,11,1915,PRESERVED_SPECIMEN,NY,NY,8864,55,J. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92272,Grammatophyllum kinabaluense,Grammatophyllum,kinabaluense,Ames & C.Schweinf.,Species,Accepted,NA,636291-1,92272,0,18,"c(116.49704, 6.04158)",TRUE
123399,GBIF_44751,Grammatophyllum scriptum,-0.9,130.56667,2513813156,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,(L.) Blume,"Netherlands New Guinea, distr. Radjah Ampat, Batanta Island, Marchesa Bay, Amdoei village, beach west of village.",NA,ID,NA,4,1954,PRESERVED_SPECIMEN,NA,Botany,L.1515565,"Royen, P van 3314",Royen P van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,0,10,"c(130.56667, -0.9)",TRUE
123937,GBIF_45336,Grammatophyllum speciosum,2.2,102.25,2513313453,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,Malacca.,NA,MY,NA,NA,1844,PRESERVED_SPECIMEN,NA,Botany,L  0820089,"Griffith, W s.n.",Griffith W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(102.25, 2.2)",TRUE
124232,GBIF_45646,Grammatophyllum multiflorum,12.70139,124.03861,2517478100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Lindl.,"Philippines, Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.",NA,PH,NA,8,1916,PRESERVED_SPECIMEN,NA,Botany,U.1466293,"Elmer, ADE 16847",Elmer ADE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92277,Grammatophyllum multiflorum,Grammatophyllum,multiflorum,Lindl.,Species,Accepted,NA,636295-1,92277,0,6,"c(124.03861, 12.70139)",TRUE
132607,GBIF_57651,Grammatophyllum scriptum,-0.1723,130.8248,2513811051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,(L.) Blume,"Eiland Rawak, ten rechte: Lawak, eilandje aan N.Kust van Waigeo.",NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1515566,"Gaudichaud, C s.n.",Gaudichaud C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,0,10,"c(130.8248, -0.1723)",TRUE
132901,GBIF_57980,Grammatophyllum speciosum,5.4,117.46667,2513193100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,Kota Kinabatanga,NA,MY,NA,9,1990,PRESERVED_SPECIMEN,NA,Botany,L  0283549,"Sundaling, D SAN 124591",Sundaling D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(117.46667, 5.4)",TRUE
133696,GBIF_58862,Grammatophyllum scriptum,-3.65912,128.17748,2513812063,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,(L.) Blume,Amboina.,NA,ID,NA,7,1913,PRESERVED_SPECIMEN,NA,Botany,L.1515564,"Robinson, CB Rumph. 6",Robinson CB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,0,10,"c(128.17748, -3.65912)",TRUE
135224,GBIF_60572,Grammatophyllum scriptum,-2.87129,128.39617,2513813061,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,(L.) Blume,"Archipel. Ind. N.W.Ceram, Tusschen Noniali en Sanimala. [Seram]",NA,ID,NA,10,1918,PRESERVED_SPECIMEN,NA,Botany,L.1515561,"Rutten, LMR 1780",Rutten LMR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,0,10,"c(128.39617, -2.87129)",TRUE
136783,GBIF_62274,Grammatophyllum scriptum,11.3833,124.483,1576158393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,(L.) Blume,"Jaro, Buenavista, Island of Leyte.",NA,PH,500,6,1914,PRESERVED_SPECIMEN,USF,Herb,26983,421,C. A. Wenzel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,0,10,"c(124.483, 11.3833)",TRUE
151637,GBIF_83249,Grammatophyllum scriptum,-9.577286,160.145565,2251712870,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,Guadalcanal.,NA,SB,NA,12,1940,PRESERVED_SPECIMEN,NY,NY,04070223,1,G. E. Petersen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92288,Grammatophyllum scriptum,Grammatophyllum,scriptum,(L.) Blume,Species,Accepted,NA,636307-1,92288,5,5,"c(160.145565, -9.577286)",TRUE
159634,GBIF_99471,Grammatophyllum speciosum,-0.75,112.78333,2513812941,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,"Borneo, Bukit Raya.",NA,ID,NA,11,1983,PRESERVED_SPECIMEN,NA,Botany,L.1515533,"Nooteboom, HP 4800",Nooteboom HP,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(112.78333, -0.75)",TRUE
159635,GBIF_99472,Grammatophyllum speciosum,4.33333,101.33333,2513811229,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,"NE of Tapah, Perak.",NA,MY,NA,11,1982,PRESERVED_SPECIMEN,NA,Botany,L.1515573,"Avé, W 235",Avé W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(101.33333, 4.33333)",TRUE
159636,GBIF_99473,Grammatophyllum speciosum,-3.96667,103.8,2513811609,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grammatophyllum,SPECIES,Blume,"S.Sumatra, Barisan Range, Seleman Enim, c.16km S. of Tanjungenim.",NA,ID,NA,3,1972,PRESERVED_SPECIMEN,NA,Botany,L.1515575,"Vogel, EF de 1281",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92295,Grammatophyllum speciosum,Grammatophyllum,speciosum,Blume,Species,Accepted,NA,636310-1,92295,0,5,"c(103.8, -3.96667)",TRUE
