V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107114,GBIF_10335,Graphorkis lurida,5.4,-4.13333,2517443028,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,Anguededou Forest.,NA,CI,NA,1,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1136536,"Koning, J de 5119",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(-4.13333, 5.4)",TRUE
108162,GBIF_11420,Graphorkis lurida,-1.88333,28.45,2515691211,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,"vers km 110, route Kavumu-Walikale, Irangi réserve IRSAC.",NA,CD,NA,7,1958,PRESERVED_SPECIMEN,NA,Botany,WAG.1136522,"Troupin, GMDJ 7755",Troupin GMDJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(28.45, -1.88333)",TRUE
108163,GBIF_11421,Graphorkis lurida,0.2,6.7,2515590505,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,Agua Casaela.,NA,ST,NA,10,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1136524,"Laan, FM van der 200",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(6.7, 0.2)",TRUE
129622,GBIF_54300,Graphorkis lurida,0.05,32.466667,4031937617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,Near Hoima,NA,UG,NA,NA,1905,PRESERVED_SPECIMEN,MO,Tropicos,103271807,881,A.W.G. Bagshawe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(32.466667, 0.05)",TRUE
133211,GBIF_58331,Graphorkis lurida,5.35,-3.86667,2515815162,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,Jardin botanique de Bingerville.,NA,CI,NA,1,1957,PRESERVED_SPECIMEN,NA,Botany,WAG.1136543,"Wilde, JJFE de 1033",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(-3.86667, 5.35)",TRUE
134091,GBIF_59314,Graphorkis lurida,0.2,6.7,2517431904,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,Agua Casaela.,NA,ST,NA,1,1981,PRESERVED_SPECIMEN,NA,Botany,WAG.1136520,"Setten, K van 646",Setten K van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(6.7, 0.2)",TRUE
141725,GBIF_67511,Graphorkis concolor,-18.85167,48.30806,1135445350,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,NA,"Madagascar, Toamasina, Moramanga area, Ambatovy, 1128 - m, 18°51' 6''S, 48°18' 29''E",NA,MG,1128,11,2002,PRESERVED_SPECIMEN,WU,Herbarium WU,0063801,O00B543-1,"Fischer,G. et al. O00B543-1;Fischer,G., Sieder,A. & Andriantiana,J.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92334,Graphorkis concolor,Graphorkis,concolor,(Thouars) Kuntze,Species,Accepted,NA,636338-1,92334,16,-1,"c(48.30806, -18.85167)",TRUE
158733,GBIF_98380,Graphorkis lurida,2.81667,11.13333,2517651895,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,"Station du Cacaoyer de N'koemvone, S. of Ebolowa, 14 km on the road to Ambam.",NA,CM,NA,12,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1136525,"Wilde, JJFE de 7849 A",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(11.13333, 2.81667)",TRUE
159300,GBIF_99098,Graphorkis lurida,7.25,-3.01667,2517625496,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,NA,NA,CI,NA,12,1978,PRESERVED_SPECIMEN,NA,Botany,WAG0139539,"Dekker, AJFM s.n.",Dekker AJFM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(-3.01667, 7.25)",TRUE
159837,GBIF_99709,Graphorkis lurida,6.26667,-10.66667,2515841322,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Graphorkis,SPECIES,(Sw.) Kuntze,"Duport, c. 8 miles east of Monrovia, Porrohbush.",NA,LR,NA,1,1967,PRESERVED_SPECIMEN,NA,Botany,WAG.1136534,"Bos, JJ 2617",Bos JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92367,Graphorkis lurida,Graphorkis,lurida,(Sw.) Kuntze,Species,Accepted,NA,636369-1,92367,0,12,"c(-10.66667, 6.26667)",TRUE
