V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113672,GBIF_17860,Greenwoodiella micrantha,19.608333,-104.208333,1893966594,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"A. Rich. & Galeotti, 1845","Cerro Alto Las Yeguas, 1 km al S de Manantlán",NA,MX,737.5,1,1985,PRESERVED_SPECIMEN,UW,WIS,NO DISPONIBLE,without-number,Theodore Cochrane; Emmet Judziewicz; Rafael Guzmán Mejía,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,25,2,"c(-104.208333, 19.608333)",TRUE
141986,GBIF_67777,Greenwoodiella micrantha,28.2091034,-108.2139703,1895366977,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"A. Rich. & Galeotti, 1845","Cascada de Basaseachic, at the confluence of Río Basaseachic and Río Durazno, ca 2 mi S of Village of Basasechic, just upstream from footbridge",NA,MX,2050,4,1986,PRESERVED_SPECIMEN,CNS-UT,TEX,00111771,without-number,G. Nesom; R. Spellenberg; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,25,2,"c(-108.2139703, 28.2091034)",TRUE
142215,GBIF_68024,Greenwoodiella micrantha,18.989303,-97.678039,1895366916,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"A. Rich. & Galeotti, 1845","San Miguel, 5 Km al S de Zapotitlán, Mpio Huixilan",NA,MX,355,4,1985,PRESERVED_SPECIMEN,CNS-UT,TEX,00111770,without-number,P. Tenorio L.; J. Grimes; M. Martínez A.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,25,2,"c(-97.678039, 18.989303)",TRUE
163350,GBIF_103663,Greenwoodiella micrantha,23.1,-99.186667,2629523454,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"R. González, 1992","Rancho El Cielo, 11 km al NW de Gómez Farías",NA,MX,1060,4,1990,PRESERVED_SPECIMEN,INECOL,XAL,K422669,without-number,S. Zamudio R.; A. Contreras H.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,23,1,"c(-99.186667, 23.1)",TRUE
167353,GBIF_108206,Greenwoodiella micrantha,20.900637,-99.504212,2629431691,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"(Lindl.) Schltr., 1920","Km 19 carr. San Joaquín-La Mora, cerca de Casa de Máquinas",NA,MX,975,3,1994,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00004057,without-number,S. Zamudio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,20,4,"c(-99.504212, 20.900637)",TRUE
167407,GBIF_108270,Greenwoodiella micrantha,21.16112,-99.7005,2629441392,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"(Lindl.) Schltr., 1920",Cerro de Las Antenas,NA,MX,1525,4,1991,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00004056,without-number,H. Díaz; E. Carranza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,20,4,"c(-99.7005, 21.16112)",TRUE
182504,GBIF_127847,Greenwoodiella wercklei,13.049722,-85.977222,4031633421,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,(Schltr.) Salazar & R. Jiménez,6.6 km S of Jinotega along highway to Matagalpa; cloud forest patches on steep rocky slopes,NA,NI,1470,2,2008,PRESERVED_SPECIMEN,MO,Tropicos,102401715,27097,W. D. Stevens;O. M. Montiel J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525632,Greenwoodiella wercklei,Greenwoodiella,wercklei,(Schltr.) Salazar & R.Jiménez,Species,Accepted,NA,77160021-1,525632,1,22,"c(-85.977222, 13.049722)",TRUE
184770,GBIF_130240,Greenwoodiella micrantha,17.083333,-96.464722,1258009155,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,Schltr.,15 miles beyond Diaz Ordaz. Road to Cuajimoloyas.,NA,MX,2735,3,1980,PRESERVED_SPECIMEN,MO,Tropicos,100668191,924,Pamela Balogh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,23,1,"c(-96.464722, 17.083333)",TRUE
239150,GBIF_199431,Greenwoodiella micrantha,18.9610916,-99.2506188,3308416139,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"(A. Rich. & Galeotti) Schltr., 1920","Tetela del Monte, lomas",NA,MX,NA,4,1955,PRESERVED_SPECIMEN,IBUNAM,MEXU,663449,without-number,Ernest Lyonnet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,29,2,"c(-99.2506188, 18.9610916)",TRUE
239599,GBIF_199913,Greenwoodiella micrantha,28.5,-108.5,3307857767,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Greenwoodiella,SPECIES,"(A. Rich. & Galeotti) Schltr., 1920",Nabogame,NA,MX,1800,4,1987,PRESERVED_SPECIMEN,IBUNAM,MEXU,727931,without-number,J. E. Laferriére,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,525752,Greenwoodiella micrantha,Greenwoodiella,micrantha,(Lex.) Salazar & R.Jiménez,Species,Accepted,NA,77160019-1,525752,29,2,"c(-108.5, 28.5)",TRUE
