V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106369,GBIF_9564,Grosourdya emarginata,-6.35,106.47,2513785925,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Schuit.,NA,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1487753,Unknown s.n.,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92741,Grosourdya emarginata,Grosourdya,emarginata,(Blume) Rchb.f.,Species,Accepted,NA,636427-1,92741,4,8,"c(106.47, -6.35)",TRUE
107651,GBIF_10889,Grosourdya incurvicalcar,-2.6,120.23333,2513813393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(J.J.Sm.) Garay,Road Malili to Soroako,NA,ID,NA,NA,2004,PRESERVED_SPECIMEN,NA,Botany,L.1515483,Hort Bot Singapore SBGO 5163,Hort Bot Singapore,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92743,Grosourdya incurvicalcar,Grosourdya,incurvicalcar,(J.J.Sm.) Garay,Species,Accepted,NA,636429-1,92743,0,15,"c(120.23333, -2.6)",TRUE
123122,GBIF_44450,Grosourdya emarginata,-7.56667,107.7,2513786277,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Schuit.,"Batavia (Buitenzorg), G. Tjipoetih (bij Nangèla; ZW v. Poerasèda-Leuwiliang.",NA,ID,NA,2,1929,PRESERVED_SPECIMEN,NA,Botany,L.1487752,"Bakhuizen van den Brink Sr, RC 7072",Bakhuizen van den Brink Sr RC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92741,Grosourdya emarginata,Grosourdya,emarginata,(Blume) Rchb.f.,Species,Accepted,NA,636427-1,92741,4,8,"c(107.7, -7.56667)",TRUE
125647,GBIF_47187,Grosourdya appendiculata,18.252013,109.504134,1303970293,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,NA,浩壁岭山腰,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,00fd263c-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92738,Grosourdya appendiculata,Grosourdya,appendiculata,(Blume) Rchb.f.,Species,Accepted,NA,636426-1,92738,15,-1,"c(109.504134, 18.252013)",TRUE
132334,GBIF_57343,Grosourdya emarginata,-2.05,101.3,2513787489,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Schuit.,"Barisan Range, Road Tapa-Sungai Penuh.",NA,ID,NA,3,1974,PRESERVED_SPECIMEN,NA,Botany,L.1487751,"Vogel, EF de 2970",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92741,Grosourdya emarginata,Grosourdya,emarginata,(Blume) Rchb.f.,Species,Accepted,NA,636427-1,92741,4,8,"c(101.3, -2.05)",TRUE
135223,GBIF_60571,Grosourdya appendiculata,1,124.58333,2513813417,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Rchb.f.,"N.Celebes, Minahassa.",NA,ID,NA,10,1973,PRESERVED_SPECIMEN,NA,Botany,L.1515479,"Gandawidjaja, D 217",Gandawidjaja D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92738,Grosourdya appendiculata,Grosourdya,appendiculata,(Blume) Rchb.f.,Species,Accepted,NA,636426-1,92738,0,15,"c(124.58333, 1)",TRUE
138757,GBIF_64316,Grosourdya tripercus,11.1873,124.916,1503271194,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,Ames,"Tacloban, Tigbao.",NA,PH,NA,2,1916,PRESERVED_SPECIMEN,USF,Herb,26960,968,C. A. Wenzel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,92748,Grosourdya tripercus,Grosourdya,tripercus,(Ames) Garay,Species,Accepted,NA,636434-1,92748,8,4,"c(124.916, 11.1873)",TRUE
159633,GBIF_99470,Grosourdya appendiculata,-6.55472,106.70083,2513813422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Rchb.f.,"Archipel. Ind. Buitenzorg, Tjampea.",NA,ID,NA,NA,1905,PRESERVED_SPECIMEN,NA,Botany,L.1515472,"Smith, JJ s.n.",Smith JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92738,Grosourdya appendiculata,Grosourdya,appendiculata,(Blume) Rchb.f.,Species,Accepted,NA,636426-1,92738,0,15,"c(106.70083, -6.55472)",TRUE
164254,GBIF_104685,Grosourdya appendiculata,-6.53333,106.38333,2513812500,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Rchb.f.,"W.Java, Dungus Iwul Nature Reserve.",NA,ID,NA,4,1972,PRESERVED_SPECIMEN,NA,Botany,L.1515476,"Vogel, EF de 1350",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92738,Grosourdya appendiculata,Grosourdya,appendiculata,(Blume) Rchb.f.,Species,Accepted,NA,636426-1,92738,0,15,"c(106.38333, -6.53333)",TRUE
165034,GBIF_105634,Grosourdya appendiculata,15.1,98.46667,2513815599,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Grosourdya,SPECIES,(Blume) Rchb.f.,"Siam, Kwae Noi Basin, near Neeckey (near Wangka).",NA,TH,NA,5,1946,PRESERVED_SPECIMEN,NA,Botany,L.1515469,"Bloembergen, S Khwae Noi 625",Bloembergen S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,92738,Grosourdya appendiculata,Grosourdya,appendiculata,(Blume) Rchb.f.,Species,Accepted,NA,636426-1,92738,0,15,"c(98.46667, 15.1)",TRUE
