V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128942,GBIF_53605,Guanchezia maguirei,4.416667,-65.533333,1261350914,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,C. Schweinf.,"Departamento Atures. Serranía Parú, planicie central, SW sector, open savanna and forest patches.",NA,VE,1225,3,1991,PRESERVED_SPECIMEN,MO,Tropicos,634244,4979,Paul E. Berry;Otto Huber;Judith Rosales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,26,8,"c(-65.533333, 4.416667)",TRUE
130166,GBIF_54861,Guanchezia maguirei,1.43333,-65.78333,1261385163,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,"RIO NEGRO: Cerro Aracamuni, summit. Popa camp. Savanna with small to large patches of forest and stream.",NA,VE,1550,10,1987,PRESERVED_SPECIMEN,MO,Tropicos,669968,22176,Ronald L. Liesner;Franciso  Delascio C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-65.78333, 1.43333)",TRUE
130992,GBIF_55711,Guanchezia maguirei,3.466667,-65.583333,1260164800,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,Dpto. Atabapo. Parque Nacional Duida Marahuaka. Macizo del Duida; Savanna Hills. Lomas lateríticas.,NA,VE,1650,4,1991,PRESERVED_SPECIMEN,MO,Tropicos,2812640,8016,Ángel Fernández;Basil Stergios;Thomas.J. Givnish;Vicki A. Funk;Oscar Contreras,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-65.583333, 3.466667)",TRUE
189297,GBIF_135113,Guanchezia maguirei,0.846667,-66.091667,1261356994,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,"Neblina Massif, south-facing slope at the mouth of Canyon Grande, N of Puerto Chimo.",NA,VE,375,7,1984,PRESERVED_SPECIMEN,MO,Tropicos,640764,27382,Gerrit Davidse;James S. Miller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-66.091667, 0.846667)",TRUE
233689,GBIF_193197,Guanchezia maguirei,1.4,-65.63333,1261385295,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,"RIO NEGRO: Slope of Cerro Aracamuni. Quebrada camp. Laja area, low open forest.",NA,VE,600,10,1987,PRESERVED_SPECIMEN,MO,Tropicos,670079,22302,Ronald L. Liesner;Germán Carnevali,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-65.63333, 1.4)",TRUE
290090,GBIF_287503,Guanchezia maguirei,0.9,-66.066667,1261378907,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,Camp III. Neblina and Massif. NW Plateau (Arm) 13.5 km ENE of Cerro de La Neblina Base Camp.,NA,VE,1800,2,1984,PRESERVED_SPECIMEN,MO,Tropicos,663782,16009,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-66.066667, 0.9)",TRUE
384631,GBIF_422960,Guanchezia maguirei,5.1,-67.4,1260286075,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,"Dpto. Atures. Areniscas del Cerro Cuao, caño Cabeza de Manteco. 73 km al SE de Puerto Ayacucho.",NA,VE,1580,9,1989,PRESERVED_SPECIMEN,MO,Tropicos,2922784,3099,Elio Sanoja;Ángel Fernández;Manuel Yánez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-67.4, 5.1)",TRUE
415002,GBIF_473525,Guanchezia maguirei,5.1,-67.4,1260164745,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,"Dpto Atures: Areniscas del Cerro Cuao, Caño, Cabeza de Manteco, 73 km SE de Pto. Ayacucho.",NA,VE,1580,9,1989,PRESERVED_SPECIMEN,MO,Tropicos,2812621,6230,Ángel Fernández;Elio Sanoja;Manuel Yánez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-67.4, 5.1)",TRUE
447865,GBIF_516445,Guanchezia maguirei,1.43333,-65.78333,2515475331,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,C.Schweinf.,"Terr. Fed. Amazonas, Dpto. Rio Negro: Cerro Aracamuni, summit, Popa camp.",NA,VE,NA,10,1987,PRESERVED_SPECIMEN,NA,Botany,U.1457948,"Liesner, RL; Delascio, F 22108",Liesner RL; Delascio F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,25,10,"c(-65.78333, 1.43333)",TRUE
490456,GBIF_579540,Guanchezia maguirei,1.43333,-65.78333,1261385027,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guanchezia,SPECIES,(C. Schweinf.) G.A. Romero & Carnevali,"RIO NEGRO: Cerro Aracamuni, summit. Popa camp. Savanna with small to large patches of forest and stream.",NA,VE,1550,10,1987,PRESERVED_SPECIMEN,MO,Tropicos,669840,22108,Ronald L. Liesner;Franciso  Delascio C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247362,Guanchezia maguirei,Guanchezia,maguirei,(C.Schweinf.) G.A.Romero & Carnevali,Species,Accepted,NA,1116811-2,247362,2,18,"c(-65.78333, 1.43333)",TRUE
