V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113406,GBIF_17570,Guarianthe aurantiaca,19.475,-104.191667,1893973467,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,"(Bateman ex Lindl.) P.N. Don, 1840",Ayotitlán,NA,MX,460,7,1990,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,10260,without-number,Judith Cevallos Espinosa; Domitila De Niz Lara,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247364,Guarianthe aurantiaca,Guarianthe,aurantiaca,(Bateman ex Lindl.) Dressler & W.E.Higgins,Species,Accepted,NA,1056444-2,247364,21,20,"c(-104.191667, 19.475)",TRUE
113459,GBIF_17626,Guarianthe aurantiaca,19.666667,-104.325556,1893973432,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,"(Bateman ex Lindl.) P.N. Don, 1840","1 km al SO de Ahuacapán, 11-12 km al SSE de Autlán",NA,MX,500,5,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8364,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247364,Guarianthe aurantiaca,Guarianthe,aurantiaca,(Bateman ex Lindl.) Dressler & W.E.Higgins,Species,Accepted,NA,1056444-2,247364,21,20,"c(-104.325556, 19.666667)",TRUE
113631,GBIF_17814,Guarianthe aurantiaca,19.491667,-104.325,1893973410,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,"(Bateman ex Lindl.) P.N. Don, 1840","Camino a Cofradía, 1 km al N de Cuzalapa",NA,MX,400,4,1987,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1752,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247364,Guarianthe aurantiaca,Guarianthe,aurantiaca,(Bateman ex Lindl.) Dressler & W.E.Higgins,Species,Accepted,NA,1056444-2,247364,21,20,"c(-104.325, 19.491667)",TRUE
113633,GBIF_17816,Guarianthe aurantiaca,19.472222,-104.169444,1893973444,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,"(Bateman ex Lindl.) P.N. Don, 1840","0.5 km al NNO de Chancol, 37.5 km al SE de Autlán",NA,MX,550,7,1987,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,2637,without-number,José Antonio Vázquez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247364,Guarianthe aurantiaca,Guarianthe,aurantiaca,(Bateman ex Lindl.) Dressler & W.E.Higgins,Species,Accepted,NA,1056444-2,247364,21,20,"c(-104.169444, 19.472222)",TRUE
113688,GBIF_17879,Guarianthe aurantiaca,18.788722,-110.967944,1895083830,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,"(Bateman ex Lindl.) P.N. Don, 1840","Isla Socorro. Camino hacia el Volcán, Bosque",NA,MX,403,2,2004,PRESERVED_SPECIMEN,IBUNAM,MEXU,NO DISPONIBLE,without-number,Mauricio Mora Jarvio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247364,Guarianthe aurantiaca,Guarianthe,aurantiaca,(Bateman ex Lindl.) Dressler & W.E.Higgins,Species,Accepted,NA,1056444-2,247364,21,20,"c(-110.967944, 18.788722)",TRUE
129561,GBIF_54236,Guarianthe hennisiana,8.38333,-77.78333,1258400042,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,Cogn.,"Vicinity of Campamento Buena Vista, Río Chucunaque above confluence with Río Tuquesa",NA,PA,NA,7,1959,PRESERVED_SPECIMEN,MO,Tropicos,1193972,847,William L. Stern;Kenton  L. Chambers;John D. Dwyer;John E. Ebinger,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,496825,Guarianthe hennisiana,Guarianthe,hennisiana,(Rolfe) Van den Berg,Species,Accepted,NA,77151715-1,496825,18,1,"c(-77.78333, 8.38333)",TRUE
129562,GBIF_54237,Guarianthe skinneri,13.639167,-89.378333,1258400041,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,(Bateman) Dressler & W.E. Higgins,"Between Comasagua and Talnique, road to Jayaque",NA,SV,475,1,1964,PRESERVED_SPECIMEN,MO,Tropicos,1193981,136,Fritz Hamer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247368,Guarianthe skinneri,Guarianthe,skinneri,(Bateman) Dressler & W.E.Higgins,Species,Accepted,NA,1119685-2,247368,1,25,"c(-89.378333, 13.639167)",TRUE
130050,GBIF_54741,Guarianthe skinneri,14.945833,-87.776944,1259334062,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,Bateman,La Ceiba; orilla del Río Yure. 15 km E Lago de Yojoa.,NA,HN,200,2,1981,PRESERVED_SPECIMEN,MO,Tropicos,2058548,7341,Cirilo H. Nelson;Efraín Romero;Roberto Andino U.;Héctor A. Martínez C.;Ana L. Díaz;Rosario Rodríguez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247368,Guarianthe skinneri,Guarianthe,skinneri,(Bateman) Dressler & W.E.Higgins,Species,Accepted,NA,1119685-2,247368,25,6,"c(-87.776944, 14.945833)",TRUE
130052,GBIF_54743,Guarianthe aurantiaca,19.351389,-102.076389,1259334151,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,(Bateman) P.N. Don,La Tzarayaracua.,NA,MX,1100,1,1987,PRESERVED_SPECIMEN,MO,Tropicos,2058683,18270,Carlos Luis Díaz L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247364,Guarianthe aurantiaca,Guarianthe,aurantiaca,(Bateman ex Lindl.) Dressler & W.E.Higgins,Species,Accepted,NA,1056444-2,247364,29,8,"c(-102.076389, 19.351389)",TRUE
130293,GBIF_54990,Guarianthe skinneri,14.867222,-87.713333,1258439667,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Guarianthe,SPECIES,Bateman,"Agua Caliente; vaguada de Ríos Chamo y Humuya, 35 km E Lago Yojoa. Proyecto Hidroeléctrico de El Cajón.",NA,HN,220,11,1980,PRESERVED_SPECIMEN,MO,Tropicos,1230197,6565,Cirilo H. Nelson;Ana L. Díaz;Rosario Rodríguez;Roberto Andino U.;Héctor A. Martínez C.;Efraín Romero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,247368,Guarianthe skinneri,Guarianthe,skinneri,(Bateman) Dressler & W.E.Higgins,Species,Accepted,NA,1119685-2,247368,25,6,"c(-87.713333, 14.867222)",TRUE
