V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
146761,GBIF_77090,Hagsatera rosilloi,20.280556,-105.161667,1895585582,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"R. González, 1974",Entre Cuale y El Encino,NA,MX,675,10,1971,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,NO DISPONIBLE,without-number,R. GONZALEZ T.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95958,Hagsatera rosilloi,Hagsatera,rosilloi,R.González,Species,Accepted,NA,116898-2,95958,7,8,"c(-105.161667, 20.280556)",TRUE
238731,GBIF_198984,Hagsatera brachycolumna,17.3,-99.9,1999251496,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,L. O. Williams,Near Carrizal,NA,MX,950,10,1934,PRESERVED_SPECIMEN,AMES,AMES,barcode-00070139,1660,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,15,8,"c(-99.9, 17.3)",TRUE
239689,GBIF_200014,Hagsatera brachycolumna,16.68583,-97.3126,3308092496,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"(L.O. Williams) R. González, 1974",Distrito Sola de Vega; El Plan de Chinchol rumbo al Cerro Espino,NA,MX,1606,11,2006,PRESERVED_SPECIMEN,IBUNAM,MEXU,1238737,without-number,María Ester Jacob Salinas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,8,12,"c(-97.3126, 16.68583)",TRUE
307219,GBIF_306539,Hagsatera brachycolumna,17.35,-99.83,1096655477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,(L. O. Williams) R. Gonazález,"Cuernavaca, Mor. Guerrero. Nera Carrizal, South West of Chilpancingo.",NA,MX,950,11,1932,PRESERVED_SPECIMEN,S,VascularPlants,S08-1113,1660,Juan G. & O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,4,12,"c(-99.83, 17.35)",TRUE
333936,GBIF_346818,Hagsatera brachycolumna,17.3,-99.9,1998813443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,L. O. Williams,Near Carrizal,NA,MX,950,11,1933,PRESERVED_SPECIMEN,AMES,AMES,barcode-00070140,1660,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,15,8,"c(-99.9, 17.3)",TRUE
386224,GBIF_425719,Hagsatera brachycolumna,18.878204,-100.396418,2628927295,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"(L.O. Williams) R. González, 1974","28.8 km de desviación carretera Tejupilco-Livianos, en camino a Nanchititla",NA,MX,0,6,1991,PRESERVED_SPECIMEN,AMO,AMO,15139,without-number,Gerardo Adolfo Salazar Chávez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,8,12,"c(-100.396418, 18.878204)",TRUE
386363,GBIF_425961,Hagsatera brachycolumna,16.19336,-96.943795,2628922329,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"(L.O. Williams) R. González, 1974","Límites de los Distritos de Juquila y Miahuatlán, km 36.3 de la brecha de Luz de Luna y Miahuatlán, que conecta las carreteras 11 y 175 Oaxaca-Puerto Escondido y Oaxaca-Puerto Ángel",NA,MX,0,11,1992,PRESERVED_SPECIMEN,AMO,AMO,19685,without-number,Miguel Ángel Soto Arenas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,8,12,"c(-96.943795, 16.19336)",TRUE
386434,GBIF_426105,Hagsatera brachycolumna,16.572867,-97.191788,2628924251,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"(L.O. Williams) R. González, 1974","33.65 km W of Puerto Escondido road on brecha to San Lorenzo Texmelucan, 3.2 mi E of San Lorenzo",NA,MX,0,2,1978,PRESERVED_SPECIMEN,AMO,AMO,495,without-number,McCullogh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,8,12,"c(-97.191788, 16.572867)",TRUE
386520,GBIF_426286,Hagsatera brachycolumna,16.159909,-97.001105,2628925713,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"(L.O. Williams) R. González, 1974","Km 16.5 de la brecha de Luz de Luna-Miahuatlán, que conecta las carreteras 131 y 175 Oaxaca-Puerto Escondido y Oaxaca-Puerto Ángel",NA,MX,0,NA,without-year,PRESERVED_SPECIMEN,AMO,AMO,18559,without-number,Miguel Ángel Soto Arenas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95957,Hagsatera brachycolumna,Hagsatera,brachycolumna,(L.O.Williams) R.González,Species,Accepted,NA,116897-2,95957,8,12,"c(-97.001105, 16.159909)",TRUE
468255,GBIF_543869,Hagsatera rosilloi,20.359722,-105.073056,1893982975,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hagsatera,SPECIES,"R. González, 1974",Between Cuale and El Encino,NA,MX,500,NA,without-year,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,NO DISPONIBLE,without-number,Roberto González Tamayo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,95958,Hagsatera rosilloi,Hagsatera,rosilloi,R.González,Species,Accepted,NA,116898-2,95958,7,8,"c(-105.073056, 20.359722)",TRUE
