V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
146743,GBIF_77072,Helleriella guerrerensis,17.5446474,-99.8964032,1895585642,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,"Dressler & Hágsater, 1975","Cruz de Ocote, entre Yextla y Jaleaca",NA,MX,100,NA,without-year,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,NO DISPONIBLE,without-number,E. Hágsater,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98018,Helleriella guerrerensis,Helleriella,guerrerensis,Dressler & Hágsater,Species,Accepted,NA,638514-1,98018,6,19,"c(-99.8964032, 17.5446474)",TRUE
173807,GBIF_117036,Helleriella nicaraguensis,13.05,-85.933333,4062025425,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D. Hawkes,near Jinotega Rock quarry,NA,NI,1432.56,12,1959,PRESERVED_SPECIMEN,AMES,Tropicos,101763590,1270,Alfonso H. Heller;A.D. Hawkes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,1,6,"c(-85.933333, 13.05)",TRUE
257138,GBIF_222974,Helleriella nicaraguensis,8.816667,-82.616667,4061882668,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D. Hawkes,"Above Bambito; flowered in cultivation, 15 April 1970",NA,PA,1900,4,1970,PRESERVED_SPECIMEN,FLAS,Tropicos,101811365,3868,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,1,6,"c(-82.616667, 8.816667)",TRUE
258113,GBIF_224232,Helleriella nicaraguensis,13.03333,-85.93333,1260310659,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D. Hawkes,"6 km N of Santa María de Ostuma, Cordillera Central de Nicaragua; cloud forest",NA,NI,1500,1,1963,PRESERVED_SPECIMEN,F,Tropicos,2945018,23962,Louis O. Williams;Antonio Molina R.;Terua P. Williams,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,1,6,"c(-85.93333, 13.03333)",TRUE
262927,GBIF_230043,Helleriella nicaraguensis,14.403611,-89.366944,1258432090,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D. Hawkes,"Los Planes, Cerro Montecristo",NA,SV,2000,12,1977,PRESERVED_SPECIMEN,SEL,Tropicos,1223290,648,Fritz Hamer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,1,6,"c(-89.366944, 14.403611)",TRUE
282782,GBIF_263119,Helleriella nicaraguensis,14.52333,-90.93944,1258432099,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D. Hawkes,Quisaché,NA,GT,1800,1,1939,PRESERVED_SPECIMEN,F,Tropicos,1223294,62028,Paul C. Standley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,1,6,"c(-90.93944, 14.52333)",TRUE
320664,GBIF_327016,Helleriella nicaraguensis,13.05,-85.933333,1258432093,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D. Hawkes,4 km N of Santa María de Ostuma,NA,NI,1400,6,1962,PRESERVED_SPECIMEN,SEL,Tropicos,1223288,21649,Louis O. Williams,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,1,6,"c(-85.933333, 13.05)",TRUE
377725,GBIF_414696,Helleriella nicaraguensis,12.9167,-85.6667,1228333447,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,NA,Matagalpa,NA,NI,NA,1,1963,PRESERVED_SPECIMEN,F,Botany,NA,23962,L. O. Williams,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,10,1,"c(-85.6667, 12.9167)",TRUE
399315,GBIF_445012,Helleriella nicaraguensis,15.459291,-90.164395,3748801306,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D.Hawkes,NA,NA,GT,NA,10,1999,PRESERVED_SPECIMEN,UVG,UVGO,UVGO000778,without-number,R. Dix,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,0,10,"c(-90.164395, 15.459291)",TRUE
399981,GBIF_445721,Helleriella nicaraguensis,14.38184,-90.60144,3464353355,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helleriella,SPECIES,A.D.Hawkes,Volcán de Pacaya,NA,GT,NA,NA,1973,PRESERVED_SPECIMEN,UVG,UVGO,UVGO000366,without-number,Dix,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98019,Helleriella nicaraguensis,Helleriella,nicaraguensis,A.D.Hawkes,Species,Accepted,NA,119919-2,98019,0,10,"c(-90.60144, 14.38184)",TRUE
