V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
115245,GBIF_19471,Helonoma bifida,3.67,-65.5,1929788680,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(Ridl. ex Oliv.) Garay & Dunst.,Cerro Marahuaca--Huha.,NA,VE,NA,1,1982,PRESERVED_SPECIMEN,NY,NY,842286,125946,J. A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98030,Helonoma bifida,Helonoma,bifida,(Ridl.) Garay,Species,Accepted,NA,118809-2,98030,18,8,"c(-65.5, 3.67)",TRUE
174021,GBIF_117290,Helonoma peruviana,-10.418056,-75.313889,4061715922,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,"(Szlach.) Salazar, Dueñas, Hilda & Fern. Alonso",Dist. Palcazu. Parque Nacional Yanachaga-Chemillen. Sector Huancho.,NA,PE,1059,5,2011,PRESERVED_SPECIMEN,HOXA,Tropicos,102756773,37400,Rodolfo Vásquez;M. Villalba;J. Mateo M.;R. Rivera;Carlos Mateo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463299,Helonoma peruviana,Helonoma,peruviana,"(Szlach.) Salazar, H.C.Dueñas & Fern.Alonso",Species,Accepted,NA,77103501-1,463299,12,19,"c(-75.313889, -10.418056)",TRUE
237274,GBIF_197416,Helonoma bifida,5.223889,-60.7325,912402006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(Ridl.) Garay,Mount Roraima; Kotinga Valley,NA,GY,NA,7,1895,PRESERVED_SPECIMEN,K,Herbarium,K000482567,200,"Quelch, J.J.; McConnell, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98030,Helonoma bifida,Helonoma,bifida,(Ridl.) Garay,Species,Accepted,NA,118809-2,98030,0,13,"c(-60.7325, 5.223889)",TRUE
263685,GBIF_230938,Helonoma peruviana,-9.421389,-74.731389,1258127152,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,"(Szlach.) Salazar, Dueñas, Hilda & Fern. Alonso","Distrito Yuyapichis. CC.NN Tahuantinsuyo. Reserva Comunal el Sira, camino a la cumbre.",NA,PE,1710,5,2014,PRESERVED_SPECIMEN,HOXA,Tropicos,100797674,27612,Luis Valenzuela G.;Abel Monteagudo;V. Chama;Jaime Flores;Gerry Shareva M.;Danitza Bellota,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463299,Helonoma peruviana,Helonoma,peruviana,"(Szlach.) Salazar, H.C.Dueñas & Fern.Alonso",Species,Accepted,NA,77103501-1,463299,12,19,"c(-74.731389, -9.421389)",TRUE
266237,GBIF_234174,Helonoma peruviana,-9.45,-74.766667,4061688152,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,"(Szlach.) Salazar, Dueñas, Hilda & Fern. Alonso","Region of Pucallpa, western part of the """"""""Sira mountains"""""""" and adjacent lowland; c. 24 km SE to c. 26 km ESE of Puerto Inca, from the beginning of the mountain rain forest next to the """"""""Campamento Pato Rojo"""""""" (9º 27' S, 74º 46' W; 1080 msm) along the mountain crest to the beginning of the elfin forest after the Campamento Peligroso"""""""" (1560 msm) in a height of 1700 msm. Primary cloud forest covered by many mosses, lichens, ferns and vascular epiphytes. Soils: Red latosols with a thick humus layer.",NA,PE,1600,4,1988,PRESERVED_SPECIMEN,W,Tropicos,101412075,15-25488,Bruno Wallnöfer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463299,Helonoma peruviana,Helonoma,peruviana,"(Szlach.) Salazar, H.C.Dueñas & Fern.Alonso",Species,Accepted,NA,77103501-1,463299,12,19,"c(-74.766667, -9.45)",TRUE
290153,GBIF_287566,Helonoma americana,5.9,-62.25,1261382181,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(C. Schweinf. & Garay) Garay,"Amaruay-tepui. South side, near and along wall with water dripping from above in many places. .2 to 1 km from SW corner of tepui.",NA,VE,755,4,1986,PRESERVED_SPECIMEN,MO,Tropicos,667049,20423,Ronald L. Liesner;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98029,Helonoma americana,Helonoma,americana,(C.Schweinf. & Garay) Garay,Species,Accepted,NA,118808-2,98029,1,24,"c(-62.25, 5.9)",TRUE
365706,GBIF_395833,Helonoma americana,1.43333,-65.78333,1261384928,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(C. Schweinf. & Garay) Garay,"RIO NEGRO: Cerro Aracamuni, summit. Popa camp. Savanna with small to large patches of forest and stream.",NA,VE,1550,10,1987,PRESERVED_SPECIMEN,MO,Tropicos,669742,22023,Ronald L. Liesner;Franciso  Delascio C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98029,Helonoma americana,Helonoma,americana,(C.Schweinf. & Garay) Garay,Species,Accepted,NA,118808-2,98029,1,24,"c(-65.78333, 1.43333)",TRUE
365740,GBIF_395868,Helonoma americana,5.91666,-62.25,1261389183,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(C. Schweinf. & Garay) Garay,"Piar, Amaruay-tepui. Steep slope on W side of tepui up to wall. Forest (20 to 30 m tall trees), open area near wall, and wet, dripping wall. Alt. 550 to 800 m. 5º55'N, 62º15'W.",NA,VE,675,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,673918,20925,Ronald L. Liesner;Julian A. Steyermark;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98029,Helonoma americana,Helonoma,americana,(C.Schweinf. & Garay) Garay,Species,Accepted,NA,118808-2,98029,1,24,"c(-62.25, 5.91666)",TRUE
371760,GBIF_406848,Helonoma bifida,3.58,-65.33,1930999698,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(Ridl.) Garay,"Cerro Marahuaca - FHUIF; Cumbre, altiplanicie de rocas expuestas, escabrosa, rio abajo",NA,VE,NA,2,1982,PRESERVED_SPECIMEN,NY,NY,1075120,126080,J. A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98030,Helonoma bifida,Helonoma,bifida,(Ridl.) Garay,Species,Accepted,NA,118809-2,98030,0,13,"c(-65.33, 3.58)",TRUE
384574,GBIF_422900,Helonoma bifida,5.86666,-62.01666,1260179050,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(Ridl.) Garay,Distrito Piar: Camarcibarai-Tepui: southwest facing shoulder.,NA,VE,1812.5,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,2825548,132005,Julian A. Steyermark;Ronald L. Liesner;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98030,Helonoma bifida,Helonoma,bifida,(Ridl.) Garay,Species,Accepted,NA,118809-2,98030,0,13,"c(-62.01666, 5.86666)",TRUE
449392,GBIF_518407,Helonoma chiropterae,3.67,-65.05,1707110792,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,Carnevali & G.A.Romero,Mt. Roraima,NA,VE,2580,1,1982,PRESERVED_SPECIMEN,UGDA,NA,NA,without-number,"Steyermark, Guariglia, Holmgren, Luteyn & Mori",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,248734,Helonoma chiropterae,Helonoma,chiropterae,(Szlach.) Carnevali & G.A.Romero,Species,Accepted,NA,1019302-1,248734,10,22,"c(-65.05, 3.67)",TRUE
449565,GBIF_518606,Helonoma peruviana,-9.45,-74.77,1707108905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,Szlach.,Mpio. Butatntan,NA,PE,NA,4,1988,PRESERVED_SPECIMEN,UGDA,NA,NA,without-number,Wallnofer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463299,Helonoma peruviana,Helonoma,peruviana,"(Szlach.) Salazar, H.C.Dueñas & Fern.Alonso",Species,Accepted,NA,77103501-1,463299,36,6,"c(-74.77, -9.45)",TRUE
458606,GBIF_529371,Helonoma bifida,5.223889,-60.7325,912402164,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(Ridl.) Garay,"Mt. Roraima, British Guiana",NA,GY,NA,10,1884,PRESERVED_SPECIMEN,K,Herbarium,K000482565,342,s.coll.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98030,Helonoma bifida,Helonoma,bifida,(Ridl.) Garay,Species,Accepted,NA,118809-2,98030,0,13,"c(-60.7325, 5.223889)",TRUE
490340,GBIF_579415,Helonoma americana,3.63333,-65.46666,1261379965,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(C. Schweinf. & Garay) Garay,"Atabapo. Slope of Cerro de Marahuaca, Río Yameduaka arriba.",NA,VE,1225,2,1985,PRESERVED_SPECIMEN,MO,Tropicos,664863,17716,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98029,Helonoma americana,Helonoma,americana,(C.Schweinf. & Garay) Garay,Species,Accepted,NA,118808-2,98029,1,24,"c(-65.46666, 3.63333)",TRUE
540389,GBIF_657754,Helonoma bifida,3.61666,-65.38333,1261380180,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Helonoma,SPECIES,(Ridl.) Garay,"Atabapo. Open rocky Plateau of Cerro de Marahuaca above Salto Los Monos on tributary of headwaters of Río Iguapo. 3º37'N, 65º23'W, elev. 2555 m.",NA,VE,2555,2,1985,PRESERVED_SPECIMEN,MO,Tropicos,665032,17950,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,98030,Helonoma bifida,Helonoma,bifida,(Ridl.) Garay,Species,Accepted,NA,118809-2,98030,0,13,"c(-65.38333, 3.61666)",TRUE
