V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
142076,GBIF_67869,Hintonella mexicana,19.016466,-99.8801198,1895369007,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,"Ames, 1938","La Labor, Temascaltepec",NA,MX,0,2,1936,PRESERVED_SPECIMEN,CNS-UT,LL,00279839,without-number,H.; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,6,4,"c(-99.8801198, 19.016466)",TRUE
231174,GBIF_190516,Hintonella mexicana,19.033333,-99.25,1260648573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,Ames,"Barranca de Atzingo, North West of Cuernavaca. On oaks in forests.",NA,MX,1800,2,1933,PRESERVED_SPECIMEN,MO,Tropicos,3250772,2108,Juan González;Otto Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,0,4,"c(-99.25, 19.033333)",TRUE
240979,GBIF_201564,Hintonella mexicana,20.409425,-105.285769,2629765496,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,"Ames, 1938","Al S de La Báscula, Arroyo Paso del Carro, 7 km al NE del Tuito",NA,MX,750,2,1993,PRESERVED_SPECIMEN,INECOL,XAL,XAL0131510,without-number,G. Castillo-Campos; P. Zamora C.; R. Acevedo R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,6,4,"c(-105.285769, 20.409425)",TRUE
290693,GBIF_288136,Hintonella mexicana,18.96666,-99.26666,1260648508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,Ames,"Barranca del Tecolote, North West of Cuernavaca. On oaks in forest.",NA,MX,1800,4,1932,PRESERVED_SPECIMEN,MO,Tropicos,3250768,2626,Juan González;Otto Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,0,4,"c(-99.26666, 18.96666)",TRUE
330057,GBIF_340869,Hintonella mexicana,19.42917,-99.58389,1144698630,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,NA,"Mexico - Temascaltepec, La Labor./Estado de México",NA,MX,NA,2,1936,PRESERVED_SPECIMEN,G,Geneva Herbarium – General Collection (G),G-G-146593/2,without-number,"Hinton, G. B. & al. (Coll. Delessert)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,4,1,"c(-99.58389, 19.42917)",TRUE
340030,GBIF_354258,Hintonella mexicana,18.972172,-99.292305,1417698857,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,"Ames, 1938","Camino Colonia de Bosque-Mexicarpa, como 1 km",NA,MX,1060,2,1989,PRESERVED_SPECIMEN,CIByC-UAEM,HUMO,588,without-number,A. Flores; G. Soria; G. Flores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,6,4,"c(-99.292305, 18.972172)",TRUE
340086,GBIF_354320,Hintonella mexicana,18.986428,-99.031703,1417697521,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,"Ames, 1938",A unos 2 km del pueblo de Amatlán de Quetzalcóatl,NA,MX,905,6,2005,PRESERVED_SPECIMEN,CIByC-UAEM,HUMO,22576,without-number,A. Flores; Q. Cruz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,6,4,"c(-99.031703, 18.986428)",TRUE
346647,GBIF_366926,Hintonella mexicana,19.618333,-101.133333,1893724391,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,"Ames, 1938","2.5 KM DESPUES DE SAN MIGUEL DEL MONTE, RUMBO A TUMBISCA, MPIO. MORELIA",NA,MX,1080,4,1995,PRESERVED_SPECIMEN,INECOL,IEB,126607,without-number,A. Espejo; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,6,4,"c(-101.133333, 19.618333)",TRUE
352153,GBIF_374298,Hintonella mexicana,19.033333,-100.05,1261051992,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,Ames,Comunidad,NA,MX,NA,3,1936,PRESERVED_SPECIMEN,GBH,Tropicos,3619415,8951,George B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,0,4,"c(-100.05, 19.033333)",TRUE
359572,GBIF_385268,Hintonella mexicana,19.033333,-100.05,1261031962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,Ames,Rincón,NA,MX,NA,NA,1932,PRESERVED_SPECIMEN,GBH,Tropicos,3598737,283,George B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,0,4,"c(-100.05, 19.033333)",TRUE
564804,GBIF_700845,Hintonella mexicana,19.05,-100.016667,1895674705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,"Ames, 1938",7 km al NE de Temascaltepec. Sobre cañada de Río Verde,NA,MX,1025,5,1982,PRESERVED_SPECIMEN,UAMI,UAMIZ,5449,without-number,A. Espejo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,6,4,"c(-100.016667, 19.05)",TRUE
568083,GBIF_706981,Hintonella mexicana,19.01,-99.88,1261051966,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,Ames,La Labor,NA,MX,NA,NA,1936,PRESERVED_SPECIMEN,GBH,Tropicos,3619395,8928,George B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,0,4,"c(-99.88, 19.01)",TRUE
633366,GBIF_799672,Hintonella mexicana,19.129289,-99.932761,2542526240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hintonella,SPECIES,Ames,Temascaltepec. Comunidad.,NA,MX,NA,3,1936,PRESERVED_SPECIMEN,NY,NY,04097574,8951,G. B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,99334,Hintonella mexicana,Hintonella,mexicana,Ames,Species,Accepted,NA,122716-2,99334,0,4,"c(-99.932761, 19.129289)",TRUE
