V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128141,GBIF_52769,Homalopetalum pumilum,21.9,-99.4,1999062100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,L. O. Williams,Near Tortuga northwest of Tamasopo,NA,MX,1500,5,1935,PRESERVED_SPECIMEN,AMES,AMES,barcode-00083857,4791,O. Nagel & J. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100116,Homalopetalum pumilum,Homalopetalum,pumilum,(Ames) Dressler,Species,Accepted,NA,123744-2,100116,14,1,"c(-99.4, 21.9)",TRUE
130291,GBIF_54988,Homalopetalum pumilio,8.75,-82.25,1258432046,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,(Rchb. f.) Schltr.,"Camp Hornito, Fortuna dam site",NA,PA,1100,9,1977,PRESERVED_SPECIMEN,MO,Tropicos,1223249,5696,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100115,Homalopetalum pumilio,Homalopetalum,pumilio,(Rchb.f.) Schltr.,Species,Accepted,NA,123743-2,100115,1,11,"c(-82.25, 8.75)",TRUE
163202,GBIF_103500,Homalopetalum pumilum,19.326667,-97.103611,2629597717,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,"(Ames) Dressler, 1964",Ixhuacán de los Reyes,NA,MX,2226,12,2009,PRESERVED_SPECIMEN,INECOL,XAL,XAL0133441,without-number,M. Castañeda-Zárate; S.E. Ramos-Castro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100116,Homalopetalum pumilum,Homalopetalum,pumilum,(Ames) Dressler,Species,Accepted,NA,123744-2,100116,6,15,"c(-97.103611, 19.326667)",TRUE
172831,GBIF_116029,Homalopetalum pumilum,21.933333,-99.383333,1257582703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,(Ames) Dressler,"San Luis Potosi, near Tortuga, northwest of Tamasopo.",NA,MX,1500,5,1935,PRESERVED_SPECIMEN,SEL,Tropicos,100230556,4791,Otto Nagel;Juan González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,100116,Homalopetalum pumilum,Homalopetalum,pumilum,(Ames) Dressler,Species,Accepted,NA,123744-2,100116,0,15,"c(-99.383333, 21.933333)",TRUE
174620,GBIF_117926,Homalopetalum pumilio,10.27,-84.16,1261911247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,(Rchb. f.) Schltr.,"Cordillera Central. Colonia Virgen del Socorro, bosques y potreros arbolados cerca del R. San Fernando.",NA,CR,800,8,1995,PRESERVED_SPECIMEN,CR,Tropicos,982908,4718,J. F. Morales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100115,Homalopetalum pumilio,Homalopetalum,pumilio,(Rchb.f.) Schltr.,Species,Accepted,NA,123743-2,100115,1,11,"c(-84.16, 10.27)",TRUE
183586,GBIF_128981,Homalopetalum alticola,3.71666,-65.5,1261388853,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,(Garay & Dunst.) Rauschert,"ATABAPO Cerro Marahuaca. Slopes. """"""""Sima"""""""" area. Medium height forest.",NA,VE,1200,10,1988,PRESERVED_SPECIMEN,MO,Tropicos,673523,24981,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,316880,Homalopetalum alticola,Homalopetalum,alticola,(Garay & Dunst.) Soto Arenas,Species,Accepted,NA,77088568-1,316880,10,17,"c(-65.5, 3.71666)",TRUE
220610,GBIF_177743,Homalopetalum vomeriforme,18.081883,-76.650814,1931018948,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,(Sw.) Fawc. & Rendle,Cinchona,NA,JM,1666,1,1900,PRESERVED_SPECIMEN,NY,NY,58076,7816,W. H. Harris,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,100117,Homalopetalum vomeriforme,Homalopetalum,vomeriforme,(Sw.) Fawc. & Rendle,Species,Accepted,NA,123745-2,100117,0,20,"c(-76.650814, 18.081883)",TRUE
240443,GBIF_200900,Homalopetalum pachyphyllum,20.133333,-100.283333,2629527327,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,"(L.O. Williams) Dressler, 1964","10 km brecha a Polvillas, carretera Contepec-Amealco",NA,MX,2500,3,1994,PRESERVED_SPECIMEN,INECOL,XAL,K422130,without-number,E. Pérez-Cálix; E. Carranza G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100114,Homalopetalum pachyphyllum,Homalopetalum,pachyphyllum,(L.O.Williams) Dressler,Species,Accepted,NA,123742-2,100114,7,18,"c(-100.283333, 20.133333)",TRUE
240794,GBIF_201336,Homalopetalum pumilum,19.564167,-97.038055,2629745537,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,"(Ames) Dressler, 1964","Acajete, Río Sedeño, entre Mazatepec y Acocota",NA,MX,2200,6,2008,PRESERVED_SPECIMEN,INECOL,XAL,XAL0112191,without-number,I. Haeckel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100116,Homalopetalum pumilum,Homalopetalum,pumilum,(Ames) Dressler,Species,Accepted,NA,123744-2,100116,6,15,"c(-97.038055, 19.564167)",TRUE
259147,GBIF_225458,Homalopetalum pumilio,16.42,-91.85,1258432105,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Homalopetalum,SPECIES,(Rchb. f.) Schltr.,"Slope, 6-10 km NNE of La Soledad along logging road from Las Margaritas to Campo Alegre.",NA,MX,1600,2,1973,PRESERVED_SPECIMEN,DS,Tropicos,1223259,33480,Dennis E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,100115,Homalopetalum pumilio,Homalopetalum,pumilio,(Rchb.f.) Schltr.,Species,Accepted,NA,123743-2,100115,1,11,"c(-91.85, 16.42)",TRUE
