V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111372,GBIF_15386,Isabelia violacea,-21.113889,-41.023056,4526428720,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,Angiospermas,"Pedra Azul, Pedra das Flores, cume. Floresta Ombrófila Densa, Aforamento rochoso com Mata Nebular. Parque Estadual Pedra Azul",NA,BR,NA,7,2006,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00562081,2234,A.P. Fontana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249988,Isabelia violacea,Isabelia,violacea,(Lindl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021222-1,249988,30,2,"c(-41.023056, -21.113889)",TRUE
113883,GBIF_18076,Isabelia violacea,-15.866667,-47.85,4427188231,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,(Lindl.) Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Próximo da Captacao 1",NA,BR,0,11,2005,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027881,3841,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249988,Isabelia violacea,Isabelia,violacea,(Lindl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021222-1,249988,24,9,"c(-47.85, -15.866667)",TRUE
113884,GBIF_18077,Isabelia violacea,-15.866667,-47.85,4427188233,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,(Lindl.) Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Trilha de acesso ao Cristo Redentor",NA,BR,0,12,2003,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027882,2928,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249988,Isabelia violacea,Isabelia,violacea,(Lindl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021222-1,249988,24,9,"c(-47.85, -15.866667)",TRUE
113885,GBIF_18078,Isabelia violacea,-15.866667,-47.85,4427188236,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,(Lindl.) Schltr.,Estação Ecológica do Jardim Botânico de Brasília,NA,BR,0,8,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027883,609,"Martins, RC;Chacon, RG,Jesus, FPR de,Oliveira, MS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249988,Isabelia violacea,Isabelia,violacea,(Lindl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021222-1,249988,24,9,"c(-47.85, -15.866667)",TRUE
113886,GBIF_18079,Isabelia violacea,-15.866667,-47.85,4427188238,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,(Lindl.) Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Córrego Cabeça de Veado",NA,BR,0,8,1993,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027884,117,"Lima, IV",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249988,Isabelia violacea,Isabelia,violacea,(Lindl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021222-1,249988,24,9,"c(-47.85, -15.866667)",TRUE
114924,GBIF_19137,Isabelia virginalis,-23.565521,-46.724373,1930736680,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,Barb.Rodr.,Butantan,NA,BR,NA,6,1917,PRESERVED_SPECIMEN,NY,NY,547703,177,F. C. Hoehne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,102742,Isabelia virginalis,Isabelia,virginalis,Barb.Rodr.,Species,Accepted,NA,639266-1,102742,0,10,"c(-46.724373, -23.565521)",TRUE
137625,GBIF_63139,Isabelia pulchella,-25.5306,-49.2321,1585944609,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,Kränzl.,Ruca Nova.,NA,BR,NA,7,1909,PRESERVED_SPECIMEN,USF,Herb,27876,8525,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249985,Isabelia pulchella,Isabelia,pulchella,(Kraenzl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021220-1,249985,31,3,"c(-49.2321, -25.5306)",TRUE
140725,GBIF_66463,Isabelia virginalis,-24.26,-49.71,2618527924,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,Barb. Rodr.,Plantae Brasilienses. Paraná: Jaguariahyva.,NA,BR,NA,6,1912,PRESERVED_SPECIMEN,S,VascularPlants,S16-8217,14111,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102742,Isabelia virginalis,Isabelia,virginalis,Barb.Rodr.,Species,Accepted,NA,639266-1,102742,1,5,"c(-49.71, -24.26)",TRUE
140802,GBIF_66540,Isabelia violacea,-25.25,-50,2618526935,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,(Lindl.) C. Van den Berg & M. W. Chase,Plantae Brasilienses. Paraná: Villa Velha.,NA,BR,NA,10,1910,PRESERVED_SPECIMEN,S,VascularPlants,S16-8219,11587,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,249988,Isabelia violacea,Isabelia,violacea,(Lindl.) C.Van den Berg & M.W.Chase,Species,Accepted,NA,1021222-1,249988,3,17,"c(-50, -25.25)",TRUE
151667,GBIF_83279,Isabelia virginalis,-24.254964,-49.7062215,1930718621,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,SPECIES,Barb.Rodr.,NA,NA,BR,740,6,1914,PRESERVED_SPECIMEN,NY,NY,547701,15125,P. K. H. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,102742,Isabelia virginalis,Isabelia,virginalis,Barb.Rodr.,Species,Accepted,NA,639266-1,102742,0,10,"c(-49.7062215, -24.254964)",TRUE
