V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111227,GBIF_15233,Isochilus linearis,-20.403889,-41.019167,4526417333,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,Angiospermas,Parque Estadual da Pedra Azul.,NA,BR,NA,7,2005,PRESERVED_SPECIMEN,NA,MBML,MBML024593,8006,L. Kollmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102867,Isochilus linearis,Isochilus,linearis,(Jacq.) R.Br.,Species,Accepted,NA,1097131-2,102867,13,-1,"c(-41.019167, -20.403889)",TRUE
111363,GBIF_15377,Isochilus linearis,-27.724167,-48.535,4526427476,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,Angiospermas,Parque Municipal da Lagoa do Peri.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,NA,FURB,FURB35461,1495,"Cadorin, T.J.;Grosch, B.,Zimmermann, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102867,Isochilus linearis,Isochilus,linearis,(Jacq.) R.Br.,Species,Accepted,NA,1097131-2,102867,13,-1,"c(-48.535, -27.724167)",TRUE
111458,GBIF_15479,Isochilus linearis,-28.260278,-49.499444,4526434993,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,Angiospermas,Rio Hipólito - Parque Nacional de São Joaquim.,NA,BR,NA,5,2009,PRESERVED_SPECIMEN,NA,FURB,FURB35450,2158,"Verdi, M.;Gasper, A.L. de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102867,Isochilus linearis,Isochilus,linearis,(Jacq.) R.Br.,Species,Accepted,NA,1097131-2,102867,13,-1,"c(-49.499444, -28.260278)",TRUE
112031,GBIF_16061,Isochilus linearis,20.0083,-75.6236,473281312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,(Jacquin) R. Brown,Loma de la Gran Piedra,NA,CU,NA,1,1953,PRESERVED_SPECIMEN,UdeM,MT,MT00115868,820,"López Figueiras, Manuel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102867,Isochilus linearis,Isochilus,linearis,(Jacq.) R.Br.,Species,Accepted,NA,1097131-2,102867,7,5,"c(-75.6236, 20.0083)",TRUE
112935,GBIF_17033,Isochilus linearis,19.9985,-75.8747,473281308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,(Jacquin) R. Brown,Renté,NA,CU,NA,1,1920,PRESERVED_SPECIMEN,UdeM,MT,MT00115867,218,"Clément José, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102867,Isochilus linearis,Isochilus,linearis,(Jacq.) R.Br.,Species,Accepted,NA,1097131-2,102867,7,5,"c(-75.8747, 19.9985)",TRUE
113289,GBIF_17441,Isochilus linearis,20.575805,-75.766838,473281315,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,(Jacquin) R. Brown,Monte Verde,NA,CU,NA,8,1913,PRESERVED_SPECIMEN,UdeM,MT,MT00115869,3809,"León, Hno; Maurel, Charles",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102867,Isochilus linearis,Isochilus,linearis,(Jacq.) R.Br.,Species,Accepted,NA,1097131-2,102867,7,5,"c(-75.766838, 20.575805)",TRUE
113419,GBIF_17584,Isochilus chiriquensis,19.625,-104.241667,1893969691,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,"Schltr., 1923","4-5 km al NE de la Estación Científica Las Joyas, 3-5 km al ONO de Rincón de Manantlán",NA,MX,1000,12,1984,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,2728,without-number,Emmet Judziewicz; Theodore Cochrane,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102854,Isochilus chiriquensis,Isochilus,chiriquensis,Schltr.,Species,Accepted,NA,308824-2,102854,6,7,"c(-104.241667, 19.625)",TRUE
113436,GBIF_17603,Isochilus chiriquensis,19.6875,-104.393333,1893969717,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,"Schltr., 1923","10.5 km al NE de Casimiro Castillo, 2 km al S de El Puerto Los Mazos",NA,MX,840,3,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,6805,without-number,Mark Wetter; Theodore Cochrane; Manuel Rosales Castellanos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102854,Isochilus chiriquensis,Isochilus,chiriquensis,Schltr.,Species,Accepted,NA,308824-2,102854,6,7,"c(-104.393333, 19.6875)",TRUE
113546,GBIF_17724,Isochilus chiriquensis,19.461667,-103.963333,1893969675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,"Schltr., 1923",3 km al O de El Terrero,NA,MX,1150,7,1994,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,20442,without-number,Francisco Javier Santana Michel; Bruce Benz; Jesús Juan Rosales Adame,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102854,Isochilus chiriquensis,Isochilus,chiriquensis,Schltr.,Species,Accepted,NA,308824-2,102854,6,7,"c(-103.963333, 19.461667)",TRUE
113640,GBIF_17823,Isochilus chiriquensis,19.449167,-103.95,1893969737,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isochilus,SPECIES,"Schltr., 1923","2 km al NO de El Terrero, 12-13 km al ENE de Minatitlán",NA,MX,1150,4,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,17990,without-number,Francisco Javier Santana Michel; Judith Cevallos Espinosa; Elizabeth Muñoz Mendoza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,102854,Isochilus chiriquensis,Isochilus,chiriquensis,Schltr.,Species,Accepted,NA,308824-2,102854,6,7,"c(-103.95, 19.449167)",TRUE
