V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114243,GBIF_18440,Isotria verticillata,40.550464,-74.152124,2542532661,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,Giffords. Staten Island.,NA,US,NA,5,1889,PRESERVED_SPECIMEN,NY,NY,4097903,s.n.,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-74.152124, 40.550464)",TRUE
114343,GBIF_18541,Isotria medeoloides,40.975,-73.9583,1928115050,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Pursh) Raf.,NA,NA,US,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,32284,s.n.,C. F. Austin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103160,Isotria medeoloides,Isotria,medeoloides,(Pursh) Raf.,Species,Accepted,NA,639304-1,103160,0,12,"c(-73.9583, 40.975)",TRUE
115056,GBIF_19275,Isotria verticillata,41.026346,-73.760163,2542521647,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,White Plains,NA,US,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,4097899,s.n.,P. A. McCabe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-73.760163, 41.026346)",TRUE
115060,GBIF_19279,Isotria medeoloides,37.270699,-76.73479,1931193372,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Pursh) Raf.,1.5 miles west of Williamsburg,NA,US,NA,6,1920,PRESERVED_SPECIMEN,NY,NY,32291,2637,E. J. Grimes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103160,Isotria medeoloides,Isotria,medeoloides,(Pursh) Raf.,Species,Accepted,NA,639304-1,103160,0,12,"c(-76.73479, 37.270699)",TRUE
120129,GBIF_33762,Isotria verticillata,34.430932,-89.387709,4088564536,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,"Minnows Inc, 12 mi NE of Oxford",NA,US,NA,4,1965,PRESERVED_SPECIMEN,USMS,NA,USMS_000002948,656,Thomas M. Pullen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-89.387709, 34.430932)",TRUE
128430,GBIF_53074,Isotria verticillata,42.2001,-70.999492,3053463707,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Nutt.,South Braintree,NA,US,NA,6,1924,PRESERVED_SPECIMEN,SBBG,NA,51433,without-number,G. H. Grinnell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,4,18,"c(-70.999492, 42.2001)",TRUE
130980,GBIF_55699,Isotria verticillata,37.71055,-90.46666,1260980623,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,"Ca. 2 mi. SE of Doe Run on Mr. Dennis Weise property, along a spring-fed stream tributary to Doe Run Creek shady woods along a small running stream with exposed sandstone bedrock and low bluffs and ledges; sandy acid soilwith Ilex verticillata var. padifolia, Platanthera ciliata, Alnus serrulata, Sphagnum lescurii",NA,US,NA,8,2000,PRESERVED_SPECIMEN,MO,Tropicos,3551585,9536,Bill Summers,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-90.46666, 37.71055)",TRUE
137081,GBIF_62579,Isotria verticillata,42.0667,-71.1045,1503265153,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,Northeaston.,NA,US,NA,5,1902,PRESERVED_SPECIMEN,USF,Herb,26014,4538,R. M. Grey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-71.1045, 42.0667)",TRUE
137189,GBIF_62692,Isotria verticillata,42.2529,-71.0023,1503286234,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,Quincy.,NA,US,NA,6,1914,PRESERVED_SPECIMEN,USF,Herb,34595,4048,C. F. Batchelder,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-71.0023, 42.2529)",TRUE
138737,GBIF_64296,Isotria verticillata,42.2223,-70.9995,1503180688,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,SPECIES,(Muhl. ex Willd.) Raf.,S Braintree.,NA,US,NA,6,1924,PRESERVED_SPECIMEN,USF,Herb,127729,s.n.,G.H. Grinnell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,103161,Isotria verticillata,Isotria,verticillata,(Muhl. ex Willd.) Raf.,Species,Accepted,NA,639305-1,103161,0,22,"c(-70.9995, 42.2223)",TRUE
