V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
282351,GBIF_262572,Ixyophora luerorum,-17.46666,-65.28333,4062217984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,R. Vásquez & Dodson,Sehuencas,NA,BO,2250,1,1988,PRESERVED_SPECIMEN,herb. Vásquez,Tropicos,101816652,1003,R. Vásquez;Carl A. Luer;Jane Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,458011,Ixyophora luerorum,Ixyophora,luerorum,(R.Vásquez & Dodson) P.A.Harding,Species,Accepted,NA,77100922-1,458011,15,15,"c(-65.28333, -17.46666)",TRUE
283032,GBIF_263451,Ixyophora velastiguii,-1.4,-78.2,1258946524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,Dodson,Near Topo.,NA,EC,1400,8,1998,PRESERVED_SPECIMEN,QCNE,Tropicos,1705468,1087,Lou Jost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538101,Ixyophora velastiguii,Ixyophora,velastiguii,(Dodson) Pupulin,Species,Accepted,NA,77205880-1,538101,10,5,"c(-78.2, -1.4)",TRUE
318464,GBIF_323938,Ixyophora viridisepala,-3.4,-78.55,1261350973,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,Senghas,Gualaquiza.,NA,EC,1800,1,1986,PRESERVED_SPECIMEN,SEL,Tropicos,634283,1054,Stig Dalström;T. Höijer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334639,Ixyophora viridisepala,Ixyophora,viridisepala,(Senghas) Dressler,Species,Accepted,NA,60440674-2,334639,11,6,"c(-78.55, -3.4)",TRUE
319174,GBIF_324821,Ixyophora aurantiaca,-13.03333,-72.26666,1260494962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,(Senghas & Gerlach) Dressler,"Dist. Huayopata, Incatambo, quebrada Curcur, Bosque Primario",NA,PE,2477,11,2004,PRESERVED_SPECIMEN,CUZ,Tropicos,3111634,4385,Luis Valenzuela G.;V. Chama;J. Latorre;José Tito;M. Luza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334637,Ixyophora aurantiaca,Ixyophora,aurantiaca,(Senghas & G.Gerlach) Dressler,Species,Accepted,NA,60440672-2,334637,2,17,"c(-72.26666, -13.03333)",TRUE
320419,GBIF_326704,Ixyophora viridisepala,-2.7,-79.05,1261367324,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,Senghas,Km 92 on old road from Duran to Tambo.,NA,EC,1000,9,1980,PRESERVED_SPECIMEN,SEL,Tropicos,651867,10571,Calaway H. Dodson;Carl A. Luer;Jane Luer;Pete Morgan;H. Morgan;A. Perry;Janet Kuhn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334639,Ixyophora viridisepala,Ixyophora,viridisepala,(Senghas) Dressler,Species,Accepted,NA,60440674-2,334639,11,6,"c(-79.05, -2.7)",TRUE
516426,GBIF_621454,Ixyophora viridisepala,-10.578889,-75.405833,4061829514,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,Senghas,Dist. Oxapampa. Estación Biológica del Jardín Botánico de Missouri.,NA,PE,1850,10,2009,PRESERVED_SPECIMEN,HOXA,Tropicos,102728345,7051,Rocío Rojas;Rodolfo Vásquez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334639,Ixyophora viridisepala,Ixyophora,viridisepala,(Senghas) Dressler,Species,Accepted,NA,60440674-2,334639,11,6,"c(-75.405833, -10.578889)",TRUE
516821,GBIF_622318,Ixyophora viridisepala,-3.223,-78.538,1261366761,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,Senghas,Limon-Gualaquiza.,NA,EC,1700,12,1982,PRESERVED_SPECIMEN,SEL,Tropicos,651314,388,Stig Dalström,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334639,Ixyophora viridisepala,Ixyophora,viridisepala,(Senghas) Dressler,Species,Accepted,NA,60440674-2,334639,11,6,"c(-78.538, -3.223)",TRUE
566601,GBIF_704585,Ixyophora luerorum,-17.5,-65.283333,1260919056,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,R. Vásquez & Dodson,"Sehuencas, Rio Fuerte, circa puente, Parque Nacional Carrasco",NA,BO,2150,11,1993,PRESERVED_SPECIMEN,F,Tropicos,3495706,93.1502,Pierre Ibisch;Claudia Ibisch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,458011,Ixyophora luerorum,Ixyophora,luerorum,(R.Vásquez & Dodson) P.A.Harding,Species,Accepted,NA,77100922-1,458011,15,15,"c(-65.283333, -17.5)",TRUE
566716,GBIF_704773,Ixyophora viridisepala,-3.4666,-78.7333,1261352991,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,Senghas,Río Cuyes.,NA,EC,900,2,1986,PRESERVED_SPECIMEN,SEL,Tropicos,636442,1132,Stig Dalström;T. Höijer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334639,Ixyophora viridisepala,Ixyophora,viridisepala,(Senghas) Dressler,Species,Accepted,NA,60440674-2,334639,11,6,"c(-78.7333, -3.4666)",TRUE
635809,GBIF_802716,Ixyophora carinata,-1.531288,-71.527506,2813172683,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ixyophora,SPECIES,NA,"Puerto Nuevo, cultivado en Colomborquídeas (El Retiro, Antioquia)",NA,CO,NA,7,1991,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:10602,5433,Escobar R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334638,Ixyophora carinata,Ixyophora,carinata,(P.Ortiz) Dressler,Species,Accepted,NA,60440673-2,334638,18,-1,"c(-71.527506, -1.531288)",TRUE
