V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110209,GBIF_14084,Jumellea comorensis,-11.83556,43.32778,438300220,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,(Rchb.f.) Schltr.,Forêt de maroni,NA,KM,340,11,1999,PRESERVED_SPECIMEN,MNHN,P,P00183978,without-number,"Labat, J.N.;Yahaya, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,105266,Jumellea comorensis,Jumellea,comorensis,(Rchb.f.) Schltr.,Species,Accepted,NA,639351-1,105266,0,17,"c(43.32778, -11.83556)",TRUE
110967,GBIF_14934,Jumellea stenophylla,-14.23333,49.38333,437967197,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,Schltr.,NA,NA,MG,NA,2,2006,PRESERVED_SPECIMEN,MNHN,P,P00755118,without-number,"Antilahimena, P.;Randriamandimby;Tianina;Patrio",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,105327,Jumellea stenophylla,Jumellea,stenophylla,(Frapp. ex Cordem.) Schltr.,Species,Accepted,NA,639409-1,105327,20,7,"c(49.38333, -14.23333)",TRUE
128726,GBIF_53386,Jumellea stenophylla,-14.23638,49.38916,4032054542,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,(Frapp. ex Cordem.) Schltr.,"Sava, Andapa, Ambodivohitra. Anjialavabe, versant Sud Est. Echantillon préservé en alcool. Récolté avec J. Ihasotra & J. Rabevazaha.",NA,MG,1132,2,2006,PRESERVED_SPECIMEN,MO,Tropicos,102240956,2759,Charles Rakotovao;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,105327,Jumellea stenophylla,Jumellea,stenophylla,(Frapp. ex Cordem.) Schltr.,Species,Accepted,NA,639409-1,105327,0,27,"c(49.38916, -14.23638)",TRUE
128731,GBIF_53391,Jumellea francoisii,-14.385,49.36,4032053715,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,Schltr.,"Sava, Andapa, Doany, Andranomololo. Forêt sclérophylle de moyenne altitude: Andramanalana. Echantillon préservé en alcool. Récolté avec D. Ravelonarivo, Rico, Landry & R. Razakamalala.",NA,MG,1280,4,2006,PRESERVED_SPECIMEN,MO,Tropicos,102249416,3075,Charles Rakotovao,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,105281,Jumellea francoisii,Jumellea,francoisii,Schltr.,Species,Accepted,NA,639366-1,105281,0,7,"c(49.36, -14.385)",TRUE
128851,GBIF_53513,Jumellea punctata,-18.839167,48.302778000000004,4032058261,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,H. Perrier,"Alaotra Mangoro, Moramanga, Ambohibary, Ampitambe, Ambatovy. Zone de conservation. Berano et SOGEA.",NA,MG,1121,5,2010,PRESERVED_SPECIMEN,MO,Tropicos,102620738,27,Joharintsoa Aina Ramahenina;B.A. Ratodimanana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,105314,Jumellea punctata,Jumellea,punctata,H.Perrier,Species,Accepted,NA,639397-1,105314,1,7,"c(48.302778, -18.839167)",TRUE
128898,GBIF_53560,Jumellea stenophylla,-18.820556,48.324167,4032121274,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,(Frapp. ex Cordem.) Schltr.,"Moramanga, Ambohibary, Ampitambe, Ambatovy, Anketrihely forest.",NA,MG,1120,10,2011,PRESERVED_SPECIMEN,MO,Tropicos,102745433,7890,P. Antilahimena;Charles Rakotovao;B.A. Ratodimanana;J. Razanatsoa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,105327,Jumellea stenophylla,Jumellea,stenophylla,(Frapp. ex Cordem.) Schltr.,Species,Accepted,NA,639409-1,105327,0,27,"c(48.324167, -18.820556)",TRUE
129391,GBIF_54065,Jumellea punctata,-18.803333,48.321945,4032093003,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,H. Perrier,"Ambatovy, Region Alaotra-Mangoro, District Moramanga.",NA,MG,1025.5,11,2012,PRESERVED_SPECIMEN,MO,Tropicos,102816236,1772,Ambatovy Spirit Collection;Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,105314,Jumellea punctata,Jumellea,punctata,H.Perrier,Species,Accepted,NA,639397-1,105314,1,7,"c(48.321945, -18.803333)",TRUE
129397,GBIF_54071,Jumellea punctata,-18.837778,48.305278,4031772575,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,H. Perrier,"Ambatovy: Région Alaotra Mangoro, District Moramanga.",NA,MG,1094.5,9,2011,PRESERVED_SPECIMEN,MO,Tropicos,102846044,504A195/1,Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,105314,Jumellea punctata,Jumellea,punctata,H.Perrier,Species,Accepted,NA,639397-1,105314,1,7,"c(48.305278, -18.837778)",TRUE
129417,GBIF_54091,Jumellea stenophylla,-18.928889,48.421111,4032142777,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,(Frapp. ex Cordem.) Schltr.,"District Moramanga, Commune Andasibe, Réserve Spéciale Analamazaotra.",NA,MG,996,12,2013,PRESERVED_SPECIMEN,MO,Tropicos,102881036,650,"Hanta Razafindraibe;H. Rasoazanany;Ratolojanahary Tafita;Rakotondravelo, Alfred;Brigitte Ramandimbisoa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,105327,Jumellea stenophylla,Jumellea,stenophylla,(Frapp. ex Cordem.) Schltr.,Species,Accepted,NA,639409-1,105327,0,27,"c(48.421111, -18.928889)",TRUE
129432,GBIF_54106,Jumellea stenophylla,-18.850556,48.293056,4031365549,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Jumellea,SPECIES,(Frapp. ex Cordem.) Schltr.,"Ambatovy: Région Alaotra Mangoro, District Moramanga.",NA,MG,1103,5,2014,PRESERVED_SPECIMEN,MO,Tropicos,102918215,3829/1,Ambatovy Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,105327,Jumellea stenophylla,Jumellea,stenophylla,(Frapp. ex Cordem.) Schltr.,Species,Accepted,NA,639409-1,105327,0,27,"c(48.293056, -18.850556)",TRUE
