V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110325,GBIF_14210,Koellensteinia graminea,4.05,-52.7,437992972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Lindl.) Rchb.f.,NA,NA,GF,390,4,1992,PRESERVED_SPECIMEN,MNHN,P,P01807356,without-number,"Larpin, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106158,Koellensteinia graminea,Koellensteinia,graminea,(Lindl.) Rchb.f.,Species,Accepted,NA,639505-1,106158,0,16,"c(-52.7, 4.05)",TRUE
111204,GBIF_15208,Koellensteinia florida,-18.438056,-39.831944,4526414608,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,Angiospermas,Trilha Sul da Flona (Restinga). Flona do Rio Preto,NA,BR,NA,1,2020,PRESERVED_SPECIMEN,NA,VIES,VIES047402,59,"Oliveira, R.M.;Miranda, V.S.,Nepomuceno, A.,Dutra, S.C.,Nichio-Amaral, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,106157,Koellensteinia florida,Koellensteinia,florida,(Rchb.f.) Garay,Species,Accepted,NA,133712-2,106157,14,1,"c(-39.831944, -18.438056)",TRUE
111228,GBIF_15234,Koellensteinia graminea,-2.75,-60.916667,4526417765,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,Angiosperma,"Rio Negro, near Ponto de Pagodão in the Paraná de Anavilhanas.",NA,BR,NA,6,1990,PRESERVED_SPECIMEN,NA,Royal Botanic Gardens,K000886610,21230,S. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,106158,Koellensteinia graminea,Koellensteinia,graminea,(Lindl.) Rchb.f.,Species,Accepted,NA,639505-1,106158,15,1,"c(-60.916667, -2.75)",TRUE
111236,GBIF_15242,Koellensteinia graminea,-16.4625,-39.325278,4850648280,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,Angiospermas,Reserva da Brasil Holanda de Ind. S/A. Entrada no Km 22 da Rod. Eunapólis/P. Seguro. Ca. 9.5 Km na entrada. Mata Higrófila Sul Baiana.,NA,BR,NA,4,1994,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY01032099,4497,A.M. Carvalho,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,106158,Koellensteinia graminea,Koellensteinia,graminea,(Lindl.) Rchb.f.,Species,Accepted,NA,639505-1,106158,15,1,"c(-39.325278, -16.4625)",TRUE
113736,GBIF_17928,Koellensteinia eburnea,-15.994167,-47.208333,4427181544,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Barb.Rodr.) Schltr.,Fazenda Indaiá,NA,BR,0,2,2005,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027477,3611,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106154,Koellensteinia eburnea,Koellensteinia,eburnea,(Barb.Rodr.) Schltr.,Species,Accepted,NA,133709-2,106154,0,20,"c(-47.208333, -15.994167)",TRUE
113793,GBIF_17985,Koellensteinia eburnea,-15.714167,-48.951389,3914981763,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Barb.Rodr.) Schltr.,"Mosteiro Zen Horyu-Zan Eisho-Ji, Abaixo da pedreira desativada, na nascente do Córrego Chapadão",NA,BR,1076,1,2018,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00020822,1706,"Chacon, RG;Rivaroli, GV,Tinti, BV",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106154,Koellensteinia eburnea,Koellensteinia,eburnea,(Barb.Rodr.) Schltr.,Species,Accepted,NA,133709-2,106154,0,20,"c(-48.951389, -15.714167)",TRUE
113798,GBIF_17990,Koellensteinia eburnea,-15.711667,-48.956389,3914981777,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Barb.Rodr.) Schltr.,"Mosteiro Zen Horyu-Zan Eisho-Ji, Caminho da nascente do Córrego Chapadão para 8ª cachoeira",NA,BR,1041,1,2018,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00020814,1730,"Chacon, RG;Rivaroli, GV,Tinti, BV",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106154,Koellensteinia eburnea,Koellensteinia,eburnea,(Barb.Rodr.) Schltr.,Species,Accepted,NA,133709-2,106154,0,20,"c(-48.956389, -15.711667)",TRUE
113806,GBIF_17998,Koellensteinia eburnea,-15.714167,-48.951111,3914981800,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Barb.Rodr.) Schltr.,"Mosteiro Zen Horyu-Zan Eisho-Ji, Subida para a pedreira",NA,BR,1090,3,2018,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00020823,1052,"Paiva, VF;Soares, ACA,Tinti, BV,Oliveira, EBL de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106154,Koellensteinia eburnea,Koellensteinia,eburnea,(Barb.Rodr.) Schltr.,Species,Accepted,NA,133709-2,106154,0,20,"c(-48.951111, -15.714167)",TRUE
114046,GBIF_18242,Koellensteinia eburnea,-19.1875,-43.4375,4427184738,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Barb.Rodr.) Schltr.,Estrada Real,NA,BR,276,12,2005,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027478,3920,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106154,Koellensteinia eburnea,Koellensteinia,eburnea,(Barb.Rodr.) Schltr.,Species,Accepted,NA,133709-2,106154,0,20,"c(-43.4375, -19.1875)",TRUE
114137,GBIF_18333,Koellensteinia eburnea,-19.1875,-43.4375,4427186639,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Barb.Rodr.) Schltr.,Estrada Real,NA,BR,276,8,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027481,4236,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106154,Koellensteinia eburnea,Koellensteinia,eburnea,(Barb.Rodr.) Schltr.,Species,Accepted,NA,133709-2,106154,0,20,"c(-43.4375, -19.1875)",TRUE
114568,GBIF_18770,Koellensteinia florida,-14.9,-39.05,1929235909,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,Pabst,1 km deos a entrada para a Fazenda Manguinho a 10 km de Ilhéus na estrada Ilhéus-Olivença.,NA,BR,NA,6,1990,PRESERVED_SPECIMEN,NY,NY,1032096,2852,L. P. de Queiroz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,106157,Koellensteinia florida,Koellensteinia,florida,(Rchb.f.) Garay,Species,Accepted,NA,133712-2,106157,14,1,"c(-39.05, -14.9)",TRUE
114784,GBIF_18991,Koellensteinia graminea,0.72,-78.88,1928113843,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Lindl.) Rchb.f.,"Reserva Ecológica Cotacachi-Cayapas, Charco Vicente. Río San Miguel, afluente del Río Cayapas.",NA,EC,NA,9,1993,PRESERVED_SPECIMEN,NY,NY,1546499,11182,W. A. Palacios,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106158,Koellensteinia graminea,Koellensteinia,graminea,(Lindl.) Rchb.f.,Species,Accepted,NA,639505-1,106158,0,16,"c(-78.88, 0.72)",TRUE
114944,GBIF_19158,Koellensteinia graminea,5.83,-76.33,1930211062,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Koellensteinia,SPECIES,(Lindl.) Rchb.f.,Hwy. Bolívar-Quibdo.Near Km 135,NA,CO,NA,10,1983,PRESERVED_SPECIMEN,NY,NY,1546488,1120,A. M. Juncosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,106158,Koellensteinia graminea,Koellensteinia,graminea,(Lindl.) Rchb.f.,Species,Accepted,NA,639505-1,106158,0,16,"c(-76.33, 5.83)",TRUE
