V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103881,GBIF_50,Lecanorchis japonica,37.15,138.21,3349553099,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,VARIETY,NA,"Niigata Pref., Joetsu city",NA,JP,NA,6,2008,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109155,Lecanorchis japonica,Lecanorchis,japonica,Blume,Species,Accepted,NA,639857-1,109155,5,-1,"c(138.21, 37.15)",TRUE
103882,GBIF_51,Lecanorchis suginoana,34.73,137.45,3349677068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,NA,"Aichi Pref., Toyohashi city",NA,JP,NA,6,2009,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,334945,Lecanorchis suginoana,Lecanorchis,suginoana,(Tuyama) Seriz.,Species,Accepted,NA,77066897-1,334945,15,-1,"c(137.45, 34.73)",TRUE
103883,GBIF_52,Lecanorchis nigricans,34.78,137.93,3349553100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,NA,"Shizuoka Pref., Fukuroi city",NA,JP,NA,7,2008,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109168,Lecanorchis nigricans,Lecanorchis,nigricans,Honda,Species,Accepted,NA,639864-1,109168,5,-1,"c(137.93, 34.78)",TRUE
103898,GBIF_72,Lecanorchis japonica,31.66,131.15,3346161072,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,NA,"Miyazaki Pref., Nichinan city",NA,JP,NA,5,2009,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109155,Lecanorchis japonica,Lecanorchis,japonica,Blume,Species,Accepted,NA,639857-1,109155,5,-1,"c(131.15, 31.66)",TRUE
103928,GBIF_112,Lecanorchis virella,32.35,131.43,3349581050,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,NA,"Miyazaki Pref., Hyuga city",NA,JP,NA,5,2009,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109182,Lecanorchis virella,Lecanorchis,virella,T.Hashim.,Species,Accepted,NA,939009-1,109182,9,-1,"c(131.43, 32.35)",TRUE
107635,GBIF_10870,Lecanorchis malaccensis,2.7333,113.75,2513808045,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,Ridl.,"Division 3, Teneong",NA,MY,NA,9,1954,PRESERVED_SPECIMEN,NA,Botany,L.1512576,"Brooke, WMA 9178",Brooke WMA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,109164,Lecanorchis malaccensis,Lecanorchis,malaccensis,Ridl.,Species,Accepted,NA,639861-1,109164,0,5,"c(113.75, 2.7333)",TRUE
109883,GBIF_13725,Lecanorchis kiusiana,33.318,126.593,4973773440,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,NA,Sanghyo-dong,NA,KR,NA,6,2015,PRESERVED_SPECIMEN,ENHM,PL,ENHM-PL-230300033,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109162,Lecanorchis kiusiana,Lecanorchis,kiusiana,Tuyama,Species,Accepted,NA,639860-1,109162,6,-1,"c(126.593, 33.318)",TRUE
109884,GBIF_13726,Lecanorchis japonica,33.318,126.593,4973773444,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,NA,Sanghyo-dong,NA,KR,NA,6,2015,PRESERVED_SPECIMEN,ENHM,PL,ENHM-PL-230300031,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109155,Lecanorchis japonica,Lecanorchis,japonica,Blume,Species,Accepted,NA,639857-1,109155,5,-1,"c(126.593, 33.318)",TRUE
129616,GBIF_54294,Lecanorchis nigricans,22.172222,120.723889,4032163790,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,Honda,"Pingtung Hsien, Shihtzu Hsiang, Lilungshan",NA,TW,800,3,1999,PRESERVED_SPECIMEN,MO,Tropicos,103269251,1054,Shu-Hui Wu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,109168,Lecanorchis nigricans,Lecanorchis,nigricans,Honda,Species,Accepted,NA,639864-1,109168,0,5,"c(120.723889, 22.172222)",TRUE
132917,GBIF_57998,Lecanorchis multiflora,-6.71667,106.2,2513216426,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,J.J.Sm.,Java. Bantam. G.Malang. ?Am Z.O. van Pasaoeran.,NA,ID,NA,NA,1913,PRESERVED_SPECIMEN,NA,Botany,L  0426579,"Backer, CA 7158",Backer CA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,109165,Lecanorchis multiflora,Lecanorchis,multiflora,J.J.Sm.,Species,Accepted,NA,639862-1,109165,0,7,"c(106.2, -6.71667)",TRUE
133672,GBIF_58836,Lecanorchis javanica,-6.75,107.55,2513809681,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,J.J.Sm.,Java Res. Batavia. G. Boerangrang. G. Limoes,NA,ID,NA,7,1920,PRESERVED_SPECIMEN,NA,Botany,L.1512596,"Slooten, DF van 449 a",Slooten DF van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109160,Lecanorchis javanica,Lecanorchis,javanica,Blume,Species,Accepted,NA,639858-1,109160,6,1,"c(107.55, -6.75)",TRUE
135206,GBIF_60551,Lecanorchis triloba,-9.61667,149.16667,2513811202,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lecanorchis,SPECIES,Schltr.,"Raba Raba Subdist., Milne Bay Dist. Junction Ugat and Mayu Rivers, near Mayu I.",NA,PG,NA,7,1972,PRESERVED_SPECIMEN,NA,Botany,L.1512593,"Streimann, H; Katik, P NGF 28974",Streimann H; Katik P,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,109181,Lecanorchis triloba,Lecanorchis,triloba,J.J.Sm.,Species,Accepted,NA,639872-1,109181,6,1,"c(149.16667, -9.61667)",TRUE
