V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
123382,GBIF_44734,Lepidogyne longifolia,9.25,123.16667,2513810319,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Negros, Negros Oriental Province. Mt. Talines (Cuernos de Negros), c.20km. south west of Dumagete City.",NA,PH,NA,3,1976,PRESERVED_SPECIMEN,NA,Botany,L.1513367,"Sands, MJS 3231",Sands MJS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(123.16667, 9.25)",TRUE
123383,GBIF_44735,Lepidogyne longifolia,-7.05,106.98333,2513809268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Archipel. Ind. Java, Res. Preanger Reg. Takoka.",NA,ID,NA,2,1894,PRESERVED_SPECIMEN,NA,Botany,L.1513369,"Koorders, SH 14935",Koorders SH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(106.98333, -7.05)",TRUE
123887,GBIF_45276,Lepidogyne longifolia,-5.79083,146.0545,2513121115,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Kaiser Wlhelmsland, Finisterre-Geb.",NA,PG,NA,1,1909,PRESERVED_SPECIMEN,NA,Botany,L  0063947,"Schlechter, FRR 19166",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(146.0545, -5.79083)",TRUE
132586,GBIF_57628,Lepidogyne longifolia,11.53333,124.56667,2513809724,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Philippines, Biliran Island, Mt. Suiro (Northern Slope).",NA,PH,NA,4,1954,PRESERVED_SPECIMEN,NA,Botany,L.1513368,"Sulit, MD PNH 21721",Sulit MD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(124.56667, 11.53333)",TRUE
135209,GBIF_60557,Lepidogyne longifolia,-6.73528,107.58472,2513809483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Archip. Ind. Java, G.Boerangrang, N.helling.",NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1513363,"Backer, CA 14120",Backer CA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(107.58472, -6.73528)",TRUE
158161,GBIF_97703,Lepidogyne longifolia,-4.34312,138.1232,2513809362,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,N. Guinea. Nassau Geb. Exploratie bivak,NA,ID,NA,10,1926,PRESERVED_SPECIMEN,NA,Botany,L.1513359,"Docters van Leeuwen, WM 10548",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(138.1232, -4.34312)",TRUE
164242,GBIF_104671,Lepidogyne longifolia,-6.66667,143.63333,2513811461,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Track from Tigedu to Sambiang E of Mongi river, 25km E of Finschhafen. Subdist. Finschhafen, Dist. Morobe.",NA,PG,NA,9,1976,PRESERVED_SPECIMEN,NA,Botany,L.1513360,"Croft, JR; Katik, P LAE 68588",Croft JR; Katik P,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(143.63333, -6.66667)",TRUE
165014,GBIF_105614,Lepidogyne longifolia,-2.51932,140.37041,2513812504,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Netherlands New Guinea, distr. Hollandia, Cycloop Mountains, path Dozai - Dafonsero, N of Dozai, Baimoengoen creek",NA,ID,NA,7,1961,PRESERVED_SPECIMEN,NA,Botany,L.1513355,"Royen, P van; Sleumer, HO 6318",Royen P van; Sleumer HO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(140.37041, -2.51932)",TRUE
168600,GBIF_109741,Lepidogyne longifolia,-8.88333,147.73333,2513810485,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,"Papua, Kokoda",NA,PG,NA,5,1936,PRESERVED_SPECIMEN,NA,Botany,L.1513357,"Carr, CE 17168",Carr CE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(147.73333, -8.88333)",TRUE
168837,GBIF_110017,Lepidogyne longifolia,-6.1783,106.6308,2513119948,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,Tangerang.,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L  0061480,"Blume, CL 66 i",Blume CL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(106.6308, -6.1783)",TRUE
169583,GBIF_110901,Lepidogyne longifolia,-1.15,132.48333,2513810478,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepidogyne,SPECIES,(Blume) Blume,Area SE of Ayawasi,NA,ID,NA,8,1995,PRESERVED_SPECIMEN,NA,Botany,L.1513349,"Polak, AM 768",Polak AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110846,Lepidogyne longifolia,Lepidogyne,longifolia,(Blume) Blume,Species,Accepted,NA,640272-1,110846,0,13,"c(132.48333, -1.15)",TRUE
