V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
2082,ALA_2382,Leporella fimbriata,-35.45,138.516667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,Inman Valley,Australia,AU,NA,6,1922,PRESERVED_SPECIMEN,HO,HO,HO503150,2063a,"Rogers, R.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(138.516667, -35.45)",TRUE
2848,ALA_3292,Leporella fimbriata,-34.533333,135.683333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,"S end of Wanilla rail siding, Stone Reserve. Section 121, Hundred of Wanilla",Australia,AU,NA,5,1967,PRESERVED_SPECIMEN,HO,HO,HO131188,s.n.,"Alcock, C.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(135.683333, -34.533333)",TRUE
4778,ALA_5640,Leporella fimbriata,-32.101944,116.680278,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,"Qualen Road, 11.1 km E of Gunapin Ridge Road.",Australia,AU,NA,5,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 624933.1,1358,"French, C.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(116.680278, -32.101944)",TRUE
6517,ALA_7796,Leporella fimbriata,-33.3,117.333333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,2 km N of Wagin.,Australia,AU,NA,10,1991,PRESERVED_SPECIMEN,CANB,CANB,CANB 733214.2,7551,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(117.333333, -33.3)",TRUE
6726,ALA_8056,Leporella fimbriata,-36.002222,136.853889,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,"Kelly Hill Caves Conservation Park, ca 2km along track to Hanson Bay.",Australia,AU,NA,8,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9707013.1,11904,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(136.853889, -36.002222)",TRUE
8068,ALA_9832,Leporella fimbriata,-34.995,116.711389,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,"Sandy Beach, Walpole.",Australia,AU,NA,4,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 625066.1,1331,"French, C.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(116.711389, -34.995)",TRUE
9500,ALA_11776,Leporella fimbriata,-32.072778,116.068056,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,Victoria Dam catchment track. 700m NW of termination of Douglas Road.,Australia,AU,NA,4,2005,PRESERVED_SPECIMEN,CANB,CANB,CANB 662297.1,1589,"Brockman, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(116.068056, -32.072778)",TRUE
9514,ALA_11796,Leporella fimbriata,-34.366667,118.25,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,Bluff Knoll firebreak.,Australia,AU,NA,8,1994,PRESERVED_SPECIMEN,CANB,CANB,CBG 9613056.1,DLJ13210,"French, C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(118.25, -34.366667)",TRUE
10571,ALA_13335,Leporella fimbriata,-34.450278,135.811667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,"Ca 7 km from Koppio, beside Toolillie Road, E side.",Australia,AU,NA,9,2000,PRESERVED_SPECIMEN,CANB,CANB,CANB 630764.1,17410,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(135.811667, -34.450278)",TRUE
11117,ALA_14090,Leporella fimbriata,-34.033333,115.683333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,Near corner Stewart Road and Brockman Highway.,Australia,AU,NA,10,2015,PRESERVED_SPECIMEN,CANB,CANB,CANB 953799.1,12310,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(115.683333, -34.033333)",TRUE
11263,ALA_14282,Leporella fimbriata,-34.983333,116.85,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,Turnoff to Giant Tingle Tree [Tingle State Forest] from South Coast Highway.,Australia,AU,NA,10,2000,PRESERVED_SPECIMEN,CANB,CANB,CANB 679663.1,10452,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(116.85, -34.983333)",TRUE
11556,ALA_14667,Leporella fimbriata,-32.108611,116.546667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,Qualen Road 1.5km east of Kent Road junction.Dale State Forest. north side.,Australia,AU,NA,5,2005,PRESERVED_SPECIMEN,CANB,CANB,CANB 662313.1,1607,"Brockman, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(116.546667, -32.108611)",TRUE
11914,ALA_15167,Leporella fimbriata,-34.046667,115.027778,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Leporella,species,(Lindl.) A.S.George,"Off Caves Beach Rd, S of Redgate Road; Calgarup Rd, [Redgate].",Australia,AU,NA,9,2012,PRESERVED_SPECIMEN,CANB,CANB,CANB 891198.1,11963,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,110880,Leporella fimbriata,Leporella,fimbriata,(Lindl.) A.S.George,Species,Accepted,NA,640275-1,110880,0,19,"c(115.027778, -34.046667)",TRUE
