V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114730,GBIF_18936,Leptotes bicolor,-23.565521,-46.724373,1930572188,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Lindl.,Butantan.,NA,BR,NA,9,1919,PRESERVED_SPECIMEN,NY,NY,1032113,3447,F. C. Hoehne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111560,Leptotes bicolor,Leptotes,bicolor,Lindl.,Species,Accepted,NA,640431-1,111560,0,6,"c(-46.724373, -23.565521)",TRUE
140171,GBIF_65885,Leptotes bicolor,-28.69,-49.431944,2996471189,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Lindl.,Parque Ecológico Municipal José Milanese.,NA,BR,NA,9,2015,PRESERVED_SPECIMEN,CRI,CRI,CRI005847,without-number,"Gabriel Waterkemper Girardi;Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111560,Leptotes bicolor,Leptotes,bicolor,Lindl.,Species,Accepted,NA,640431-1,111560,0,6,"c(-49.431944, -28.69)",TRUE
140172,GBIF_65886,Leptotes bicolor,-28.848056,-49.454444,2996471198,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Lindl.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005846,without-number,T. Silva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111560,Leptotes bicolor,Leptotes,bicolor,Lindl.,Species,Accepted,NA,640431-1,111560,0,6,"c(-49.454444, -28.848056)",TRUE
140833,GBIF_66573,Leptotes unicolor,-25.53,-49.23,2618393923,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Barb. Rodr.,Plantae Brasilienses. Paraná: Curityba.,NA,BR,NA,7,1909,PRESERVED_SPECIMEN,S,VascularPlants,S16-23048,8515,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,111568,Leptotes unicolor,Leptotes,unicolor,Barb.Rodr.,Species,Accepted,NA,640441-1,111568,1,5,"c(-49.23, -25.53)",TRUE
140982,GBIF_66734,Leptotes bicolor,-25.51,-48.66,2618562106,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Lindl.,Plantae Brasilienses. Paraná: Rio das Pedras.,NA,BR,NA,10,1915,PRESERVED_SPECIMEN,S,VascularPlants,S16-27246,17246,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111560,Leptotes bicolor,Leptotes,bicolor,Lindl.,Species,Accepted,NA,640431-1,111560,0,6,"c(-48.66, -25.51)",TRUE
141896,GBIF_67685,Leptotes unicolor,-25.302222,-53.391667,2285830723,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Barb.Rodr.,"Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do Rio Monteiro. Floresta em estágio médio de sucessão secundária; Ponto 133.",NA,BR,249,7,2018,PRESERVED_SPECIMEN,UTFPR,DVPR,6090,412,"Silva, D.R.; Tcatch, B.G.; Pereira, J.P.; Piva, J.; Machado, C.; Moura, A.P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111568,Leptotes unicolor,Leptotes,unicolor,Barb.Rodr.,Species,Accepted,NA,640441-1,111568,0,10,"c(-53.391667, -25.302222)",TRUE
176506,GBIF_119899,Leptotes bicolor,-23.9196593,-49.6525162,1930273681,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Lindl.,"Rio Jaguariaiva, Carreirra",NA,BR,NA,11,1970,PRESERVED_SPECIMEN,NY,NY,1032114,25558,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111560,Leptotes bicolor,Leptotes,bicolor,Lindl.,Species,Accepted,NA,640431-1,111560,0,6,"c(-49.6525162, -23.9196593)",TRUE
177477,GBIF_121124,Leptotes unicolor,-25.531222,-53.804444,1324595542,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Barb.Rodr.,Parque Nacional do Iguaçu - Rio Floriano,NA,BR,217,5,2016,PRESERVED_SPECIMEN,UTFPR-CP,HCF,19884,7416,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111568,Leptotes unicolor,Leptotes,unicolor,Barb.Rodr.,Species,Accepted,NA,640441-1,111568,0,10,"c(-53.804444, -25.531222)",TRUE
177597,GBIF_121250,Leptotes unicolor,-25.620583,-54.470694,1570755796,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Barb.Rodr.,Parque Nacional do Iguaçu - Trilha da,NA,BR,NA,5,2017,PRESERVED_SPECIMEN,UTFPR-CP,HCF,23022,7814,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111568,Leptotes unicolor,Leptotes,unicolor,Barb.Rodr.,Species,Accepted,NA,640441-1,111568,0,10,"c(-54.470694, -25.620583)",TRUE
177710,GBIF_121368,Leptotes unicolor,-24.315056,-52.158861,3827986402,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,SPECIES,Barb.Rodr.,Estação Ecológica Municipal Rio Formoso,NA,BR,428,5,2022,PRESERVED_SPECIMEN,UTFPR-CP,HCF,33664,3928,E.L. Siqueira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,111568,Leptotes unicolor,Leptotes,unicolor,Barb.Rodr.,Species,Accepted,NA,640441-1,111568,0,10,"c(-52.158861, -24.315056)",TRUE
