V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107891,GBIF_11139,Limodorum abortivum,35.93333,35.98333,2517200267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,(L.) Sw.,"Kasab, N.Syria",NA,SY,NA,5,1955,PRESERVED_SPECIMEN,NA,Botany,U.1470426,"Barkoudah, YI 5",Barkoudah YI,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,0,8,"c(35.98333, 35.93333)",TRUE
113363,GBIF_17522,Limodorum abortivum,45.18403,5.70614,3940571640,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,NA,NA,NA,FR,275,6,1849,PRESERVED_SPECIMEN,NA,NA,NA,without-number,JAYET Pierre Benoît,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,8,-1,"c(5.70614, 45.18403)",TRUE
113370,GBIF_17530,Limodorum abortivum,45.18403,5.70614,3940571682,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,NA,NA,NA,FR,275,6,1853,PRESERVED_SPECIMEN,NA,NA,NA,without-number,JAYET Pierre Benoît,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,8,-1,"c(5.70614, 45.18403)",TRUE
113380,GBIF_17543,Limodorum abortivum,45.18556,5.64251,3940571860,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,NA,NA,NA,FR,476,5,1848,PRESERVED_SPECIMEN,NA,NA,NA,without-number,JAYET Pierre Benoît,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,8,-1,"c(5.64251, 45.18556)",TRUE
119118,GBIF_32556,Limodorum abortivum,42.7688719,-3.341246,3829873995,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SUBSPECIES,(L.) Swartz,de Cillaperlata a Quintanaseca,NA,ES,560,5,1987,PRESERVED_SPECIMEN,Universidad del Pais Vasco (UPV/EHU),BIO,17038-1,without-number,I. García-Mijangos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,4,7,"c(-3.341246, 42.7688719)",TRUE
119270,GBIF_32744,Limodorum abortivum,40.7197,-0.0017,2521384443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SUBSPECIES,(L.) Sw.,Herbés; Herbers,NA,ES,795,5,1994,PRESERVED_SPECIMEN,BC,BC,BC-877509,without-number,E. del Castillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,0,8,"c(-0.0017, 40.7197)",TRUE
119294,GBIF_32768,Limodorum abortivum,41.41,2.1,1842883508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,(L.) Sw.,Barcelona; Vallvidrera,NA,ES,NA,5,1866,PRESERVED_SPECIMEN,BC,BC-Tremols,BC-Tremols-957070,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,0,8,"c(2.1, 41.41)",TRUE
119306,GBIF_32780,Limodorum abortivum,41.59,1.98,1842895598,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,Swartz,Terrassa; Terrassa,NA,ES,NA,5,1879,PRESERVED_SPECIMEN,BC,BC-Cadevall,BC-Cadevall-823444,without-number,J. Cadevall,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,8,-1,"c(1.98, 41.59)",TRUE
119337,GBIF_32813,Limodorum abortivum,41.95,1.49,2521370868,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SUBSPECIES,(L.) Sw.,"Olius; Olius, Costa de la Rebollosa",NA,ES,750,5,1996,PRESERVED_SPECIMEN,BC,BC,BC-912819,without-number,E. del Castillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,0,8,"c(1.49, 41.95)",TRUE
119346,GBIF_32822,Limodorum abortivum,41.554,2.4003,2521376459,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,SPECIES,(L.) Sw.,Argentona; Argentona,NA,ES,NA,5,2003,PRESERVED_SPECIMEN,BC,BC,BC-866827,without-number,S. Pyke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,112374,Limodorum abortivum,Limodorum,abortivum,(L.) Sw.,Species,Accepted,NA,640520-1,112374,0,8,"c(2.4003, 41.554)",TRUE
