V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106972,GBIF_10188,Listrostachys pertusa,2.88333,9.9,2517202820,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"7 km S. of Kribi, falls of Lobé river.",NA,CM,NA,2,1969,PRESERVED_SPECIMEN,NA,Botany,WAG0139520,"Bos, JJ 3947",Bos JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(9.9, 2.88333)",TRUE
107134,GBIF_10355,Listrostachys pertusa,5.64167,-4.575,2517714004,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,Bécédi.,NA,CI,NA,9,1967,PRESERVED_SPECIMEN,NA,Botany,WAG.1137922,"Bruijn, J de 1771",Bruijn J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(-4.575, 5.64167)",TRUE
108040,GBIF_11293,Listrostachys pertusa,-0.41667,9.5,2517373822,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,eastern part of the Presidential Reserve Wonga- Wongue c. 100km S. of Libreville,NA,GA,NA,9,2011,PRESERVED_SPECIMEN,NA,Botany,WAG8002306,"Damen, THJ 452",Damen THJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(9.5, -0.41667)",TRUE
108041,GBIF_11294,Listrostachys pertusa,0.88333,10.2,2515540976,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"Forest exploitation Leroy, 20 km N.W. of Asok.",NA,GA,NA,4,2007,PRESERVED_SPECIMEN,NA,Botany,WAG8002737,"Damen, THJ 266",Damen THJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.2, 0.88333)",TRUE
122433,GBIF_43719,Listrostachys pertusa,0.63167,10.39033,2515746835,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,3 km from hydroelectric compound at Tchimbele.,NA,GA,NA,11,2002,PRESERVED_SPECIMEN,NA,Botany,WAG0139517,"Strijk, JS 341",Strijk JS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.39033, 0.63167)",TRUE
123022,GBIF_44342,Listrostachys pertusa,5.36667,-4.05,2517452058,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"Banco Forest Reserve, on lefthand side of Route Reste, near entry.",NA,CI,NA,11,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1137917,"Koning, J de 4730",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(-4.05, 5.36667)",TRUE
123023,GBIF_44343,Listrostachys pertusa,5.38333,-4.05,2517260252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"Adiopo Doumé, Culta from Banco Forest Reserve",NA,CI,NA,10,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1137919,"Burg, WJ van der 1242",Burg WJ van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(-4.05, 5.38333)",TRUE
133236,GBIF_58356,Listrostachys pertusa,0.88333,10.2,2515865392,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"forest exploitation Leroy, 20 km NW of Assok.",NA,GA,NA,8,1983,PRESERVED_SPECIMEN,NA,Botany,WAG.1137887,"Laan, FM van der 676",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.2, 0.88333)",TRUE
133237,GBIF_58357,Listrostachys pertusa,-0.08333,10.75,2515703062,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"Missanga, 5-15 km NNW of Ndjolé.",NA,GA,NA,11,1991,PRESERVED_SPECIMEN,NA,Botany,WAG.1137889,"Breteler, FJ; Jongkind, CCH 10413",Breteler FJ; Jongkind CCH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.75, -0.08333)",TRUE
133238,GBIF_58358,Listrostachys pertusa,0.62833,10.40367,2517708936,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,near hydroelectric compound at Tchimbele.,NA,GA,NA,11,2002,PRESERVED_SPECIMEN,NA,Botany,WAG.1137906,"Strijk, JS 455",Strijk JS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.40367, 0.62833)",TRUE
133239,GBIF_58359,Listrostachys pertusa,0.62833,10.40367,2517415023,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,near hydroelectric compound at Tchimbele.,NA,GA,NA,11,2002,PRESERVED_SPECIMEN,NA,Botany,WAG.1137908,"Strijk, JS 458",Strijk JS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.40367, 0.62833)",TRUE
133930,GBIF_59129,Listrostachys pertusa,2.5,10.71667,2515547783,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"Campo Ma'an National Park, trail to Onoyong, COFA bulldozer track.",NA,CM,NA,8,2001,PRESERVED_SPECIMEN,NA,Botany,WAG0137266,"Andel, TR van; Mva, B; Bengono, M 4085",Andel TR van; Mva B; Bengono M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(10.71667, 2.5)",TRUE
133949,GBIF_59149,Listrostachys pertusa,5.33333,-4.13333,2517367551,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Listrostachys,SPECIES,(Lindl.) Rchb.f.,"Adiopodoumé, 17 km W of Abidjan. Garden of Centre Néerlandais.",NA,CI,NA,11,1978,PRESERVED_SPECIMEN,NA,Botany,WAG0139525,"Dekker, AJFM 331",Dekker AJFM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,114241,Listrostachys pertusa,Listrostachys,pertusa,(Lindl.) Rchb.f.,Species,Accepted,NA,641664-1,114241,0,16,"c(-4.13333, 5.33333)",TRUE
