V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106816,GBIF_10028,Lockhartia imbricata,3.13333,-58.53333,2517235341,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,(Lam.) Hoehne,NA,NA,GY,NA,9,1999,PRESERVED_SPECIMEN,NA,Botany,U.1470173,"Jansen-Jacobs, MJ 6122",Jansen-Jacobs MJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115027,Lockhartia imbricata,Lockhartia,imbricata,(Lam.) Hoehne,Species,Accepted,NA,142880-2,115027,0,13,"c(-58.53333, 3.13333)",TRUE
110929,GBIF_14896,Lockhartia imbricata,-1.18722,-46.66889,437237206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,(Lam.) Hoehne,"Colonia Benjamin Constant, 16 km de Bragança",NA,BR,2.5,8,2003,PRESERVED_SPECIMEN,MNHN,P,P00340525,without-number,"Pignal, M.;Benoît, A.;da Silva, J.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115027,Lockhartia imbricata,Lockhartia,imbricata,(Lam.) Hoehne,Species,Accepted,NA,142880-2,115027,0,13,"c(-46.66889, -1.18722)",TRUE
111371,GBIF_15385,Lockhartia imbricata,3.433333,-61.466667,4526428412,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,Angiospermas,"SEMA Ecological Reserve, Ilha de Maracá. M end of the Trilha de Preguiça (very close to the Furo de Santa Rosa).",NA,BR,NA,1,1988,PRESERVED_SPECIMEN,NA,Royal Botanic Gardens,K000847196,R6126,J.A. Ratter;W. Milliken,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115027,Lockhartia imbricata,Lockhartia,imbricata,(Lam.) Hoehne,Species,Accepted,NA,142880-2,115027,13,-1,"c(-61.466667, 3.433333)",TRUE
113417,GBIF_17582,Lockhartia oerstedii,19.536111,-104.256389,1893970188,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,"Rchb. f., 1852","2.5 km al NE de El Durazno, 13 km al NE de Cuautitlán",NA,MX,500,3,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,5061,without-number,Francisco Javier Santana Michel; Luis Guzmán Hernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115044,Lockhartia oerstedii,Lockhartia,oerstedii,Rchb.f.,Species,Accepted,NA,641732-1,115044,7,5,"c(-104.256389, 19.536111)",TRUE
113592,GBIF_17771,Lockhartia oerstedii,19.691667,-104.391667,1893970203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,"Rchb. f., 1852",16 km al S de Autlán,NA,MX,674,NA,without-year,PRESERVED_SPECIMEN,UW,WIS,NO DISPONIBLE,without-number,Robert Wilbur; Roger Wilbur,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115044,Lockhartia oerstedii,Lockhartia,oerstedii,Rchb.f.,Species,Accepted,NA,641732-1,115044,7,5,"c(-104.391667, 19.691667)",TRUE
114560,GBIF_18762,Lockhartia imbricata,3.38,-59.5,2542526760,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,(Lam.) Hoehne,"U. Takutu - U. Essequibo Region: NW Kanuku Mtns; tributary of Nappi creek at rapids called """"""""The Waterfall"""""""".",NA,GY,NA,2,1993,PRESERVED_SPECIMEN,NY,NY,4102746,3785a,B. Hoffmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115027,Lockhartia imbricata,Lockhartia,imbricata,(Lam.) Hoehne,Species,Accepted,NA,142880-2,115027,0,13,"c(-59.5, 3.38)",TRUE
114589,GBIF_18791,Lockhartia goyazensis,-6.5,-50.27,1930131059,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,Rchb.f.,Serra dos Carajás. 6 km. southeast of AMZA camp N-1,NA,BR,NA,5,1982,PRESERVED_SPECIMEN,NY,NY,1281437,5731,C. R. Sperling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115023,Lockhartia goyazensis,Lockhartia,goyazensis,Rchb.f.,Species,Accepted,NA,641713-1,115023,0,7,"c(-50.27, -6.5)",TRUE
114680,GBIF_18885,Lockhartia goyazensis,-10.202896,-62.788794,1930823585,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,Rchb.f.,Porto Velho to Cuiabá highway. 4 km. south of Nova Vida. Disturbed forest on terra firme.,NA,BR,NA,8,1968,PRESERVED_SPECIMEN,NY,NY,1281448,7074,E. Forero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115023,Lockhartia goyazensis,Lockhartia,goyazensis,Rchb.f.,Species,Accepted,NA,641713-1,115023,0,7,"c(-62.788794, -10.202896)",TRUE
114753,GBIF_18960,Lockhartia lunifera,-15.2970178,-39.0751883,1930772242,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,(Lindl.) Rchb.f.,Estrada São José Una. Coletas efetuadas entre os km 40 e 45 a partir da BR.,NA,BR,NA,10,1992,PRESERVED_SPECIMEN,NY,NY,02103631,821,A. M. Amorim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115036,Lockhartia lunifera,Lockhartia,lunifera,(Lindl.) Rchb.f.,Species,Accepted,NA,641725-1,115036,0,16,"c(-39.0751883, -15.2970178)",TRUE
124242,GBIF_45656,Lockhartia imbricata,3.53333,-53.2,2517507214,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lockhartia,SPECIES,(Lam.) Hoehne,"2 km SW of Saül, track Limonade",NA,GF,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,U.1470177,"Ek, RC; Montfoort, D 251",Ek RC; Montfoort D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115027,Lockhartia imbricata,Lockhartia,imbricata,(Lam.) Hoehne,Species,Accepted,NA,142880-2,115027,0,13,"c(-53.2, 3.53333)",TRUE
