V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
123440,GBIF_44800,Ludisia discolor,20.35017,105.58967,2513820195,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,(Ker Gawl.) A.Rich.,"Vietnam, Ninh Binh Prov., Nho Quan dist., Cuc Phuong National Park, c. 0.5 km W from Bong Locality.",NA,VN,NA,5,2002,PRESERVED_SPECIMEN,NA,Botany,L.1521933,"Averyanov, LV; Xinh, MV; Vinh, NT; Tam, NX; Lôc, PK HAL 1655",Averyanov LV; Xinh MV; Vinh NT; Tam NX; Lôc PK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,7,12,"c(105.58967, 20.35017)",TRUE
126760,GBIF_49274,Ludisia discolor,24.392902,106.633387,1303973026,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,玉洪乡，老山,NA,CN,NA,NA,1937,PRESERVED_SPECIMEN,IBSC,NA,00ed7158-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(106.633387, 24.392902)",TRUE
126913,GBIF_49700,Ludisia discolor,23.376591,114.269636,1303971020,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,罗浮山,NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,IBSC,NA,00f7b43b-b6c0-11e1-8c2f-acd112e444a7,without-number,T.M.Tsui,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(114.269636, 23.376591)",TRUE
127032,GBIF_50129,Ludisia discolor,18.252013,109.504134,1303966884,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,横婆坡东之二皇山,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,0111b9b8-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(109.504134, 18.252013)",TRUE
127075,GBIF_50206,Ludisia discolor,18.252013,109.504134,1303970933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,近三模屈村尖峯嶺,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,00f82b35-b6c0-11e1-8c2f-acd112e444a7,without-number,S.K.Lau,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(109.504134, 18.252013)",TRUE
127271,GBIF_50916,Ludisia discolor,23.74326,114.699884,1304083047,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,罗浮山,NA,CN,NA,NA,1930,PRESERVED_SPECIMEN,KUN,NA,ec79f6bf-b6bf-11e1-8c2f-acd112e444a7,without-number,N.K.Chun,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(114.699884, 23.74326)",TRUE
127359,GBIF_51208,Ludisia discolor,18.516726,110.029085,1303970946,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,七指山,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,00f8104c-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(110.029085, 18.516726)",TRUE
133746,GBIF_58919,Ludisia discolor,12.90575,102.26225,2513818064,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,(Ker Gawl.) A.Rich.,"Thailand, Southeastern: Chanthaburi, Pong Namron, Klong Mak.",NA,TH,NA,2,1956,PRESERVED_SPECIMEN,NA,Botany,L.1521930,"Sangkhachand, B 601",Sangkhachand B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,7,12,"c(102.26225, 12.90575)",TRUE
133747,GBIF_58920,Ludisia discolor,20.2745,105.6825,2513821393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,(Ker Gawl.) A.Rich.,"Vietnam, Ninh Binh Prov., Nho Quan dist., Cuc Phuong National Park, Dang locality, c. 1 km WNW of Dang forest control point.",NA,VN,NA,5,2002,PRESERVED_SPECIMEN,NA,Botany,L.1521932,"Averyanov, LV; Xinh, MV; Vinh, NT; Tam, NX; Lôc, PK HAL 1605",Averyanov LV; Xinh MV; Vinh NT; Tam NX; Lôc PK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,7,12,"c(105.6825, 20.2745)",TRUE
147463,GBIF_77952,Ludisia discolor,23.18,114.28,4044186483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,SPECIES,NA,NA,NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,SYS,NA,SYS00028849,without-number,"Tsui, T.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115489,Ludisia discolor,Ludisia,discolor,(Ker Gawl.) Blume,Species,Accepted,NA,641773-1,115489,17,-1,"c(114.28, 23.18)",TRUE
