V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104315,GBIF_536,Lycaste cruenta,15.702133,-90.356243,1056091806,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,Lindl.,NA,NA,GT,NA,5,1882,PRESERVED_SPECIMEN,NHMUK,BOT,BM000023487,1617,Friedrich Carl Lehmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115755,Lycaste cruenta,Lycaste,cruenta,(Lindl.) Lindl.,Species,Accepted,NA,641880-1,115755,9,6,"c(-90.356243, 15.702133)",TRUE
104490,GBIF_718,Lycaste deppei,19.525225,-97.007517000000007,1897491055,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,"(G. Lodd. ex Lindl.) Lindl., 1843",Rancho Viejo,NA,MX,907.5,3,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115757,Lycaste deppei,Lycaste,deppei,(G.Lodd. ex Lindl.) Lindl.,Species,Accepted,NA,641883-1,115757,7,23,"c(-97.007517, 19.525225)",TRUE
104493,GBIF_721,Lycaste aromatica,19.336861,-97.025833,1897490983,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,"(Graham) Lindl., 1843",Cosautlán,NA,MX,601,4,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115733,Lycaste aromatica,Lycaste,aromatica,(Graham) Lindl.,Species,Accepted,NA,641859-1,115733,6,15,"c(-97.025833, 19.336861)",TRUE
114262,GBIF_18459,Lycaste crinita,20.715768,-101.001719,2542553184,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,Lindl.,Sierra Naranjillo.,NA,MX,NA,5,1939,PRESERVED_SPECIMEN,NY,NY,04102858,13741,G. B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,115752,Lycaste crinita,Lycaste,crinita,Lindl.,Species,Accepted,NA,641877-1,115752,0,6,"c(-101.001719, 20.715768)",TRUE
127493,GBIF_51684,Lycaste macrophylla,3.62348,-53.20925,4565160364,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115794,Lycaste macrophylla,Lycaste,macrophylla,(Poepp. & Endl.) Lindl.,Species,Accepted,NA,323411-2,115794,23,-1,"c(-53.20925, 3.62348)",TRUE
127508,GBIF_51701,Lycaste macrophylla,3.62348,-53.20925,4565160384,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115794,Lycaste macrophylla,Lycaste,macrophylla,(Poepp. & Endl.) Lindl.,Species,Accepted,NA,323411-2,115794,23,-1,"c(-53.20925, 3.62348)",TRUE
127536,GBIF_51732,Lycaste macrophylla,3.62348,-53.20925,4565160417,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115794,Lycaste macrophylla,Lycaste,macrophylla,(Poepp. & Endl.) Lindl.,Species,Accepted,NA,323411-2,115794,23,-1,"c(-53.20925, 3.62348)",TRUE
127554,GBIF_51756,Lycaste macrophylla,3.62348,-53.20925,4565160446,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,7,2006,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115794,Lycaste macrophylla,Lycaste,macrophylla,(Poepp. & Endl.) Lindl.,Species,Accepted,NA,323411-2,115794,23,-1,"c(-53.20925, 3.62348)",TRUE
127737,GBIF_52061,Lycaste macrophylla,3.62348,-53.20925,4565160779,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115794,Lycaste macrophylla,Lycaste,macrophylla,(Poepp. & Endl.) Lindl.,Species,Accepted,NA,323411-2,115794,23,-1,"c(-53.20925, 3.62348)",TRUE
129259,GBIF_53925,Lycaste tricolor,10.09,-83.96,1261377335,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lycaste,SPECIES,Rchb. f.,"From upper Atlantic rainforest, temperate zone, rare along Río de la Hondura between la Laguna and Boca del Infierno, in section called El Veintisiete, (canyon of Río de la Hondura), north slope of Cordillera Central",NA,CR,650,NA,without-year,PRESERVED_SPECIMEN,MO,Tropicos,662207,s.n.,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,115829,Lycaste tricolor,Lycaste,tricolor,Rchb.f.,Species,Accepted,NA,641938-1,115829,1,5,"c(-83.96, 10.09)",TRUE
