V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113851,GBIF_18044,Lyroglossa grisebachii,-15.866667,-47.85,4427187754,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Cristo Redentor",NA,BR,0,1,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027538,3971,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-47.85, -15.866667)",TRUE
113854,GBIF_18047,Lyroglossa grisebachii,-15.735833,-48.086667,4427187932,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,DF 001 de Taguatinga para Brazlândia,NA,BR,0,12,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027540,3560B,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-48.086667, -15.735833)",TRUE
113855,GBIF_18048,Lyroglossa grisebachii,-15.735833,-48.086667,4427187942,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,DF 001 de Taguatinga para Brazlândia,NA,BR,0,12,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027543,3563B,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-48.086667, -15.735833)",TRUE
113862,GBIF_18055,Lyroglossa grisebachii,-15.733611,-48.086667,4427187950,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,BR 080 de Brazlândia para Taguatinga,NA,BR,0,1,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027541,2965B,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-48.086667, -15.733611)",TRUE
236606,GBIF_196469,Lyroglossa grisebachii,-23.565556,-46.724444,2997619525,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,Butantan.,NA,BR,NA,12,1917,PRESERVED_SPECIMEN,NY,NY,NY00818242,1041,A. Gehrt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-46.724444, -23.565556)",TRUE
273628,GBIF_250736,Lyroglossa grisebachii,5.38333,-55.58333,2517456241,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,Coesewijne-savanna.,NA,SR,NA,2,1959,PRESERVED_SPECIMEN,NA,Botany,U.1470132,"Donselaar, J van 569",Donselaar J van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-55.58333, 5.38333)",TRUE
312180,GBIF_313902,Lyroglossa grisebachii,-13.369444,-47.379722,1094808383,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,Ponto 7.,NA,BR,1275,2,2004,PRESERVED_SPECIMEN,UEFS,HUEFS,90534,1226,"van den Berg, C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-47.379722, -13.369444)",TRUE
332066,GBIF_343320,Lyroglossa grisebachii,-21.0975,-44.193333,4955450905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,"Serra de São José, Coordenadas geográficas e Altitude aproximadas",NA,BR,1060,12,2010,PRESERVED_SPECIMEN,UFJF,CESJ,57923,1712,V.A.O. Dittrich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-44.193333, -21.0975)",TRUE
434567,GBIF_501571,Lyroglossa grisebachii,-20.258194,-46.552611,1087642305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,"Parque Nacional da Serra da Canastra, cerca de 30",NA,BR,1399,1,2007,PRESERVED_SPECIMEN,UFMG,BHCB,119498,1821,"Batista, JAN; Mota, RC da; Faria, MWF de; Borges, KS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-46.552611, -20.258194)",TRUE
434930,GBIF_501946,Lyroglossa grisebachii,-28.671556,-49.966194,1087642821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lyroglossa,SPECIES,(Cogn.) Schltr.,"Cerca de 14.6 km NE de São José dos Ausentes, na estrada para Silveira",NA,BR,1185,2,2008,PRESERVED_SPECIMEN,UFMG,BHCB,120173,2492,"Batista, JAN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116092,Lyroglossa grisebachii,Lyroglossa,grisebachii,(Cogn.) Schltr.,Species,Accepted,NA,147952-2,116092,0,15,"c(-49.966194, -28.671556)",TRUE
