V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104366,GBIF_590,Macodes petola,5.377939,117.087456,1057047687,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Blume) Lindl.,NA,NA,MY,914,5,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000076021,s.n.,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116899,Macodes petola,Macodes,petola,(Blume) Lindl.,Species,Accepted,NA,642003-1,116899,0,14,"c(117.087456, 5.377939)",TRUE
106701,GBIF_9910,Macodes sanderiana,-4.93333,144.63333,2513818279,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Kraenzl.) Rolfe,Kaiser Wilhelmsland. Am Djamn.,NA,PG,NA,11,1907,PRESERVED_SPECIMEN,NA,Botany,L.1521772,"Schlechter, FRR 16819",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116903,Macodes sanderiana,Macodes,sanderiana,(Kraenzl.) Rolfe,Species,Accepted,NA,642007-1,116903,0,16,"c(144.63333, -4.93333)",TRUE
107701,GBIF_10944,Macodes sanderiana,-2.90831,138.4413,2513819335,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Kraenzl.) Rolfe,Rouffaer Rivier.,NA,ID,NA,9,1926,PRESERVED_SPECIMEN,NA,Botany,L.1521769,"Docters van Leeuwen, WM 10462",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116903,Macodes sanderiana,Macodes,sanderiana,(Kraenzl.) Rolfe,Species,Accepted,NA,642007-1,116903,0,16,"c(138.4413, -2.90831)",TRUE
132654,GBIF_57703,Macodes sanderiana,-5.83333,146.11667,2513819378,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Kraenzl.) Rolfe,Kaiser Wilhemsland. In den Wäldern des Finisterre-Geb.,NA,PG,NA,7,1908,PRESERVED_SPECIMEN,NA,Botany,L.1521770,"Schlechter, FRR 17941",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116903,Macodes sanderiana,Macodes,sanderiana,(Kraenzl.) Rolfe,Species,Accepted,NA,642007-1,116903,0,16,"c(146.11667, -5.83333)",TRUE
134558,GBIF_59826,Macodes dendrophila,-5.79083,146.0545,2513201610,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,Schltr.,Kaiser Wilhelmsland. In den Wäldern des Finisterre-Geb.,NA,PG,NA,1,1909,PRESERVED_SPECIMEN,NA,Botany,L  0360137,"Schlechter, FRR 19165",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116893,Macodes dendrophila,Macodes,dendrophila,Schltr.,Species,Accepted,NA,641998-1,116893,0,7,"c(146.0545, -5.79083)",TRUE
146825,GBIF_77162,Macodes sanderiana,-14.86062,166.652976,1703322780,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Kraenzl.),East coast of cumberland..,NA,VU,500,9,1989,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Lewis, B.A. & Mc. Donagh",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,116903,Macodes sanderiana,Macodes,sanderiana,(Kraenzl.) Rolfe,Species,Accepted,NA,642007-1,116903,6,10,"c(166.652976, -14.86062)",TRUE
146942,GBIF_77336,Macodes sanderiana,-20.184826,169.777057,1703315131,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Kraenzl.),NA,NA,VU,800,3,1983,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Cabalion, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,116903,Macodes sanderiana,Macodes,sanderiana,(Kraenzl.) Rolfe,Species,Accepted,NA,642007-1,116903,6,10,"c(169.777057, -20.184826)",TRUE
159685,GBIF_99529,Macodes petola,-6.72917,106.51444,2513820248,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,Lindl.,"Gunung Halimun, Nirmala Tea Estate.",NA,ID,NA,10,1985,PRESERVED_SPECIMEN,NA,Botany,L.1521758,"Vogel, EF de 7726",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,116899,Macodes petola,Macodes,petola,(Blume) Lindl.,Species,Accepted,NA,642003-1,116899,8,6,"c(106.51444, -6.72917)",TRUE
178789,GBIF_122612,Macodes sanderiana,-2.2533,139.0651,2513818495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,(Kraenzl.) Rolfe,Sidoarsi Mts; ± 200 km West of Hollandia. Div. Hollandia.,NA,ID,NA,5,1959,PRESERVED_SPECIMEN,NA,Botany,L.1521767,"Vink, W BW(Ind.) 8444",Vink W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116903,Macodes sanderiana,Macodes,sanderiana,(Kraenzl.) Rolfe,Species,Accepted,NA,642007-1,116903,0,16,"c(139.0651, -2.2533)",TRUE
178981,GBIF_122831,Macodes dendrophila,-5.79083,146.0545,2513204700,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Macodes,SPECIES,Schltr.,Kaiser Wilhelmsland. In den Wäldern des Finisterre-Geb.,NA,PG,NA,9,1908,PRESERVED_SPECIMEN,NA,Botany,L  0360136,"Schlechter, FRR 18210",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,116893,Macodes dendrophila,Macodes,dendrophila,Schltr.,Species,Accepted,NA,641998-1,116893,0,7,"c(146.0545, -5.79083)",TRUE
