V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
115243,GBIF_19469,Madisonia kerrii,0.92,-67.22,1929035887,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,Braga,"Rio Negro, near mouth of Rio Xié, Vista Alegre, opposite São Marcelino",NA,BR,NA,10,1987,PRESERVED_SPECIMEN,NY,NY,512478,6830,P. J. M. Maas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,252898,Madisonia kerrii,Madisonia,kerrii,(Braga) Luer,Species,Accepted,NA,77063152-1,252898,7,5,"c(-67.22, 0.92)",TRUE
124501,GBIF_45924,Madisonia spiculifera,-2.883333,-59.97,1042619943,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,1,1998,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195210,1969,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,28,-1,"c(-59.97, -2.883333)",TRUE
124769,GBIF_46205,Madisonia spiculifera,-2.883333,-59.97,1042647138,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará.",NA,BR,0,7,1977,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",67889,2134,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,28,-1,"c(-59.97, -2.883333)",TRUE
124920,GBIF_46362,Madisonia kerrii,0.916667,-67.22,1042556901,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,NA,"Rio Negro, near mouth of Rio Xié, Vista Alegre, opposite São Marcelino. Caatinga alta.",NA,BR,0,10,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",158256,6830,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,252898,Madisonia kerrii,Madisonia,kerrii,(Braga) Luer,Species,Accepted,NA,77063152-1,252898,12,-1,"c(-67.22, 0.916667)",TRUE
125001,GBIF_46447,Madisonia spiculifera,-2.883333,-59.97,1042487959,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará, Campinara II",NA,BR,0,2,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195038,485,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,28,-1,"c(-59.97, -2.883333)",TRUE
125044,GBIF_46493,Madisonia spiculifera,-2.883333,-59.97,1042619919,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,1,1998,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195209,1968,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,28,-1,"c(-59.97, -2.883333)",TRUE
127894,GBIF_52418,Madisonia spiculifera,3.62348,-53.20925,4565161176,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,28,-1,"c(-53.20925, 3.62348)",TRUE
130003,GBIF_54693,Madisonia spiculifera,1.95,-67,1259176271,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,Lindl.,10 km NE of San Carlos de Río Negro. Bana (white sand area with shrubs and small trees) and adjacent forest.,NA,VE,120,4,1979,PRESERVED_SPECIMEN,MO,Tropicos,1915277,7044,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,22,5,"c(-67, 1.95)",TRUE
169795,GBIF_111149,Madisonia spiculifera,4.0855,-52.6818,3771099343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,Lindl.,Nouragues.,NA,GF,NA,8,1991,PRESERVED_SPECIMEN,NA,Botany,L  0304274,"Born, MG 53",Born MG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,22,5,"c(-52.6818, 4.0855)",TRUE
180291,GBIF_124415,Madisonia spiculifera,-15.11439,-39.03758,2452944788,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Madisonia,SPECIES,(Lindl.) E.Schmidt & Toscano,"Reserva Biológica de Una, Trilha Y10. Planta em cultivo na coleção viva do Orquidário sob nº P4808",NA,BR,41,NA,without-year,PRESERVED_SPECIMEN,Instituto de Botânica,SP,491489,s.n.,"Guimarães, L",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,548513,Madisonia spiculifera,Madisonia,spiculifera,(Lindl.) Toscano & E.C.Smidt,Species,Accepted,NA,77219792-1,548513,17,9,"c(-39.03758, -15.11439)",TRUE
