V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104376,GBIF_600,Malaxis excavata,15.702133,-90.356243,1055667519,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,Rchb.f.,NA,NA,GT,NA,7,1882,PRESERVED_SPECIMEN,NHMUK,BOT,BM000077360,1639,Friedrich Carl Lehmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118243,Malaxis excavata,Malaxis,excavata,(Lindl.) Kuntze,Species,Accepted,NA,149789-2,118243,14,1,"c(-90.356243, 15.702133)",TRUE
104382,GBIF_607,Malaxis muscifera,36.519977,103.891767,1056779339,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,(Lindl.) Kuntze,NA,NA,CN,NA,8,1899,PRESERVED_SPECIMEN,NHMUK,BOT,BM000082745,s.n.,Rev. Fr. Hugh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,118439,Malaxis muscifera,Malaxis,muscifera,(Lindl.) Kuntze,Species,Accepted,NA,642367-1,118439,0,15,"c(103.891767, 36.519977)",TRUE
104388,GBIF_613,Malaxis monophyllos,33.364619,126.532731,1057568960,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,(Miq.) Maxim.,Hallasan (Mountain) [Hallaisan],NA,KR,NA,10,1907,PRESERVED_SPECIMEN,NHMUK,BOT,BM000088523,397,T. Taquet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118425,Malaxis monophyllos,Malaxis,monophyllos,(L.) Sw.,Species,Accepted,NA,30045967-2,118425,8,3,"c(126.532731, 33.364619)",TRUE
104529,GBIF_785,Malaxis excavata,19.556181,-97.003153,1897491117,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,"(Lindl.) Kuntze, 1891",Mesa de la Yerba,NA,MX,926.5,5,2008,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Antonio Vázquez Blanco,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118243,Malaxis excavata,Malaxis,excavata,(Lindl.) Kuntze,Species,Accepted,NA,149789-2,118243,6,15,"c(-97.003153, 19.556181)",TRUE
104551,GBIF_847,Malaxis excavata,19.443472,-97.038805,1897491078,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,"(Lindl.) Kuntze, 1891",Camino hacia Xico Viejo,NA,MX,823.5,9,2010,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Manuel Adrián Cuellar Martínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118243,Malaxis excavata,Malaxis,excavata,(Lindl.) Kuntze,Species,Accepted,NA,149789-2,118243,6,15,"c(-97.038805, 19.443472)",TRUE
106672,GBIF_9878,Malaxis thwaitesii,6.38333,80.41667,2513816465,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,(Thwaites) Kuntze,"SW Ceylon Sinharaja forest, Weddegalle entrance",NA,LK,NA,3,1979,PRESERVED_SPECIMEN,NA,Botany,L.1518248,"Kostermans, AJGH 27482",Kostermans AJGH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118647,Malaxis thwaitesii,Malaxis,thwaitesii,Bennet,Species,Accepted,NA,907484-1,118647,15,1,"c(80.41667, 6.38333)",TRUE
108385,GBIF_11648,Malaxis monophyllos,59.35,25.25,3020089365,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,NA,Restricted,NA,EE,NA,7,1930,PRESERVED_SPECIMEN,TAAM,TAA,TAA0061631,without-number,S. Krastin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118425,Malaxis monophyllos,Malaxis,monophyllos,(L.) Sw.,Species,Accepted,NA,30045967-2,118425,8,-1,"c(25.25, 59.35)",TRUE
108386,GBIF_11649,Malaxis monophyllos,58.05,27.416666,3019995358,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,NA,Restricted,NA,EE,NA,6,1881,PRESERVED_SPECIMEN,TAAM,TAA,TAA0061659,without-number,Theodor Lackschewitz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118425,Malaxis monophyllos,Malaxis,monophyllos,(L.) Sw.,Species,Accepted,NA,30045967-2,118425,8,-1,"c(27.416666, 58.05)",TRUE
108387,GBIF_11650,Malaxis monophyllos,59.15,25.416667,3020089366,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,NA,Restricted,NA,EE,NA,7,1935,PRESERVED_SPECIMEN,TAAM,TAA,TAA0061668,without-number,Gustav Vilbaste,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118425,Malaxis monophyllos,Malaxis,monophyllos,(L.) Sw.,Species,Accepted,NA,30045967-2,118425,8,-1,"c(25.416667, 59.15)",TRUE
108591,GBIF_11871,Malaxis monophyllos,58.85,26.25,3020082371,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,SPECIES,NA,Restricted,NA,EE,NA,6,1946,PRESERVED_SPECIMEN,TAAM,TAA,TAA0061642,without-number,Linda Viljasoo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,118425,Malaxis monophyllos,Malaxis,monophyllos,(L.) Sw.,Species,Accepted,NA,30045967-2,118425,8,-1,"c(26.25, 58.85)",TRUE
