V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106674,GBIF_9880,Mediocalcar uniflorum,-7.41667,146.75,2513817056,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,"Kaindi, Morobe District.",NA,PG,NA,11,1966,PRESERVED_SPECIMEN,NA,Botany,L.1518372,"Millar, AN NGF 22762",Millar AN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(146.75, -7.41667)",TRUE
106675,GBIF_9881,Mediocalcar bifolium,-4.08333,137.18333,2513816484,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Bandarong Valley, Camp XI-XII.",NA,ID,NA,1,1913,PRESERVED_SPECIMEN,NA,Botany,L.1518536,"Boden Kloss, C s.n.",Boden Kloss C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123214,Mediocalcar bifolium,Mediocalcar,bifolium,J.J.Sm.,Species,Accepted,NA,643933-1,123214,0,7,"c(137.18333, -4.08333)",TRUE
106676,GBIF_9882,Mediocalcar agathodaemonis,-4.41667,139.7,2513817079,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"North-east of Koruppun valley, south slopes of main range, Valentijn base camp.",NA,ID,NA,8,1988,PRESERVED_SPECIMEN,NA,Botany,L.1518576,"Mangen, J-M 2291",Mangen J-M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(139.7, -4.41667)",TRUE
106677,GBIF_9883,Mediocalcar agathodaemonis,-7.35,146.66667,2513817201,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Summit area,NA,PG,NA,10,1992,PRESERVED_SPECIMEN,NA,Botany,L.1518578,"Höft, R 2897",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(146.66667, -7.35)",TRUE
106862,GBIF_10075,Mediocalcar congestum,-7.91667,147.08333,2513121835,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schuit.,"Balerau, near Moimo, Bubu Valley, Garcina Subdistrict, Wau Dist., Morobe Prov.",NA,PG,NA,9,1989,PRESERVED_SPECIMEN,NA,Botany,L  0064687,"Reeve, TM 5049",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123221,Mediocalcar congestum,Mediocalcar,congestum,Schuit.,Species,Accepted,NA,999245-1,123221,0,7,"c(147.08333, -7.91667)",TRUE
106943,GBIF_10158,Mediocalcar arfakense,-6.01667,145.4,2513319542,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Mt Gahavisuka, alt. 2250 m.",NA,PG,NA,7,1990,PRESERVED_SPECIMEN,NA,Botany,L  0852945,"Cruttwell, NEG 3305",Cruttwell NEG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123212,Mediocalcar arfakense,Mediocalcar,arfakense,J.J.Sm.,Species,Accepted,NA,643930-1,123212,0,7,"c(145.4, -6.01667)",TRUE
107677,GBIF_10917,Mediocalcar versteegii,-8.55,147.25,2513818147,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SUBSPECIES,Schuit.,NA,NA,PG,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1518390,"Vogel, EF de; Vogel, APTM s.n.",Vogel EF de; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123264,Mediocalcar versteegii,Mediocalcar,versteegii,J.J.Sm.,Species,Accepted,NA,643972-1,123264,6,1,"c(147.25, -8.55)",TRUE
107678,GBIF_10918,Mediocalcar geniculatum,-7.35,146.66667,2513816986,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Summit area.,NA,PG,NA,9,1992,PRESERVED_SPECIMEN,NA,Botany,L.1518428,"Höft, R 2770",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123232,Mediocalcar geniculatum,Mediocalcar,geniculatum,J.J.Sm.,Species,Accepted,NA,643947-1,123232,0,7,"c(146.66667, -7.35)",TRUE
107679,GBIF_10919,Mediocalcar arfakense,-7.51667,146.78333,2513815215,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Kuper Range,NA,PG,NA,5,1993,PRESERVED_SPECIMEN,NA,Botany,L.1518510,"Höft, R 3649",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123212,Mediocalcar arfakense,Mediocalcar,arfakense,J.J.Sm.,Species,Accepted,NA,643930-1,123212,0,7,"c(146.78333, -7.51667)",TRUE
107680,GBIF_10920,Mediocalcar agathodaemonis,-6,145,2513816804,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Flora of New Guinea. Ekuam, Gumine Sub-District, Chimbu District. T.N.G.",NA,PG,NA,10,1969,PRESERVED_SPECIMEN,NA,Botany,L.1518613,"Millar, AN NGF 38371",Millar AN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(145, -6)",TRUE
122328,GBIF_43605,Mediocalcar bifolium,-3.45997,138.46184,2513119312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Nova Guinea neerlandica in reg. flum. Mamberamo. pr. Doormantop.,NA,ID,NA,10,1920,PRESERVED_SPECIMEN,NA,Botany,L  0061611,"Lam, HJ 1827",Lam HJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123214,Mediocalcar bifolium,Mediocalcar,bifolium,J.J.Sm.,Species,Accepted,NA,643933-1,123214,0,7,"c(138.46184, -3.45997)",TRUE
122403,GBIF_43688,Mediocalcar geniculatum,-7.35,146.66667,2513319205,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"PNG., Mt. Kaindi, Wau, 2300 m alt.",NA,PG,NA,7,1982,PRESERVED_SPECIMEN,NA,Botany,L  0852961,"Schuiteman, A 2",Schuiteman A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123232,Mediocalcar geniculatum,Mediocalcar,geniculatum,J.J.Sm.,Species,Accepted,NA,643947-1,123232,0,7,"c(146.66667, -7.35)",TRUE
122787,GBIF_44093,Mediocalcar versteegii,-7.88333,147.13333,2513817129,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SUBSPECIES,NA,"Upugosa ridge, just south of Garaina Gout Station, Wau District.",NA,PG,NA,4,1982,PRESERVED_SPECIMEN,NA,Botany,L.1518294,"Reeve, TM 4959",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123264,Mediocalcar versteegii,Mediocalcar,versteegii,J.J.Sm.,Species,Accepted,NA,643972-1,123264,7,-1,"c(147.13333, -7.88333)",TRUE
122789,GBIF_44095,Mediocalcar uniflorum,-7.33333,146.75,2513816339,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,"Kaindi, Morobe District, T.N.G.",NA,PG,NA,8,1964,PRESERVED_SPECIMEN,NA,Botany,L.1518355,"Millar, AN NGF 23606",Millar AN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(146.75, -7.33333)",TRUE
122790,GBIF_44096,Mediocalcar decoratum,-8.55,147.28333,2513815083,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schuit.,Woitape Lodge.,NA,PG,NA,12,2002,PRESERVED_SPECIMEN,NA,Botany,L.1518416,"Vogel, EF de; Vogel, APTM s.n.",Vogel EF de; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123225,Mediocalcar decoratum,Mediocalcar,decoratum,Schuit.,Species,Accepted,NA,937232-1,123225,0,7,"c(147.28333, -8.55)",TRUE
122791,GBIF_44097,Mediocalcar bifolium,-5.25,141.66667,2513815782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Plants of New Guinea. Terr. of New Guinea, W. Sepik Distr., Telefomin Subdistr., Hindenburg Range. Mt. Amdutakin.",NA,PG,NA,9,1966,PRESERVED_SPECIMEN,NA,Botany,L.1518540,"Kalkman, C 5260",Kalkman C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123214,Mediocalcar bifolium,Mediocalcar,bifolium,J.J.Sm.,Species,Accepted,NA,643933-1,123214,0,7,"c(141.66667, -5.25)",TRUE
122792,GBIF_44098,Mediocalcar agathodaemonis,-7.35,146.66667,2513816199,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Summit area,NA,PG,NA,8,1992,PRESERVED_SPECIMEN,NA,Botany,L.1518580,"Höft, R 3877",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(146.66667, -7.35)",TRUE
123414,GBIF_44767,Mediocalcar uniflorum,-7.51667,146.78333,2513816294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,Kuper Range,NA,PG,NA,11,1992,PRESERVED_SPECIMEN,NA,Botany,L.1518348,"Höft, R 3898",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(146.78333, -7.51667)",TRUE
123415,GBIF_44768,Mediocalcar geniculatum,-7.33333,146.75,2513815277,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Kaindi, Morobe District, T.N.G.",NA,PG,NA,8,1964,PRESERVED_SPECIMEN,NA,Botany,L.1518430,"Millar, AN NGF 23608",Millar AN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123232,Mediocalcar geniculatum,Mediocalcar,geniculatum,J.J.Sm.,Species,Accepted,NA,643947-1,123232,0,7,"c(146.75, -7.33333)",TRUE
123416,GBIF_44770,Mediocalcar agathodaemonis,-7.38333,146.18333,2513815762,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Aseki Divide, Bulolo-Aseki road, Wan District.",NA,PG,NA,9,1982,PRESERVED_SPECIMEN,NA,Botany,L.1518575,"Reeve, R; Tari, J; Laiagam, HOC 4909",Reeve R; Tari J; Laiagam HOC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(146.18333, -7.38333)",TRUE
123867,GBIF_45255,Mediocalcar agathodaemonis,-6.05467,144.6725,2513117993,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Minj sub-district; W.Highlands; Terr. of New Guinea. Upper Minj R. valley on the Minj-Nona divide.,NA,PG,NA,7,1957,PRESERVED_SPECIMEN,NA,Botany,L  0061606,"Pullen, R 232",Pullen R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(144.6725, -6.05467)",TRUE
123938,GBIF_45337,Mediocalcar geniculatum,-7.35,146.66667,2513319728,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"PNG., Mt. Kaindi, Wau, 2300 m alt.",NA,PG,NA,7,1982,PRESERVED_SPECIMEN,NA,Botany,L  0852956,"Schuiteman, A 8",Schuiteman A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123232,Mediocalcar geniculatum,Mediocalcar,geniculatum,J.J.Sm.,Species,Accepted,NA,643947-1,123232,0,7,"c(146.66667, -7.35)",TRUE
132627,GBIF_57673,Mediocalcar uniflorum,-7.35,146.66667,2513815865,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,Summit area.,NA,PG,NA,9,1992,PRESERVED_SPECIMEN,NA,Botany,L.1518349,"Höft, R 2775",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(146.66667, -7.35)",TRUE
132628,GBIF_57674,Mediocalcar uniflorum,-6.25,144,2513817521,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,Onim.,NA,PG,NA,9,1971,PRESERVED_SPECIMEN,NA,Botany,L.1518370,"Rau, K 168",Rau K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(144, -6.25)",TRUE
132629,GBIF_57675,Mediocalcar bifolium,-4.51345,138.73535,2513816777,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Expeditione Neerlandica in Novam Guineam Meridionalem facta. Mount Hellwig.,NA,ID,NA,12,1912,PRESERVED_SPECIMEN,NA,Botany,L.1518534,"Pulle, AA 858",Pulle AA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123214,Mediocalcar bifolium,Mediocalcar,bifolium,J.J.Sm.,Species,Accepted,NA,643933-1,123214,0,7,"c(138.73535, -4.51345)",TRUE
133066,GBIF_58168,Mediocalcar versteegii,-5.86667,142.91667,2513320838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SUBSPECIES,NA,"c. 10 km E of Tari, 1600 m alt.",NA,PG,NA,9,1990,PRESERVED_SPECIMEN,NA,Botany,L  0852950,"Schuiteman, A 19",Schuiteman A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123264,Mediocalcar versteegii,Mediocalcar,versteegii,J.J.Sm.,Species,Accepted,NA,643972-1,123264,7,-1,"c(142.91667, -5.86667)",TRUE
133331,GBIF_58455,Mediocalcar bifolium,-7.16667,145.91667,3771067325,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Menyama-Asiki.,NA,PG,NA,NA,1988,PRESERVED_SPECIMEN,NA,Botany,L.4431179,"Lapré, CMH 180",Lapré CMH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123214,Mediocalcar bifolium,Mediocalcar,bifolium,J.J.Sm.,Species,Accepted,NA,643933-1,123214,0,7,"c(145.91667, -7.16667)",TRUE
133713,GBIF_58879,Mediocalcar uniflorum,-5.5,143.11667,2513817009,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,"Semari-Papaki track, Hewa Census Division.",NA,PG,NA,4,1983,PRESERVED_SPECIMEN,NA,Botany,L.1518345,"Reeve, TM 6304",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(143.11667, -5.5)",TRUE
133714,GBIF_58880,Mediocalcar uniflorum,-7.51667,146.78333,2513816370,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,Schltr.,Kuper Range,NA,PG,NA,5,1993,PRESERVED_SPECIMEN,NA,Botany,L.1518347,"Höft, R 3567",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123261,Mediocalcar uniflorum,Mediocalcar,uniflorum,Schltr.,Species,Accepted,NA,643970-1,123261,0,7,"c(146.78333, -7.51667)",TRUE
133715,GBIF_58881,Mediocalcar versteegii,-8.55,147.25,2513817233,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SUBSPECIES,Schuit.,NA,NA,PG,NA,12,2002,PRESERVED_SPECIMEN,NA,Botany,L.1518387,"Vogel, EF de; Vogel, APTM s.n.",Vogel EF de; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123264,Mediocalcar versteegii,Mediocalcar,versteegii,J.J.Sm.,Species,Accepted,NA,643972-1,123264,6,1,"c(147.25, -8.55)",TRUE
133716,GBIF_58883,Mediocalcar bifolium,-6.25,144,2513815342,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Klangiabil, near Tomba sawmill, Tambul turn-off on Hagen-Wapenamanda rd,.",NA,PG,NA,2,1983,PRESERVED_SPECIMEN,NA,Botany,L.1518530,"Reeve, TM 6215",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123214,Mediocalcar bifolium,Mediocalcar,bifolium,J.J.Sm.,Species,Accepted,NA,643933-1,123214,0,7,"c(144, -6.25)",TRUE
133717,GBIF_58884,Mediocalcar agathodaemonis,-4.86346,136.78333,2513818809,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,"Mimika Regency, PT-Freeport Indonesia Concession Area; Freeport Concession Area. Limestone pinnacle area to northwest of Carstenz Meadow.",NA,ID,NA,8,1998,PRESERVED_SPECIMEN,NA,Botany,L.1518572,"Sands, MJS 7135",Sands MJS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123205,Mediocalcar agathodaemonis,Mediocalcar,agathodaemonis,J.J.Sm.,Species,Accepted,NA,643925-1,123205,0,7,"c(136.78333, -4.86346)",TRUE
133847,GBIF_59030,Mediocalcar crenulatum,-3.45997,138.46184,2513116051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Nova Guinea neerlandica in reg. flum. Mamberamo. ?padem Doormantop.,NA,ID,NA,10,1920,PRESERVED_SPECIMEN,NA,Botany,L  0061579,"Lam, HJ 1599",Lam HJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123224,Mediocalcar crenulatum,Mediocalcar,crenulatum,J.J.Sm.,Species,Accepted,NA,643941-1,123224,0,7,"c(138.46184, -3.45997)",TRUE
133848,GBIF_59031,Mediocalcar versteegii,-11.5,153.43333,2513117401,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SUBSPECIES,Schuit.,"Sudest Island; Mt. Riu, north slopes.",NA,PG,NA,8,1956,PRESERVED_SPECIMEN,NA,Botany,L  0061621,"Brass, LJ 27859",Brass LJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123264,Mediocalcar versteegii,Mediocalcar,versteegii,J.J.Sm.,Species,Accepted,NA,643972-1,123264,6,1,"c(153.43333, -11.5)",TRUE
133878,GBIF_59068,Mediocalcar versteegii,-5.91667,142.95,2513194885,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SPECIES,J.J.Sm.,Tari Ca. 10 km E of Tari,NA,PG,NA,NA,1990,PRESERVED_SPECIMEN,NA,Botany,L  0303206,"Schuiteman, A; Mulder, D; Vogel, APTM 90/ 173",Schuiteman A; Mulder D; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123264,Mediocalcar versteegii,Mediocalcar,versteegii,J.J.Sm.,Species,Accepted,NA,643972-1,123264,0,7,"c(142.95, -5.91667)",TRUE
134507,GBIF_59768,Mediocalcar paradoxum,0.77438,127.31993,2513117069,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mediocalcar,SUBSPECIES,(Schltr.) Schuit.,Archipel.Ind. Ternate. Noord Foramadiah. [Ternate isl.],NA,ID,NA,3,1921,PRESERVED_SPECIMEN,NA,Botany,L  0061614,"Béguin, VMA 1539",Béguin VMA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123242,Mediocalcar paradoxum,Mediocalcar,paradoxum,(Kraenzl.) Schltr.,Species,Accepted,NA,643957-1,123242,10,6,"c(127.31993, 0.77438)",TRUE
