V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104089,GBIF_306,Megastylis gigas,-21.505,165.5758,1055593523,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,NA,7,1910,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095587,s.n.,Le Rat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123385,Megastylis gigas,Megastylis,gigas,(Rchb.f.) Schltr.,Species,Accepted,NA,644047-1,123385,0,17,"c(165.5758, -21.505)",TRUE
110169,GBIF_14042,Megastylis montana,-22.1,166.58333,437302880,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Schltr.) Schltr.,NA,NA,NC,NA,11,1977,PRESERVED_SPECIMEN,MNHN,P,P00124373,without-number,"Bamps, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123389,Megastylis montana,Megastylis,montana,(Schltr.) Schltr.,Species,Accepted,NA,644053-1,123389,0,17,"c(166.58333, -22.1)",TRUE
110524,GBIF_14439,Megastylis montana,-22.12222,166.60028,437967774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Schltr.) Schltr.,NA,NA,NC,950,10,1956,PRESERVED_SPECIMEN,MNHN,P,P00124383,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123389,Megastylis montana,Megastylis,montana,(Schltr.) Schltr.,Species,Accepted,NA,644053-1,123389,0,17,"c(166.60028, -22.12222)",TRUE
110871,GBIF_14835,Megastylis latissima,-21.70694,166.22194,437526793,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Schltr.) Schltr.,NA,NA,NC,1150,1,1981,PRESERVED_SPECIMEN,MNHN,P,P00124356,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123388,Megastylis latissima,Megastylis,latissima,(Schltr.) Schltr.,Species,Accepted,NA,644052-1,123388,0,17,"c(166.22194, -21.70694)",TRUE
110872,GBIF_14836,Megastylis rara,-22.15611,166.89944,437902445,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Schltr.) Schltr.,NA,NA,NC,200,2,1988,PRESERVED_SPECIMEN,MNHN,P,P00124415,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123391,Megastylis rara,Megastylis,rara,(Schltr.) Schltr.,Species,Accepted,NA,644055-1,123391,0,17,"c(166.89944, -22.15611)",TRUE
110873,GBIF_14837,Megastylis gigas,-22.32417,166.81806,439574878,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,NA,11,1904,PRESERVED_SPECIMEN,MNHN,P,P00124521,without-number,"Cribs, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123385,Megastylis gigas,Megastylis,gigas,(Rchb.f.) Schltr.,Species,Accepted,NA,644047-1,123385,0,17,"c(166.81806, -22.32417)",TRUE
110912,GBIF_14879,Megastylis latissima,-20.89887,165.00598,438825585,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Schltr.) Schltr.,NA,NA,NC,1260,4,2001,PRESERVED_SPECIMEN,MNHN,P,P00217203,without-number,"Munzinger, J.K.;McPherson, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123388,Megastylis latissima,Megastylis,latissima,(Schltr.) Schltr.,Species,Accepted,NA,644052-1,123388,0,17,"c(165.00598, -20.89887)",TRUE
131312,GBIF_56042,Megastylis gigas,-21.505,165.5758,1057155131,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095585,1301,Jean Armand Isidore Pancher,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123385,Megastylis gigas,Megastylis,gigas,(Rchb.f.) Schltr.,Species,Accepted,NA,644047-1,123385,0,17,"c(165.5758, -21.505)",TRUE
160264,GBIF_100186,Megastylis latilabris,-21.83333,166.41667,2513816524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,(Schltr.) Schltr.,auf den Bergen am Ngoye.,NA,NC,NA,10,1902,PRESERVED_SPECIMEN,NA,Botany,L.1518320,"Schlechter, FRR 15161",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,123387,Megastylis latilabris,Megastylis,latilabris,(Schltr.) Schltr.,Species,Accepted,NA,644050-1,123387,0,17,"c(166.41667, -21.83333)",TRUE
170064,GBIF_111510,Megastylis gigas,-22.25,166.75,931129329,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Megastylis,SPECIES,NA,Massif du Sud,NA,NC,0,NA,without-year,PRESERVED_SPECIMEN,Université de Strasbourg,CAL,CAL12618,without-number,Jaffre T. - Releve Phytosociologique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123385,Megastylis gigas,Megastylis,gigas,(Rchb.f.) Schltr.,Species,Accepted,NA,644047-1,123385,17,-1,"c(166.75, -22.25)",TRUE
