V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
139317,GBIF_64899,Meiracyllium trinasutum,13.5349,-89.5228,4399479651,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1854",Ahuachapan,NA,SV,0,12,1995,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Linares, J.L.; Martínez, C.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,7,5,"c(-89.5228, 13.5349)",TRUE
139369,GBIF_64954,Meiracyllium trinasutum,15.267503,-92.379093,1897602827,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1854",Finca Belén,NA,MX,0,8,2011,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,213,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,7,5,"c(-92.379093, 15.267503)",TRUE
139424,GBIF_65014,Meiracyllium trinasutum,13.802983,-89.32993,4399479897,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1854","Lavas de Quezaltepeque. Alojamiento de material volcánico, iniciando su proceso de oxidación",NA,SV,0,10,1976,PRESERVED_SPECIMEN,MUHNES,MHES,NO DISPONIBLE,without-number,L.M.V. de Cornejo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,7,5,"c(-89.32993, 13.802983)",TRUE
139860,GBIF_65507,Meiracyllium trinasutum,14.318485,-89.16843,4399480809,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1854",Río La Palma,NA,SV,0,4,2006,PRESERVED_SPECIMEN,MUHNES,MHES,NO DISPONIBLE,without-number,J. Linares,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,7,5,"c(-89.16843, 14.318485)",TRUE
140050,GBIF_65748,Meiracyllium trinasutum,15.297496,-92.381944,1897602771,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1854",Belisario dominguez,NA,MX,0,7,1997,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,24,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,7,5,"c(-92.381944, 15.297496)",TRUE
142571,GBIF_68412,Meiracyllium gemma,17.762383,-100.689153,1895499706,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1869",Chilacayote-Carrizal; Dto Mina,NA,MX,700,11,1939,PRESERVED_SPECIMEN,CNS-UT,LL,00244082,without-number,H.; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123451,Meiracyllium gemma,Meiracyllium,gemma,Rchb.f.,Species,Accepted,NA,644056-1,123451,7,5,"c(-100.689153, 17.762383)",TRUE
144350,GBIF_70237,Meiracyllium trinasutum,19.45,-103.7,3116684303,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,Rchb.fil.,"Rancho El Jabali, 22 km (airline) NNW of Colima in the SW foorhills of the Volcan de Colima",NA,MX,1300,10,1990,PRESERVED_SPECIMEN,MICH,Angiosperms,1651554,2955,"Emily J. Lott;B. L. Phillips, L. Vazquez V., I. Garcia R., B. M. Rothschild",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,2,6,"c(-103.7, 19.45)",TRUE
162841,GBIF_103105,Meiracyllium trinasutum,16.75,-94.116667,2629621178,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,"Rchb. f., 1854","Arroyo Las Yeguas, aproximadamente 3 km al N de Benito Juárez, límite con San Miguel Chimalapa 4 km al N de San Pedro Tapanatepec",NA,MX,950,4,1985,PRESERVED_SPECIMEN,INECOL,XAL,19868,without-number,S. Maya J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,7,5,"c(-94.116667, 16.75)",TRUE
174710,GBIF_118018,Meiracyllium trinasutum,16.68,-94.07,1258431986,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,Rchb. f.,Oaxaca-Chiapas border. 4 km W of La Cienega along a logging road 38 km W of Las Cruces. Slope along small stream.,NA,MX,1400,5,1972,PRESERVED_SPECIMEN,AMES,Tropicos,1223205,25151,Dennis E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,1,5,"c(-94.07, 16.68)",TRUE
174711,GBIF_118019,Meiracyllium trinasutum,14.60277,-89.43472,1258432008,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Meiracyllium,SPECIES,Rchb. f.,"Río Grande (Río Concepción), on Socorro Mountain, above Finca San José, SE of Concepción de las Minas",NA,GT,1450,11,1939,PRESERVED_SPECIMEN,AMES,Tropicos,1223210,31133,Julian A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,123452,Meiracyllium trinasutum,Meiracyllium,trinasutum,Rchb.f.,Species,Accepted,NA,644057-1,123452,1,5,"c(-89.43472, 14.60277)",TRUE
