V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
115142,GBIF_19363,Mesadenus polyanthus,25.41521,-76.57985,1928259136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,(Rchb.f.) Schltr.,"Whitelands, Glass Window to Gregory Town",NA,BS,NA,2,1907,PRESERVED_SPECIMEN,NY,NY,168115,5413,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,0,17,"c(-76.57985, 25.41521)",TRUE
127957,GBIF_52582,Mesadenus tenuissimus,18.8,-99.1,1999035163,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,L. O. Williams,Mountains of Tlayacapan west of Yautepic,NA,MX,1700,2,1934,PRESERVED_SPECIMEN,AMES,AMES,barcode-00084017,3669,Juan Gonzáles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125889,Mesadenus tenuissimus,Mesadenus,tenuissimus,(L.O.Williams) Garay,Species,Accepted,NA,910893-1,125889,10,8,"c(-99.1, 18.8)",TRUE
136627,GBIF_62117,Mesadenus polyanthus,23.1002,-74.9679,1503189252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,Rchb. f.,"E side of road, 2 mi. S of Clarence Town.",NA,BS,NA,1,1979,PRESERVED_SPECIMEN,USF,Herb,142320,2191,"R. P. Sauleda, D.S. Correll",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,10,4,"c(-74.9679, 23.1002)",TRUE
137131,GBIF_62632,Mesadenus polyanthus,23.0833,-75.0167,1503189247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,Rchb. f.,"E side of main road, 2 mi. S of Stevenson.",NA,BS,NA,1,1979,PRESERVED_SPECIMEN,USF,Herb,142319,2182,"R. P. Sauleda, D.S. Correll",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,10,4,"c(-75.0167, 23.0833)",TRUE
137158,GBIF_62659,Mesadenus polyanthus,23.1002,-74.9679,1503189216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,Rchb. f.,2 mi. S of Clarence Town.,NA,BS,NA,1,1979,PRESERVED_SPECIMEN,USF,Herb,142318,2190,"R. P. Sauleda, D.S. Correll",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,10,4,"c(-74.9679, 23.1002)",TRUE
138349,GBIF_63891,Mesadenus polyanthus,19.3553,-99.0622,1503262345,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,Rchb. f.,Hill at Ixtapalapa.,NA,MX,NA,5,1893,PRESERVED_SPECIMEN,USF,Herb,25641,4409,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,10,4,"c(-99.0622, 19.3553)",TRUE
141972,GBIF_67763,Mesadenus chiangii,24.1163582,-99.8602525,1895436242,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,"(M.C. Johnst.) Garay, 1982",(La Escondida->Aramberri) ->Dolores,NA,MX,545,11,1993,PRESERVED_SPECIMEN,CNS-UT,TEX,00190488,without-number,H. et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125881,Mesadenus chiangii,Mesadenus,chiangii,(M.C.Johnst.) Garay,Species,Accepted,NA,910890-1,125881,7,14,"c(-99.8602525, 24.1163582)",TRUE
142029,GBIF_67822,Mesadenus polyanthus,26.401939,-101.481389,1895357505,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,"Rchb. f., 1845","La Favorita Ranch on N slope of the Cañon Bonanza, SE end of Sa de la Purisima",NA,MX,650,3,1973,PRESERVED_SPECIMEN,CNS-UT,TEX,00111757,without-number,M. C. Johnston; T. L. Wendt; F. Chiang C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,10,5,"c(-101.481389, 26.401939)",TRUE
142165,GBIF_67967,Mesadenus polyanthus,25.044518,-100.121399,1895500214,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,"(Rchb. f.) Burns-Bal., 1982",Cerro Blanco,NA,MX,525,2,1990,PRESERVED_SPECIMEN,CNS-UT,TEX,00190356,without-number,Hinton; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,16,6,"c(-100.121399, 25.044518)",TRUE
142223,GBIF_68033,Mesadenus polyanthus,22.554428,-99.148658,1895357474,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mesadenus,SPECIES,"Rchb. f., 1845",Ca 8 Km W of Antiguo Morelos,NA,MX,0,3,1980,PRESERVED_SPECIMEN,CNS-UT,TEX,00111755,without-number,B. L. Turner; G. Turner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,125886,Mesadenus polyanthus,Mesadenus,polyanthus,(Rchb.f.) Schltr.,Species,Accepted,NA,157958-2,125886,10,5,"c(-99.148658, 22.554428)",TRUE
