V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104501,GBIF_732,Microchilus lunifer,19.211425,-96.884833,1897491071,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,"(Schltr.) Ormerod, 2002",El Mirador,NA,MX,532.5,10,2009,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,254441,Microchilus lunifer,Microchilus,lunifer,(Schltr.) Ormerod,Species,Accepted,NA,1077314-2,254441,6,17,"c(-96.884833, 19.211425)",TRUE
111470,GBIF_15491,Microchilus arietinus,-22.569167,-43.452222,4526436206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,Angiospermas,"RES. BIOL. DE TINGUA. ESTR. DO OURO, CA. DE 760 MSM.",NA,BR,NA,1,2002,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00257823,18637,A.C. Brade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,254423,Microchilus arietinus,Microchilus,arietinus,(Rchb.f. & Warm.) Ormerod,Species,Accepted,NA,1082994-2,254423,23,2,"c(-43.452222, -22.569167)",TRUE
112213,GBIF_16250,Microchilus plantagineus,20.0083,-75.6236,473281251,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Linnaeus) D. Dietrich,Loma de la Gran Piedra,NA,CU,NA,1,1953,PRESERVED_SPECIMEN,UdeM,MT,MT00115851,836,"López Figueiras, Manuel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,126949,Microchilus plantagineus,Microchilus,plantagineus,(L.) D.Dietr.,Species,Accepted,NA,1143191-2,126949,11,5,"c(-75.6236, 20.0083)",TRUE
112933,GBIF_17031,Microchilus hirtellus,20.2667,-76.7833,473281243,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Swartz) D. Dietrich,Río Yao [río Brazo Buey del Yao],NA,CU,NA,3,1943,PRESERVED_SPECIMEN,UdeM,MT,MT00115849,4030,"Marie-Victorin, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,126943,Microchilus hirtellus,Microchilus,hirtellus,(Sw.) D.Dietr.,Species,Accepted,NA,644126-1,126943,8,5,"c(-76.7833, 20.2667)",TRUE
113288,GBIF_17440,Microchilus plantagineus,20.416978,-75.462953,473281247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Linnaeus) D. Dietrich,Loma del Gato,NA,CU,NA,1,1920,PRESERVED_SPECIMEN,UdeM,MT,MT00115850,519,"Clément José, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,126949,Microchilus plantagineus,Microchilus,plantagineus,(L.) D.Dietr.,Species,Accepted,NA,1143191-2,126949,11,5,"c(-75.462953, 20.416978)",TRUE
114266,GBIF_18463,Microchilus plantagineus,18.310516,-65.79133,1931111114,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(L.) D.Dietr.,Mount El Yunque,NA,PR,NA,2,1933,PRESERVED_SPECIMEN,NY,NY,57683,s.n.,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126949,Microchilus plantagineus,Microchilus,plantagineus,(L.) D.Dietr.,Species,Accepted,NA,1143191-2,126949,0,13,"c(-65.79133, 18.310516)",TRUE
114383,GBIF_18582,Microchilus plantagineus,18.089671,-76.734642,1931293218,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(L.) D.Dietr.,"Hardware Gap, above Newcastle",NA,JM,1219.2,12,1957,PRESERVED_SPECIMEN,NY,NY,168071,17615,T. G. Yuncker,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126949,Microchilus plantagineus,Microchilus,plantagineus,(L.) D.Dietr.,Species,Accepted,NA,1143191-2,126949,0,13,"c(-76.734642, 18.089671)",TRUE
114517,GBIF_18718,Microchilus viridissimus,-2.67,-78,1929487560,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,Ormerod,Santiago-Zamora. Cordillera Cutucú. East-trending slope from ridge top down toward Río Itzintza.,NA,EC,NA,NA,1944,PRESERVED_SPECIMEN,NY,NY,688355,E1368,W. H. Camp,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,458381,Microchilus viridissimus,Microchilus,viridissimus,Ormerod,Species,Accepted,NA,77096468-1,458381,0,7,"c(-78, -2.67)",TRUE
114642,GBIF_18844,Microchilus hirtellus,18.241,-67.0131,1929782505,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Sw.) D.Dietr.,"La Juanita, near Las Marías",NA,PR,NA,2,1915,PRESERVED_SPECIMEN,NY,NY,57588,3932,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126943,Microchilus hirtellus,Microchilus,hirtellus,(Sw.) D.Dietr.,Species,Accepted,NA,644126-1,126943,0,14,"c(-67.0131, 18.241)",TRUE
114707,GBIF_18913,Microchilus familiaris,18.10819,-66.16387,1930324216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,Ormerod,Coamo to Caguas: between Cayey and Caguas,NA,PR,NA,3,1906,PRESERVED_SPECIMEN,NY,NY,57582,1400,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,463567,Microchilus familiaris,Microchilus,familiaris,Ormerod,Species,Accepted,NA,77107480-1,463567,0,7,"c(-66.16387, 18.10819)",TRUE
114739,GBIF_18945,Microchilus hirtellus,18.313816,-65.774815,1931342755,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Sw.) D.Dietr.,Northern slope Luquillo Mountains,NA,PR,NA,3,1899,PRESERVED_SPECIMEN,NY,NY,57584,710,A. A. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126943,Microchilus hirtellus,Microchilus,hirtellus,(Sw.) D.Dietr.,Species,Accepted,NA,644126-1,126943,0,14,"c(-65.774815, 18.313816)",TRUE
114908,GBIF_19120,Microchilus hirtellus,18.341667,-66.7,1930573108,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Sw.) D.Dietr.,Río Abajo State Forest,NA,PR,NA,4,1985,PRESERVED_SPECIMEN,NY,NY,57619,29367,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126943,Microchilus hirtellus,Microchilus,hirtellus,(Sw.) D.Dietr.,Species,Accepted,NA,644126-1,126943,0,14,"c(-66.7, 18.341667)",TRUE
114942,GBIF_19156,Microchilus familiaris,16.044253,-61.689474,1930193998,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,Ormerod,Matouba,NA,GP,NA,NA,1897,PRESERVED_SPECIMEN,NY,NY,57596,3860,A. Duss,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,463567,Microchilus familiaris,Microchilus,familiaris,Ormerod,Species,Accepted,NA,77107480-1,463567,0,7,"c(-61.689474, 16.044253)",TRUE
114952,GBIF_19167,Microchilus hirtellus,14.72657,-61.1012,1930312413,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Sw.) D.Dietr.,Deux-Choux,NA,MQ,NA,NA,1879,PRESERVED_SPECIMEN,NY,NY,57593,384,A. Duss,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126943,Microchilus hirtellus,Microchilus,hirtellus,(Sw.) D.Dietr.,Species,Accepted,NA,644126-1,126943,0,14,"c(-61.1012, 14.72657)",TRUE
115015,GBIF_19233,Microchilus plantagineus,18.243308,-77.121227,1930782789,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(L.) D.Dietr.,"Union Hill, near Moneague",NA,JM,650,4,1908,PRESERVED_SPECIMEN,NY,NY,57659,2787,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,126949,Microchilus plantagineus,Microchilus,plantagineus,(L.) D.Dietr.,Species,Accepted,NA,1143191-2,126949,0,13,"c(-77.121227, 18.243308)",TRUE
115047,GBIF_19266,Microchilus ventosus,7.08,-75.33,1931066512,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,Ormerod,"Vereda Llanadas, Kms 6-12 Oeste de Campamento, en la vía a Mina Las Brisas.",NA,CO,NA,9,1989,PRESERVED_SPECIMEN,NY,NY,688381,8281,R. Callejas Posada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,458379,Microchilus ventosus,Microchilus,ventosus,Ormerod,Species,Accepted,NA,77096466-1,458379,0,7,"c(-75.33, 7.08)",TRUE
115135,GBIF_19356,Microchilus procerus,10.793056,-72.67,1928202941,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Microchilus,SPECIES,(Schltr.) Ormerod,"Alrededores del Puesto """"""""El Bosque"""""""" de la Guardia Nacional.",NA,VE,NA,11,1982,PRESERVED_SPECIMEN,NY,NY,688387,12340,G. S. Bunting,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,254449,Microchilus procerus,Microchilus,procerus,(Schltr.) Ormerod,Species,Accepted,NA,77061287-1,254449,0,17,"c(-72.67, 10.793056)",TRUE
