V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
12,ALA_13,Microtis parviflora,-42.7885052,147.1905601,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,R.Br.,1km N of Mt Faulkner,Australia,AU,750,3,1991,PRESERVED_SPECIMEN,HO,HO,HO142582,5177,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128211,Microtis parviflora,Microtis,parviflora,R.Br.,Species,Accepted,NA,644722-1,128211,0,5,"c(147.1905601, -42.7885052)",TRUE
34,ALA_38,Microtis arenaria,-41.933333,145.166667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,Lindl.,Trial Harbour,Australia,AU,NA,12,1981,PRESERVED_SPECIMEN,HO,HO,HO407074,81183,"Morris, D.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128182,Microtis arenaria,Microtis,arenaria,Lindl.,Species,Accepted,NA,644702-1,128182,0,6,"c(145.166667, -41.933333)",TRUE
41,ALA_46,Microtis atrata,-39.883333,147.866667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,Lindl.,"Tanners Bay tinfield, Flinders Island",Australia,AU,15,10,1967,PRESERVED_SPECIMEN,HO,HO,HO25824,172,"Whinray, J.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128183,Microtis atrata,Microtis,atrata,Lindl.,Species,Accepted,NA,644703-1,128183,0,6,"c(147.866667, -39.883333)",TRUE
42,ALA_47,Microtis unifolia,-41,147.383333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,Bridport,Australia,AU,NA,11,1948,PRESERVED_SPECIMEN,HO,HO,HO37495,s.n.,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(147.383333, -41)",TRUE
50,ALA_55,Microtis parviflora,-41.466667,147.166667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,R.Br.,"Launceston, Carr Villa Cemetery",Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,HO,HO,HO518664,s.n.,"Ratkowsky, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128211,Microtis parviflora,Microtis,parviflora,R.Br.,Species,Accepted,NA,644722-1,128211,0,5,"c(147.166667, -41.466667)",TRUE
70,ALA_75,Microtis unifolia,-43.030908,146.291106,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,"Boat ramp car park - Scotts Peak Dam, Lake Pedder.",Australia,AU,315,3,2013,PRESERVED_SPECIMEN,HO,HO,HO570502,1556,"Wapstra, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(146.291106, -43.030908)",TRUE
72,ALA_77,Microtis alba,-34.25,116.083333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,R.Br.,Jarnadup,Australia,AU,NA,12,1917,PRESERVED_SPECIMEN,HO,HO,HO503148,s.n.,"Knox-Peden,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128180,Microtis alba,Microtis,alba,R.Br.,Species,Accepted,NA,644701-1,128180,0,5,"c(116.083333, -34.25)",TRUE
91,ALA_99,Microtis unifolia,-43.033333,147.9,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,"Pirates Road, Eaglehawk Neck.",Australia,AU,NA,11,1980,PRESERVED_SPECIMEN,HO,HO,HO589802,s.n.,"Allan, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(147.9, -43.033333)",TRUE
123,ALA_136,Microtis unifolia,-34.583333,138.933333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,"Rowland Flat, Barossa",Australia,AU,NA,10,1978,PRESERVED_SPECIMEN,HO,HO,HO35671,136,"Keane, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(138.933333, -34.583333)",TRUE
149,ALA_164,Microtis parviflora,-39.952222,144.132667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,R.Br.,"Farm track off Millwood Road going towards Barrier Creek, King Island",Australia,AU,74,11,2010,PRESERVED_SPECIMEN,HO,HO,HO564625,203,"Batey, M.|Batey, G.|Campbell, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128211,Microtis parviflora,Microtis,parviflora,R.Br.,Species,Accepted,NA,644722-1,128211,0,5,"c(144.132667, -39.952222)",TRUE
151,ALA_167,Microtis unifolia,-40.9986088,147.0010152,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,Stony Head artillery range,Australia,AU,60,10,2001,PRESERVED_SPECIMEN,HO,HO,HO518498,s.n.,"North, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(147.0010152, -40.9986088)",TRUE
189,ALA_208,Microtis unifolia,-41,147.083333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,Lulworth tip,Australia,AU,NA,11,1990,PRESERVED_SPECIMEN,HO,HO,HO326128,7098,"Jones, D.L.|Broers, C.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(147.083333, -41)",TRUE
193,ALA_215,Microtis atrata,-40.442222,148.144444,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,Lindl.,Cape Barren Island [truwana]. Green Lagoon.,Australia,AU,10,12,2019,PRESERVED_SPECIMEN,HO,HO,HO601300,s.n.,"Harris, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128183,Microtis atrata,Microtis,atrata,Lindl.,Species,Accepted,NA,644703-1,128183,0,6,"c(148.144444, -40.442222)",TRUE
209,ALA_234,Microtis arenaria,-42.5732063,147.8186347,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,Lindl.,Orford,Australia,AU,25,12,1992,PRESERVED_SPECIMEN,HO,HO,HO329690,s.n.,"Wapstra, H.|Wapstra, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128182,Microtis arenaria,Microtis,arenaria,Lindl.,Species,Accepted,NA,644702-1,128182,0,6,"c(147.8186347, -42.5732063)",TRUE
236,ALA_265,Microtis unifolia,-43.4748024,146.9058491,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,"Leprena track, Southport Lagoon",Australia,AU,40,12,1998,PRESERVED_SPECIMEN,HO,HO,HO500292,s.n.,"Wapstra, H.|Wapstra, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(146.9058491, -43.4748024)",TRUE
239,ALA_268,Microtis unifolia,-40.216667,148.233333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,"Fisher Island, just offshore of Lady Barron, Flinders Island, site of field station",Australia,AU,0,12,1986,PRESERVED_SPECIMEN,HO,HO,HO125085,s.n.,"Harris, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(148.233333, -40.216667)",TRUE
305,ALA_340,Microtis parviflora,-43.116667,147.85,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,R.Br.,"Oakwood, Tasman Peninsula",Australia,AU,NA,12,1946,PRESERVED_SPECIMEN,HO,HO,HO52721,s.n.,"Richardson, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128211,Microtis parviflora,Microtis,parviflora,R.Br.,Species,Accepted,NA,644722-1,128211,0,5,"c(147.85, -43.116667)",TRUE
324,ALA_360,Microtis unifolia,-41,144.666667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,"Jim Crowe Scrub, Marrawah",Australia,AU,60,12,1987,PRESERVED_SPECIMEN,HO,HO,HO120361,3035,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(144.666667, -41)",TRUE
331,ALA_367,Microtis unifolia,-42.883333,147.8,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,(G.Forst.) Rchb.f.,Dunalley,Australia,AU,NA,10,1969,PRESERVED_SPECIMEN,HO,HO,HO563030,s.n.,"Shea, C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128219,Microtis unifolia,Microtis,unifolia,(G.Forst.) Rchb.f.,Species,Accepted,NA,644729-1,128219,0,18,"c(147.8, -42.883333)",TRUE
414,ALA_460,Microtis arenaria,-42.55,147.866667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,species,Lindl.,Orford,Australia,AU,NA,11,1975,PRESERVED_SPECIMEN,HO,HO,HO78041,s.n.,"Allan, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128182,Microtis arenaria,Microtis,arenaria,Lindl.,Species,Accepted,NA,644702-1,128182,0,6,"c(147.866667, -42.55)",TRUE
