V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103985,GBIF_199,Miltonia flavescens,-24.138789,-55.668539,1055305052,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,(Lindl.) Lindl.,La Morena,NA,PY,NA,10,1996,PRESERVED_SPECIMEN,NHMUK,BOT,BM000527093,1649,B. Jiménez & G. Marin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128296,Miltonia flavescens,Miltonia,flavescens,(Lindl.) Lindl.,Species,Accepted,NA,644749-1,128296,0,15,"c(-55.668539, -24.138789)",TRUE
111196,GBIF_15200,Miltonia clowesii,-20.291389,-40.519444,4526413749,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Angiospermas,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00521455,1860,C.N. Fraga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128289,Miltonia clowesii,Miltonia,clowesii,(Lindl.) Lindl.,Species,Accepted,NA,644741-1,128289,14,1,"c(-40.519444, -20.291389)",TRUE
111385,GBIF_15402,Miltonia flavescens,-21.5175,-47.245833,4526429440,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Angiospermas,Parque Estadual de Porto Ferreira,NA,BR,NA,9,2013,PRESERVED_SPECIMEN,NA,HUFU,HUFU00059276,268,G.M. Marcusso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128296,Miltonia flavescens,Miltonia,flavescens,(Lindl.) Lindl.,Species,Accepted,NA,644749-1,128296,14,1,"c(-47.245833, -21.5175)",TRUE
114197,GBIF_18394,Miltonia regnellii,-27.1,-48.9,1930633710,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Rchb.f.,"Mato de Malucher, Brusque.",NA,BR,NA,2,1952,PRESERVED_SPECIMEN,NY,NY,1032182,5771,L. B. Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128313,Miltonia regnellii,Miltonia,regnellii,Rchb.f.,Species,Accepted,NA,644765-1,128313,0,7,"c(-48.9, -27.1)",TRUE
114226,GBIF_18423,Miltonia regnellii,-25.5241867,-48.5097444,1930822841,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Rchb.f.,Pico Torto,NA,BR,300,1,1970,PRESERVED_SPECIMEN,NY,NY,1032183,23347,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128313,Miltonia regnellii,Miltonia,regnellii,Rchb.f.,Species,Accepted,NA,644765-1,128313,0,7,"c(-48.5097444, -25.5241867)",TRUE
114395,GBIF_18594,Miltonia flavescens,-25.1507552,-53.8492119,1927781073,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Lindl.,Boa Vista,NA,BR,NA,10,1969,PRESERVED_SPECIMEN,NY,NY,1032175,22591,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128296,Miltonia flavescens,Miltonia,flavescens,(Lindl.) Lindl.,Species,Accepted,NA,644749-1,128296,9,6,"c(-53.8492119, -25.1507552)",TRUE
130624,GBIF_55332,Miltonia flavescens,-25.91666,-56.25,1260187932,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Lindl.,Cord del Ybyturuzu. Villa S. Pedro.,NA,PY,NA,11,1988,PRESERVED_SPECIMEN,MO,Tropicos,2833655,001855,Isabel Basualdo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128296,Miltonia flavescens,Miltonia,flavescens,(Lindl.) Lindl.,Species,Accepted,NA,644749-1,128296,9,6,"c(-56.25, -25.91666)",TRUE
140188,GBIF_65902,Miltonia flavescens,-28.8475,-49.454444,2996471306,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,(Lindl.) Lindl.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005825,without-number,Teresinha Silva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128296,Miltonia flavescens,Miltonia,flavescens,(Lindl.) Lindl.,Species,Accepted,NA,644749-1,128296,0,15,"c(-49.454444, -28.8475)",TRUE
140387,GBIF_66117,Miltonia flavescens,-23.964444,-55.038611,2273340710,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,(Lindl.) Lindl.,Parque Natural Municipal de Sete Quedas (PNM7Q).,NA,BR,380,3,2010,PRESERVED_SPECIMEN,UFMS,CGMS,71194,10816,V.J. Pott; A. Pott,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128296,Miltonia flavescens,Miltonia,flavescens,(Lindl.) Lindl.,Species,Accepted,NA,644749-1,128296,0,15,"c(-55.038611, -23.964444)",TRUE
140400,GBIF_66133,Miltonia spectabilis,-20.500278,-54.611944,3800705659,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltonia,SPECIES,Lindl.,Jardim de inverno do Laboratório de Botânica da UFMS.,NA,BR,NA,2,2014,PRESERVED_SPECIMEN,UFMS,CGMS,81554,11626,V.J. Pott; A. Pott,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128321,Miltonia spectabilis,Miltonia,spectabilis,Lindl.,Species,Accepted,NA,644775-1,128321,0,6,"c(-54.611944, -20.500278)",TRUE
