V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129629,GBIF_54307,Miltoniopsis roezlii,7.983333,-78.35,1258542447,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Rchb. f.) God.-Leb.,"NE slope of summit of Cerro Sapo, approach from Garachiné, E slope, knife edge ridge before ascent to top",NA,PA,853.44,5,1979,PRESERVED_SPECIMEN,MO,Tropicos,1325588,7300,Barry E. Hammel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128360,Miltoniopsis roezlii,Miltoniopsis,roezlii,(W.Bull) God.-Leb.,Species,Accepted,NA,161451-2,128360,8,11,"c(-78.35, 7.983333)",TRUE
130375,GBIF_55075,Miltoniopsis roezlii,9.233889,-79.375,1258559580,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Rchb. f.) God.-Leb.,Between Cerro Jefe and La Eneida,NA,PA,925,10,1971,PRESERVED_SPECIMEN,MO,Tropicos,1341068,4134,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128360,Miltoniopsis roezlii,Miltoniopsis,roezlii,(W.Bull) God.-Leb.,Species,Accepted,NA,161451-2,128360,8,11,"c(-79.375, 9.233889)",TRUE
131560,GBIF_56327,Miltoniopsis phalaenopsis,8.85,-82.566667,1056885989,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Linden & Rchb.f.) Garay & Dunst.,"Guadalupe, 2000 m",NA,PA,2000,3,1986,PRESERVED_SPECIMEN,NHMUK,BOT,BM000026356,563,"Rachel Jane Hampshire, Caroline Whitefoord",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,128359,Miltoniopsis phalaenopsis,Miltoniopsis,phalaenopsis,(Linden & Rchb.f.) Garay & Dunst.,Species,Accepted,NA,644786-1,128359,0,33,"c(-82.566667, 8.85)",TRUE
173970,GBIF_117229,Miltoniopsis bismarckii,-10.291667,-75.518056,4061786487,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,Dodson & D.E. Benn.,"Dist. Huancabamba. Parque Nacional Yanachaga-Chemillen, Sector Tunqui.",NA,PE,1800,2,2008,PRESERVED_SPECIMEN,HUT,Tropicos,102651632,33360,Rodolfo Vásquez;Abel Monteagudo;A. Peña Cruz;J. Mateo M.;Valerio Flores;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128357,Miltoniopsis bismarckii,Miltoniopsis,bismarckii,Dodson & D.E.Benn.,Species,Accepted,NA,938748-1,128357,1,13,"c(-75.518056, -10.291667)",TRUE
187168,GBIF_132806,Miltoniopsis roezlii,9.25555,-78.95277,1258559564,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Rchb. f.) God.-Leb.,"El Llano-Cartí highway, 10-12 km north of El Llano",NA,PA,NA,3,1974,PRESERVED_SPECIMEN,MO,Tropicos,1341070,4618,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128360,Miltoniopsis roezlii,Miltoniopsis,roezlii,(W.Bull) God.-Leb.,Species,Accepted,NA,161451-2,128360,8,11,"c(-78.95277, 9.25555)",TRUE
189397,GBIF_135218,Miltoniopsis warszewiczii,8.75,-82.25,1261362937,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Rchb. f.) Garay & Dunst.,"Vicinity of Fortuna Dam, along roadside and in forest between road and reservoir.",NA,PA,1100,12,1987,PRESERVED_SPECIMEN,MO,Tropicos,647235,11800,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128364,Miltoniopsis warszewiczii,Miltoniopsis,warszewiczii,(Rchb.f.) Garay & Dunst.,Species,Accepted,NA,161454-2,128364,1,18,"c(-82.25, 8.75)",TRUE
191896,GBIF_137832,Miltoniopsis vexillaria,-3.483,-78.566,47808383,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,NA,"Orechids from the garden of Padre Andreetta, headmaster of Misión Bomboiza. Living plants only.",NA,EC,1800,4,1973,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen4307,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128363,Miltoniopsis vexillaria,Miltoniopsis,vexillaria,(Rchb.f.) God.-Leb.,Species,Accepted,NA,161453-2,128363,19,-1,"c(-78.566, -3.483)",TRUE
233369,GBIF_192863,Miltoniopsis roezlii,8.758333,-80.526667,1261363167,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Rchb. f.) God.-Leb.,Logging camp 12 miles from Llano Grande.,NA,PA,700,12,1983,PRESERVED_SPECIMEN,MO,Tropicos,647408,4052,H. W. Churchill;A. Liese;W. Scott Armbruster;A. L. Herzig,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128360,Miltoniopsis roezlii,Miltoniopsis,roezlii,(W.Bull) God.-Leb.,Species,Accepted,NA,161451-2,128360,8,11,"c(-80.526667, 8.758333)",TRUE
247134,GBIF_211423,Miltoniopsis roezlii,4.1,-72.908889,4095919932,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,(Rchb. f.) God.-Leb.,Nueva Granada,NA,CO,NA,7,1988,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,520102,211,Guillermo Misas Urreta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128360,Miltoniopsis roezlii,Miltoniopsis,roezlii,(W.Bull) God.-Leb.,Species,Accepted,NA,161451-2,128360,8,11,"c(-72.908889, 4.1)",TRUE
252843,GBIF_218296,Miltoniopsis warszewiczii,8.784278,-82.988389,476431421,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Miltoniopsis,SPECIES,NA,NA,NA,CR,NA,NA,without-year,PRESERVED_SPECIMEN,OTS,Wilson Botanical Garden - Las Cruces Biological Station,20100202,without-number,"Oviedo-Brenes, Federico",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,128364,Miltoniopsis warszewiczii,Miltoniopsis,warszewiczii,(Rchb.f.) Garay & Dunst.,Species,Accepted,NA,161454-2,128364,24,-1,"c(-82.988389, 8.784278)",TRUE
