V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113434,GBIF_17601,Mormodes luxata,19.437778,-103.944722,1893975629,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"Lindl., 1842","2 km al NO de El Terrero, 11-12 km al NE de Minatitlán",NA,MX,1150,7,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16250,without-number,Francisco Javier Santana Michel; José Martín Vázquez López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130043,Mormodes luxata,Mormodes,luxata,Lindl.,Species,Accepted,NA,644975-1,130043,6,6,"c(-103.944722, 19.437778)",TRUE
113465,GBIF_17634,Mormodes saccata,19.625833,-104.286944,1893975686,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"S. Rosillo, 1983","1-3 km al NE de Corralitos, 15-16 km al ENE de Casimiro Castillo",NA,MX,875,7,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,11831,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130072,Mormodes saccata,Mormodes,saccata,S.Rosillo,Species,Accepted,NA,902601-1,130072,7,7,"c(-104.286944, 19.625833)",TRUE
113552,GBIF_17731,Mormodes badia,19.6725,-104.421111,1893958345,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"Rolfe ex W. Watson, 1897","La Calera, 7-8 km al N de Casimiro Castillo",NA,MX,500,1,2001,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,20951,without-number,Germán Guzmán Sánchez; Ramón Cuevas Guzmán; Martín Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130000,Mormodes badia,Mormodes,badia,Rolfe ex W.Watson,Species,Accepted,NA,644943-1,130000,7,11,"c(-104.421111, 19.6725)",TRUE
113605,GBIF_17785,Mormodes luxata,19.591667,-104.258333,1893975621,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"Lindl., 1842","El Zarzamoro, Estación Científica Las Joyas",NA,MX,940,7,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,244,without-number,José Antonio Vázquez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130043,Mormodes luxata,Mormodes,luxata,Lindl.,Species,Accepted,NA,644975-1,130043,6,6,"c(-104.258333, 19.591667)",TRUE
113654,GBIF_17838,Mormodes saccata,19.6175,-104.274444,1893975652,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"S. Rosillo, 1983","Las Galeras, Estación Científica Las Joyas",NA,MX,775,7,1998,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,19074,without-number,Ramón Cuevas Guzmán; Luis Guzmán Hernández; Manuel Morales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130072,Mormodes saccata,Mormodes,saccata,S.Rosillo,Species,Accepted,NA,902601-1,130072,7,7,"c(-104.274444, 19.6175)",TRUE
113847,GBIF_18040,Mormodes sinuata,-15.866667,-47.85,4427187407,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,Rchb.f. & Warm.,Estação Ecológica do Jardim Botânico de Brasília,NA,BR,1087.5,4,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027587,4091,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130076,Mormodes sinuata,Mormodes,sinuata,Rchb.f. & Warm.,Species,Accepted,NA,644994-1,130076,0,15,"c(-47.85, -15.866667)",TRUE
115278,GBIF_19504,Mormodes guentheriana,-15.400373,-68.183381,1929990837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,Kraenzl.,Region de Mapiri: San Carlos,NA,BO,850,5,1927,PRESERVED_SPECIMEN,NY,NY,8634,536,O. Buchtien,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130027,Mormodes guentheriana,Mormodes,guentheriana,(Kraenzl.) Mansf.,Species,Accepted,NA,164380-2,130027,9,7,"c(-68.183381, -15.400373)",TRUE
127570,GBIF_51782,Mormodes buccinator,3.62348,-53.20925,4565160476,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130003,Mormodes buccinator,Mormodes,buccinator,Lindl.,Species,Accepted,NA,644946-1,130003,6,-1,"c(-53.20925, 3.62348)",TRUE
127629,GBIF_51872,Mormodes buccinator,3.62348,-53.20925,4565160573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130003,Mormodes buccinator,Mormodes,buccinator,Lindl.,Species,Accepted,NA,644946-1,130003,6,-1,"c(-53.20925, 3.62348)",TRUE
127748,GBIF_52082,Mormodes buccinator,3.62348,-53.20925,4565160804,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,6,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130003,Mormodes buccinator,Mormodes,buccinator,Lindl.,Species,Accepted,NA,644946-1,130003,6,-1,"c(-53.20925, 3.62348)",TRUE
127821,GBIF_52232,Mormodes buccinator,3.62348,-53.20925,4565160969,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2017,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130003,Mormodes buccinator,Mormodes,buccinator,Lindl.,Species,Accepted,NA,644946-1,130003,6,-1,"c(-53.20925, 3.62348)",TRUE
139809,GBIF_65451,Mormodes lineata,15.234449,-92.462011,1897603041,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"Bateman ex Lindl., 1841",Colonia Morelos,NA,MX,0,2,1999,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,40,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130041,Mormodes lineata,Mormodes,lineata,Bateman ex Lindl.,Species,Accepted,NA,644973-1,130041,6,17,"c(-92.462011, 15.234449)",TRUE
146741,GBIF_77070,Mormodes oceloteoides,20.596944,-104.831944,1895586055,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"S. Rosillo, 1983",En Talpa y San Sebastián,NA,MX,0,7,1982,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,NO DISPONIBLE,without-number,J. Cárdenas; D. Hernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130053,Mormodes oceloteoides,Mormodes,oceloteoides,S.Rosillo,Species,Accepted,NA,902598-1,130053,7,7,"c(-104.831944, 20.596944)",TRUE
146753,GBIF_77082,Mormodes tuxtlensis,18.305556,-95.055,1895589162,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"Salazar, 1989","Laguna Escondida, 3 km al NO de La Estación de Biología Tropical Los Tuxtlas",NA,MX,17.5,8,1985,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,NO DISPONIBLE,without-number,S. Sinaca C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130086,Mormodes tuxtlensis,Mormodes,tuxtlensis,Salazar,Species,Accepted,NA,936458-1,130086,6,7,"c(-95.055, 18.305556)",TRUE
152110,GBIF_83739,Mormodes colossus,10.3728,-84.58155,1930533916,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,Rchb.f.,Collinas de San Pedro de San Ramon,NA,CR,NA,11,1927,PRESERVED_SPECIMEN,NY,NY,00984250,(3426),A. M. Brenes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130012,Mormodes colossus,Mormodes,colossus,Rchb.f.,Species,Accepted,NA,644952-1,130012,0,7,"c(-84.58155, 10.3728)",TRUE
161348,GBIF_101507,Mormodes colossus,9.395701,-83.595652,1253573690,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,Rchb. f.,Perez Zeledón. Santa Elena. Las Nubes.,NA,CR,1210,12,1996,PRESERVED_SPECIMEN,INBio,Plantae,1522443,without-number,Evelio Alfaro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130012,Mormodes colossus,Mormodes,colossus,Rchb.f.,Species,Accepted,NA,644952-1,130012,1,5,"c(-83.595652, 9.395701)",TRUE
161578,GBIF_101744,Mormodes fractiflexa,8.716667,-83.580557,1253640080,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,Rchb. f.,"Rancho Quemado, camino a Drake.",NA,CR,275,2,1991,PRESERVED_SPECIMEN,INBio,Plantae,1607331,without-number,Maria M. Chavarría,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130024,Mormodes fractiflexa,Mormodes,fractiflexa,Rchb.f.,Species,Accepted,NA,644959-1,130024,1,5,"c(-83.580557, 8.716667)",TRUE
163560,GBIF_103897,Mormodes tuxtlensis,18.378075,-94.95445,2629590373,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mormodes,SPECIES,"Salazar, 1989","Rancho Vivero, El Bastonal, 20 km de Catemaco",NA,MX,750,7,1996,PRESERVED_SPECIMEN,INECOL,XAL,XAL0110193,without-number,O. Rodríguez A.; A. Vázquez B.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130086,Mormodes tuxtlensis,Mormodes,tuxtlensis,Salazar,Species,Accepted,NA,936458-1,130086,6,7,"c(-94.95445, 18.378075)",TRUE
