V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
115391,GBIF_19619,Myoxanthus exasperatus,-25.4807848,-48.8347669,1930756309,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Lindl.) Luer,Col. Floresta.,NA,BR,35,8,1968,PRESERVED_SPECIMEN,NY,NY,1032188,s.n.,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130812,Myoxanthus exasperatus,Myoxanthus,exasperatus,(Lindl.) Luer,Species,Accepted,NA,165345-2,130812,0,13,"c(-48.8347669, -25.4807848)",TRUE
129042,GBIF_53705,Myoxanthus parvilabius,0.05,-77.333,1261358747,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(C. Schweinf.) Luer,Epiphytic in forest around Bermejo Oil Fields north of Lumbaqui.,NA,EC,850,2,1986,PRESERVED_SPECIMEN,MO,Tropicos,642650,11731,Carl A. Luer;Jane Luer;Alexander Hirtz;W. Flores;Alvin Embree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130835,Myoxanthus parvilabius,Myoxanthus,parvilabius,(C.Schweinf.) Luer,Species,Accepted,NA,165363-2,130835,1,15,"c(-77.333, 0.05)",TRUE
129061,GBIF_53724,Myoxanthus exasperatus,0.9,-78.1,1261360515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Lindl.) Luer,Approx. 3 km above Maldonado. Cutbank alongside road.,NA,EC,1550,5,1993,PRESERVED_SPECIMEN,MO,Tropicos,644603,1859,Brad Boyle;Jason C. Bradford,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130812,Myoxanthus exasperatus,Myoxanthus,exasperatus,(Lindl.) Luer,Species,Accepted,NA,165345-2,130812,0,13,"c(-78.1, 0.9)",TRUE
129084,GBIF_53748,Myoxanthus scandens,-3.005,-78.196,1261362032,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Ames) Luer,Mendez-Morona.,NA,EC,950,1,1989,PRESERVED_SPECIMEN,MO,Tropicos,646250,13948,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130843,Myoxanthus scandens,Myoxanthus,scandens,(Ames) Luer,Species,Accepted,NA,165369-2,130843,0,11,"c(-78.196, -3.005)",TRUE
129356,GBIF_54029,Myoxanthus simplicicaulis,3.56666,-65.53333,1261389840,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(C. Schweinf.) Luer,ATABAPO In saddle between Duida and Marahuaca near base of Duida. Medium height forest.,NA,VE,1000,10,1988,PRESERVED_SPECIMEN,MO,Tropicos,674510,25395,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130847,Myoxanthus simplicicaulis,Myoxanthus,simplicicaulis,(C.Schweinf.) Luer,Species,Accepted,NA,910946-1,130847,1,15,"c(-65.53333, 3.56666)",TRUE
130105,GBIF_54796,Myoxanthus panamensis,9.267222,-79.927222,1259348459,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,Rojas-Alv. & Karremans,"El Llano to Cartí Road, 14 Km N of Panamerican Highway, cloud forest",NA,PA,425,1,1977,PRESERVED_SPECIMEN,MO,Tropicos,2071895,1407,James P. Folsom;J. Kauke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,548356,Myoxanthus panamensis,Myoxanthus,panamensis,Rojas-Alv. & Karremans,Species,Accepted,NA,77219951-1,548356,0,22,"c(-79.927222, 9.267222)",TRUE
141064,GBIF_66822,Myoxanthus exasperatus,-25.55,-48.63,2618585818,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Lindl.) Luer,Plantae Brasilienses. Paraná: Alexandra.,NA,BR,NA,12,1914,PRESERVED_SPECIMEN,S,VascularPlants,S17-12805,16188,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130812,Myoxanthus exasperatus,Myoxanthus,exasperatus,(Lindl.) Luer,Species,Accepted,NA,165345-2,130812,0,13,"c(-48.63, -25.55)",TRUE
151654,GBIF_83266,Myoxanthus exasperatus,-23.646109,-46.618358,1930648739,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Lindl.) Luer,Jardim Botânico.,NA,BR,NA,10,1934,PRESERVED_SPECIMEN,NY,NY,1844006,32096,F. C. Hoehne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130812,Myoxanthus exasperatus,Myoxanthus,exasperatus,(Lindl.) Luer,Species,Accepted,NA,165345-2,130812,0,13,"c(-46.618358, -23.646109)",TRUE
152070,GBIF_83698,Myoxanthus exasperatus,-25.5241867,-48.5097444,1930281150,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Lindl.) Luer,Rio Cambará,NA,BR,125,10,1968,PRESERVED_SPECIMEN,NY,NY,1032189,20138,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130812,Myoxanthus exasperatus,Myoxanthus,exasperatus,(Lindl.) Luer,Species,Accepted,NA,165345-2,130812,0,13,"c(-48.5097444, -25.5241867)",TRUE
156040,GBIF_87882,Myoxanthus exasperatus,10.408886,-67.290347,3865411808,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myoxanthus,SPECIES,(Lindl.) Luer,Prope coloniam.,NA,VE,NA,NA,1854,PRESERVED_SPECIMEN,PH,NA,PH00602336,1489,A. Fendler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,130812,Myoxanthus exasperatus,Myoxanthus,exasperatus,(Lindl.) Luer,Species,Accepted,NA,165345-2,130812,0,13,"c(-67.290347, 10.408886)",TRUE
