V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113544,GBIF_17722,Myrmecophila tibicinis,19.587778,-104.413333,1893971764,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Bateman) Bateman, 1841","Cerro La Petaca, 2-3 km al SE de Casimiro Castillo",NA,MX,350,9,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,15771,without-number,Francisco Javier Santana Michel; Judith Cevallos Espinosa; José Martín Vázquez López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132052,Myrmecophila tibicinis,Myrmecophila,tibicinis,(Bateman ex Lindl.) Rolfe,Species,Accepted,NA,166411-2,132052,16,8,"c(-104.413333, 19.587778)",TRUE
114168,GBIF_18365,Myrmecophila christinae,18.3417,-92.0514,2382931257,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,VARIETY,Carnevali & J.L.Tapia,"Plan del Carmen, final de la carretera que viene de Palizada",NA,MX,NA,4,1998,PRESERVED_SPECIMEN,NY,NY,04105014,682,I. Ramírez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132041,Myrmecophila christinae,Myrmecophila,christinae,Carnevali & Gómez-Juárez,Species,Accepted,NA,323056-2,132041,12,12,"c(-92.0514, 18.3417)",TRUE
138897,GBIF_64465,Myrmecophila humboldtii,11.9663,-69.955,1657211585,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,(Rchb. f.) Rchb. f.,NA,NA,VE,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,28981,794,N. H. Prade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132047,Myrmecophila humboldtii,Myrmecophila,humboldtii,(Rchb.f.) Rolfe,Species,Accepted,NA,166407-2,132047,7,6,"c(-69.955, 11.9663)",TRUE
139001,GBIF_64573,Myrmecophila tibicinis,22.2799,-97.8975,1584439515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,(Bateman) L. O. Williams,Tampico.,NA,MX,NA,4,1898,PRESERVED_SPECIMEN,USF,Herb,51136,6823,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132052,Myrmecophila tibicinis,Myrmecophila,tibicinis,(Bateman ex Lindl.) Rolfe,Species,Accepted,NA,166411-2,132052,15,8,"c(-97.8975, 22.2799)",TRUE
154609,GBIF_86390,Myrmecophila tibicinis,22.27817,-97.86772,3865141894,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,Bateman,Tampico.,NA,MX,NA,4,1898,PRESERVED_SPECIMEN,PH,NA,PH00605137,6823,Cyrus G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132052,Myrmecophila tibicinis,Myrmecophila,tibicinis,(Bateman ex Lindl.) Rolfe,Species,Accepted,NA,166411-2,132052,18,6,"c(-97.86772, 22.27817)",TRUE
162634,GBIF_102888,Myrmecophila grandiflora,19.481111,-96.789444,2629535832,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Lindl.) Carnevali, Tapia-Muñoz & I. Ramírez, 2001","Cerro Gordo, 31 km, camino Xalapa-Veracruz",NA,MX,800,10,1975,PRESERVED_SPECIMEN,INECOL,XAL,V018943,without-number,P.E. Valdivia Q.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132046,Myrmecophila grandiflora,Myrmecophila,grandiflora,(Lindl.) Carnevali & J.L.Tapia & I.Ramírez,Species,Accepted,NA,1121131-2,132046,19,18,"c(-96.789444, 19.481111)",TRUE
162741,GBIF_103000,Myrmecophila tibicinis,17.5,-92.916667,2629525519,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Bateman) Rolfe, 1917",Ejido Goanal-Vicente Guerrero,NA,MX,NA,11,1988,PRESERVED_SPECIMEN,INECOL,XAL,K423801,without-number,M. de los A. Guadarrama O.; G. Ortiz C.; V. Ramón J.; M. Valencia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132052,Myrmecophila tibicinis,Myrmecophila,tibicinis,(Bateman ex Lindl.) Rolfe,Species,Accepted,NA,166411-2,132052,15,8,"c(-92.916667, 17.5)",TRUE
162846,GBIF_103110,Myrmecophila grandiflora,21.258333,-89.125,2629563154,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Lindl.) Carnevali, Tapia-Muñoz & I. Ramírez, 2001",No disponible,NA,MX,0,6,1981,PRESERVED_SPECIMEN,INECOL,XAL,Y000105,without-number,M. de J. Ordoñez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132046,Myrmecophila grandiflora,Myrmecophila,grandiflora,(Lindl.) Carnevali & J.L.Tapia & I.Ramírez,Species,Accepted,NA,1121131-2,132046,19,18,"c(-89.125, 21.258333)",TRUE
162878,GBIF_103144,Myrmecophila tibicinis,18.283333,-94.75,2629683619,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Bateman) Bateman, 1841","Playa Peña Hermosa, NE del Ejido La Valentina",NA,MX,40,5,1985,PRESERVED_SPECIMEN,INECOL,XAL,K421501,without-number,J.I. Calzada; F. Ramírez R.; H. Perales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132052,Myrmecophila tibicinis,Myrmecophila,tibicinis,(Bateman ex Lindl.) Rolfe,Species,Accepted,NA,166411-2,132052,16,8,"c(-94.75, 18.283333)",TRUE
162980,GBIF_103257,Myrmecophila tibicinis,18.504167,-95.035555,2629535197,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Bateman) Bateman, 1841",Sontecomapan,NA,MX,100,4,1972,PRESERVED_SPECIMEN,INECOL,XAL,V030309,without-number,A. Zallas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132052,Myrmecophila tibicinis,Myrmecophila,tibicinis,(Bateman ex Lindl.) Rolfe,Species,Accepted,NA,166411-2,132052,16,8,"c(-95.035555, 18.504167)",TRUE
163037,GBIF_103319,Myrmecophila grandiflora,19.216667,-96.165555,2629675227,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrmecophila,SPECIES,"(Lindl.) Carnevali, Tapia-Muñoz & I. Ramírez, 2001",Rancho Padre,NA,MX,7.5,3,1991,PRESERVED_SPECIMEN,INECOL,XAL,K410840,without-number,M.A. García-Bielma,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132046,Myrmecophila grandiflora,Myrmecophila,grandiflora,(Lindl.) Carnevali & J.L.Tapia & I.Ramírez,Species,Accepted,NA,1121131-2,132046,19,18,"c(-96.165555, 19.216667)",TRUE
