V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128652,GBIF_53312,Myrosmodes nubigena,-0.33333,-78.25,4031926808,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,Rchb. f.,Embalse Salve Faccha. Formación vegetal: Páramo herbáceo dominado por Stipa y Calamagrostis.,NA,EC,3600,8,2001,PRESERVED_SPECIMEN,MO,Tropicos,101951570,436,Diana Fernández;G. Pérez;L. Calvopiña,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,1,5,"c(-78.25, -0.33333)",TRUE
129133,GBIF_53798,Myrosmodes rostrata,-9.5,-77.38,1261366538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,(Rchb. f.) Garay,Protected due to name conservation status,NA,PE,3900,2,1985,PRESERVED_SPECIMEN,MO,Tropicos,651083,9675,David N. Smith;René Valencia;Alfredo Gonzales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132074,Myrosmodes rostrata,Myrosmodes,rostrata,(Rchb.f.) Garay,Species,Accepted,NA,645069-1,132074,1,9,"c(-77.38, -9.5)",TRUE
129586,GBIF_54262,Myrosmodes nubigena,-17.05,-67.3,1258467030,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,Rchb. f.,"""""""""Cruz Sayaquira"""""""" - - Bogs and slopes between the small bridge that begins the mining road to Sayaquira, and Estancia Huana Kkota. 10 km SW of Quime.",NA,BO,4300,3,1990,PRESERVED_SPECIMEN,MO,Tropicos,1255865,37142A,Marko Lewis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,1,5,"c(-67.3, -17.05)",TRUE
130032,GBIF_54723,Myrosmodes nubigena,-11.66666,-76.08333,1259227839,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,Rchb. f.,"Yauli, cerca a aguas termales. Cultivada en Lima.",NA,PE,4250,10,1993,PRESERVED_SPECIMEN,MO,Tropicos,1961591,46,P. Bedoya,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,1,5,"c(-76.08333, -11.66666)",TRUE
130033,GBIF_54724,Myrosmodes paludosa,-11.666667,-76.083333,1259227218,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,(Schltr.) C. Vargas,"Yauli, cerca a aguas termales. Cultivada en Lima.",NA,PE,4300,10,1993,PRESERVED_SPECIMEN,MO,Tropicos,1961609,700,Carlos Vargas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132071,Myrosmodes paludosa,Myrosmodes,paludosa,(Rchb.f.) P.Ortiz,Species,Accepted,NA,77062237-1,132071,11,3,"c(-76.083333, -11.666667)",TRUE
130034,GBIF_54725,Myrosmodes nubigena,-11.666667,-76.083333,1259227929,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,Rchb. f.,"Yauli, cultivadas en el invernadero de la Universidad Ricardo Palma.",NA,PE,4350,6,1993,PRESERVED_SPECIMEN,MO,Tropicos,1961726,608,Carlos Vargas;M. Salviz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,1,5,"c(-76.083333, -11.666667)",TRUE
130035,GBIF_54726,Myrosmodes nubigena,-11.666667,-76.083333,1259227034,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,Rchb. f.,"Yauli, cultivadas en el invernadero de la Universidad Ricardo Palma.",NA,PE,4350,6,1993,PRESERVED_SPECIMEN,MO,Tropicos,1961735,612,Carlos Vargas;M. Salviz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,1,5,"c(-76.083333, -11.666667)",TRUE
136747,GBIF_62238,Myrosmodes nubigena,-1.4667,-78.8,1576151179,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,(Rchb. f.) Rchb. f.,Eastern slope of Mount Chimborazo.,NA,EC,4100,7,1939,PRESERVED_SPECIMEN,USF,Herb,28272,7820,E. Splund,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,12,5,"c(-78.8, -1.4667)",TRUE
136941,GBIF_62435,Myrosmodes nubigena,8.56982,-71.1805,1576151184,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,(Rchb. f.) Rchb. f.,NA,NA,VE,4300,5,1952,PRESERVED_SPECIMEN,USF,Herb,28271,1283,V. Vareschi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132070,Myrosmodes nubigena,Myrosmodes,nubigena,Rchb.f.,Species,Accepted,NA,645066-1,132070,12,5,"c(-71.1805, 8.56982)",TRUE
138908,GBIF_64476,Myrosmodes paludosa,-1.4667,-78.8,1576151185,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Myrosmodes,SPECIES,Rchb. f.,Eastern slope of Mount Chimborazo.,NA,EC,4400,7,1939,PRESERVED_SPECIMEN,USF,Herb,28274,7940,E. Asplund,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,132071,Myrosmodes paludosa,Myrosmodes,paludosa,(Rchb.f.) P.Ortiz,Species,Accepted,NA,77062237-1,132071,10,4,"c(-78.8, -1.4667)",TRUE
