V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128143,GBIF_52771,Nemaconia longipetala,17.4,-99.9,1999069949,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,Correll,Near Jaleaca,NA,MX,2000,4,1936,PRESERVED_SPECIMEN,AMES,AMES,barcode-00103499,3252,O. Nagel & J. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373466,Nemaconia longipetala,Nemaconia,longipetala,"(Correll) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088575-1,373466,38,5,"c(-99.9, 17.4)",TRUE
130212,GBIF_54907,Nemaconia striata,17.89333,-88.32166,1258287930,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,Lindl.,"Mile 39.5, Northern Highway, 1 mile N of Maskall [Original District on the label: Orange Walk]",NA,BZ,NA,1,1974,PRESERVED_SPECIMEN,MO,Tropicos,1079024,12182,John D. Dwyer;Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373474,Nemaconia striata,Nemaconia,striata,"(Lindl.) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088573-1,373474,38,6,"c(-88.32166, 17.89333)",TRUE
136799,GBIF_62290,Nemaconia longipetala,16.7569,-93.1292,1655987462,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,Correll,NA,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,30877,4413,See comments,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373466,Nemaconia longipetala,Nemaconia,longipetala,"(Correll) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088575-1,373466,38,5,"c(-93.1292, 16.7569)",TRUE
138838,GBIF_64399,Nemaconia glomerata,15.0195,-92.2226,1655987473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,Correll,"La Victoria, El Cacao, Santa Catarina.",NA,MX,675,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,30878,4412,See comments,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373473,Nemaconia glomerata,Nemaconia,glomerata,"(Correll) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088574-1,373473,38,5,"c(-92.2226, 15.0195)",TRUE
139987,GBIF_65666,Nemaconia striata,14.5258,-88.025,4399481068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,"(Lindl.) Van den Berg, Salazar & Soto Arenas, 2007",Lake Yojoa,NA,HN,0,4,1951,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Williams, L.O.; Molina, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373474,Nemaconia striata,Nemaconia,striata,"(Lindl.) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088573-1,373474,6,44,"c(-88.025, 14.5258)",TRUE
140049,GBIF_65747,Nemaconia striata,13.797141,-89.545627,4399481218,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,"(Lindl.) Van den Berg, Salazar & Soto Arenas, 2007",Pedregal de San Isidro,NA,SV,0,2,1976,PRESERVED_SPECIMEN,MUHNES,MHES,NO DISPONIBLE,without-number,V. Hellebuyck,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373474,Nemaconia striata,Nemaconia,striata,"(Lindl.) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088573-1,373474,6,44,"c(-89.545627, 13.797141)",TRUE
140092,GBIF_65797,Nemaconia striata,13.4416,-89.1649,4399481315,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,"(Lindl.) Van den Berg, Salazar & Soto Arenas, 2007",Boqueron-Volcan San Salvador,NA,SV,0,2,1978,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Hamer, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373474,Nemaconia striata,Nemaconia,striata,"(Lindl.) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088573-1,373474,6,44,"c(-89.1649, 13.4416)",TRUE
140864,GBIF_66605,Nemaconia glomerata,16.15,-91.87,1096648416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,Correll,"Chiapas, E of Comitán. On old oak trees above Sta Maria de los Arcos, in forest. Alt. 1500 m. Long. ca. 91°52' Lat. ca. 16°09'",NA,MX,1500,4,1936,PRESERVED_SPECIMEN,S,VascularPlants,S07-4747,5654,Otto Nagel (Erik M. Östlund),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373473,Nemaconia glomerata,Nemaconia,glomerata,"(Correll) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088574-1,373473,38,5,"c(-91.87, 16.15)",TRUE
141930,GBIF_67720,Nemaconia glomerata,15.346667,-92.290833,1895524925,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,"Correll, 1941","A 13 Km al WWS de Motozintla, camino al Porvenir",NA,MX,975,2,1988,PRESERVED_SPECIMEN,CNS-UT,TEX,00111567,without-number,E. M. Martínez S.; M. Sousa P.; A. Reyes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373473,Nemaconia glomerata,Nemaconia,glomerata,"(Correll) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088574-1,373473,36,7,"c(-92.290833, 15.346667)",TRUE
144154,GBIF_70033,Nemaconia striata,15.966667,-96.466667,3307575336,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nemaconia,SPECIES,"(Lindl.) Van den Berg, Salazar & Soto Arenas","Along Rio Jalatengo, near bridge on Hwy 175 (Oaxaca-Porto Angel",NA,MX,NA,10,1983,PRESERVED_SPECIMEN,MICH,Angiosperms,1654343,83353,M. W. Chase,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,373474,Nemaconia striata,Nemaconia,striata,"(Lindl.) Van den Berg, Salazar & Soto Arenas",Species,Accepted,NA,77088573-1,373474,0,44,"c(-96.466667, 15.966667)",TRUE
