V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104392,GBIF_617,Nephelaphyllum pulchrum,-0.54,114.2787,1057212352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,NA,NA,ID,NA,NA,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000090291,s.n.,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135114,Nephelaphyllum pulchrum,Nephelaphyllum,pulchrum,Blume,Species,Accepted,NA,645430-1,135114,0,5,"c(114.2787, -0.54)",TRUE
106665,GBIF_9871,Nephelaphyllum pulchrum,0.56667,116.03333,2513815469,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,"West Kutei, near Tabang on Belajan River.",NA,ID,NA,9,1956,PRESERVED_SPECIMEN,NA,Botany,L.1517232,"Kostermans, AJGH 12871",Kostermans AJGH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135114,Nephelaphyllum pulchrum,Nephelaphyllum,pulchrum,Blume,Species,Accepted,NA,645430-1,135114,0,5,"c(116.03333, 0.56667)",TRUE
107667,GBIF_10906,Nephelaphyllum pulchrum,6.08333,116.55,2513815895,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,"Southern slope of Mt. Kinabalu, eastern route, Penosok Plateau, at camp site of the Royal Society Base Camp. on the small plateau between the two attributaries of the Sungai (River) Mesilau.",NA,MY,NA,7,1963,PRESERVED_SPECIMEN,NA,Botany,L.1517229,"Fuchs, HP; Sleumer, HO; Meijer, W 21124",Fuchs HP; Sleumer HO; Meijer W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135114,Nephelaphyllum pulchrum,Nephelaphyllum,pulchrum,Blume,Species,Accepted,NA,645430-1,135114,0,5,"c(116.55, 6.08333)",TRUE
122779,GBIF_44085,Nephelaphyllum pulchrum,-3.1167,101.95,2513814179,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,"Atjeh, G. Sago [..]? ter Poetih waterval naar [...]?",NA,ID,NA,2,1934,PRESERVED_SPECIMEN,NA,Botany,L.1517215,"Steenis, CGGJ van 8895",Steenis CGGJ van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135114,Nephelaphyllum pulchrum,Nephelaphyllum,pulchrum,Blume,Species,Accepted,NA,645430-1,135114,0,5,"c(101.95, -3.1167)",TRUE
122780,GBIF_44086,Nephelaphyllum trapoides,1.83333,109.71667,2513816925,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,J.J.Sm.,NA,NA,MY,NA,9,1955,PRESERVED_SPECIMEN,NA,Botany,L.1517255,"Purseglove, JW; Shah, M 4758",Purseglove JW; Shah M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135121,Nephelaphyllum trapoides,Nephelaphyllum,trapoides,J.J.Sm.,Species,Accepted,NA,645434-1,135121,0,7,"c(109.71667, 1.83333)",TRUE
122781,GBIF_44087,Nephelaphyllum trapoides,1.23333,111.15,2513814471,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,J.J.Sm.,NA,NA,MY,NA,11,1981,PRESERVED_SPECIMEN,NA,Botany,L.1517257,"Hansen, C 1074",Hansen C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135121,Nephelaphyllum trapoides,Nephelaphyllum,trapoides,J.J.Sm.,Species,Accepted,NA,645434-1,135121,0,7,"c(111.15, 1.23333)",TRUE
123929,GBIF_45327,Nephelaphyllum tenuiflorum,-6.30972,107.52167,2513298940,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,"West Java, road Palabuhan Ratu to Lengkong, c. 10 km before Kiara.",NA,ID,NA,9,1985,PRESERVED_SPECIMEN,NA,Botany,L  0772142,"Vogel, EF de 7758",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135120,Nephelaphyllum tenuiflorum,Nephelaphyllum,tenuiflorum,Blume,Species,Accepted,NA,645433-1,135120,0,5,"c(107.52167, -6.30972)",TRUE
125608,GBIF_47141,Nephelaphyllum tenuiflorum,18.252013,109.504134,1303967521,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,NA,舂臼岺,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,010e444e-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135120,Nephelaphyllum tenuiflorum,Nephelaphyllum,tenuiflorum,Blume,Species,Accepted,NA,645433-1,135120,5,-1,"c(109.504134, 18.252013)",TRUE
125929,GBIF_47635,Nephelaphyllum pulchrum,18.626309,109.700342,1303967299,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,NA,兴隆双溪乸,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,IBSC,NA,010fa263-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135114,Nephelaphyllum pulchrum,Nephelaphyllum,pulchrum,Blume,Species,Accepted,NA,645430-1,135114,5,-1,"c(109.700342, 18.626309)",TRUE
126875,GBIF_49642,Nephelaphyllum tenuiflorum,18.745108,109.17663,1303967890,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,NA,昌俄村昌俄嶺,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,010be7c1-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135120,Nephelaphyllum tenuiflorum,Nephelaphyllum,tenuiflorum,Blume,Species,Accepted,NA,645433-1,135120,5,-1,"c(109.17663, 18.745108)",TRUE
130912,GBIF_55630,Nephelaphyllum tenuiflorum,17.46416,106.37944,1260775336,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,"Phong Nha - Ke Bang National Park. Bo Trach Distr., Hung Trach Municipality, Khe Me locality. Slightly logged primary closed broad-leaved evergreen forest on slopes of mountains composed with shale and sandstone.",NA,VN,950,1,2005,PRESERVED_SPECIMEN,MO,Tropicos,3365627,6233,L. V. Averyanov;P.K. Lôc;V.T. Pham;A. Averyanova;N.T. Vinh;N.Q. Vinh;N.T. Binh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135120,Nephelaphyllum tenuiflorum,Nephelaphyllum,tenuiflorum,Blume,Species,Accepted,NA,645433-1,135120,0,5,"c(106.37944, 17.46416)",TRUE
132622,GBIF_57667,Nephelaphyllum beccarii,1.83333,109.65,2513814675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Schltr.,South of Kampong Pueh. Northern end of Pueh Range.,NA,MY,NA,6,1956,PRESERVED_SPECIMEN,NA,Botany,L.1517209,"Bell, PR 2014",Bell PR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135098,Nephelaphyllum beccarii,Nephelaphyllum,beccarii,Schltr.,Species,Accepted,NA,645416-1,135098,0,7,"c(109.65, 1.83333)",TRUE
132623,GBIF_57668,Nephelaphyllum pulchrum,6.15,116.65,2513814741,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephelaphyllum,SPECIES,Blume,West Coast Zone. Area near park headquarters.,NA,MY,NA,7,1986,PRESERVED_SPECIMEN,NA,Botany,L.1517230,"Vermeulen, JJ; Lamb, AL 355",Vermeulen JJ; Lamb AL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135114,Nephelaphyllum pulchrum,Nephelaphyllum,pulchrum,Blume,Species,Accepted,NA,645430-1,135114,0,5,"c(116.65, 6.15)",TRUE
