V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
133077,GBIF_58182,Nephrangis filiformis,0.91667,13.08333,2515766915,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,(Kraenzl.) Summerh.,new road in primary forest at 35 km from Belinga on the road to Makokou.,NA,GA,NA,10,1985,PRESERVED_SPECIMEN,NA,Botany,WAG0137205,"Laan, FM van der 942",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135128,Nephrangis filiformis,Nephrangis,filiformis,(Kraenzl.) Summerh.,Species,Accepted,NA,645436-1,135128,0,19,"c(13.08333, 0.91667)",TRUE
175841,GBIF_119191,Nephrangis filiformis,-2.443583,29.104967,4061106051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,(Kraenzl.) Summerh.,Rwanda. Gisakura.,NA,RW,1910,1,2018,PRESERVED_SPECIMEN,NA,Tropicos,101051407,132,João Farminhão;Tariq Stévart;Eberhard Fischer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135128,Nephrangis filiformis,Nephrangis,filiformis,(Kraenzl.) Summerh.,Species,Accepted,NA,645436-1,135128,0,19,"c(29.104967, -2.443583)",TRUE
211969,GBIF_165085,Nephrangis filiformis,-2.383333,30.783333,1839456584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,NA,Rusumo; versant de la vallée de l' Akagera; immédiatement en aval des chutes,NA,RW,NA,10,1974,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000006604219,74/1608,Lambinon J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135128,Nephrangis filiformis,Nephrangis,filiformis,(Kraenzl.) Summerh.,Species,Accepted,NA,645436-1,135128,19,-1,"c(30.783333, -2.383333)",TRUE
256752,GBIF_222537,Nephrangis bertauxiana,2.456401,10.633037,4061123568,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,Szlach. & Olszewski,"Province du Sud, village de Ma'an, UFA 09-021 (Wijma)",NA,CM,555,8,2014,PRESERVED_SPECIMEN,NA,Tropicos,101110066,5353,Vincent Droissart;Murielle Simo;Tariq Stévart;Bonaventure Sonké;Narcisse Kamdem;Sandrine Mayogo;C. Guiakam,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135127,Nephrangis bertauxiana,Nephrangis,bertauxiana,Szlach. & Olszewski,Species,Accepted,NA,20000666-1,135127,0,19,"c(10.633037, 2.456401)",TRUE
256753,GBIF_222538,Nephrangis bertauxiana,3.457083,13.564528,4061681883,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,Szlach. & Olszewski,"Province de l'Est, environs du village de Mindourou I. UFA gérée par Pallisco",NA,CM,727,10,2014,PRESERVED_SPECIMEN,NA,Tropicos,101110071,5588,Vincent Droissart;Murielle Simo;Tariq Stévart;Bonaventure Sonké;Narcisse Kamdem;Sandrine Mayogo;C. Guiakam,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135127,Nephrangis bertauxiana,Nephrangis,bertauxiana,Szlach. & Olszewski,Species,Accepted,NA,20000666-1,135127,0,19,"c(13.564528, 3.457083)",TRUE
256763,GBIF_222549,Nephrangis bertauxiana,2.63994,14.14261,4061841058,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,Szlach. & Olszewski,"Ngoyla. Campement à 13km à l'E du village. Plot permanent 2 """"""""Ngoyla2""""""""",NA,CM,594,10,2010,PRESERVED_SPECIMEN,NA,Tropicos,101117186,2521,Murielle Simo;Tariq Stévart;Bonaventure Sonké;C. Guiakam;Vincent Droissart,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135127,Nephrangis bertauxiana,Nephrangis,bertauxiana,Szlach. & Olszewski,Species,Accepted,NA,20000666-1,135127,0,19,"c(14.14261, 2.63994)",TRUE
261337,GBIF_228059,Nephrangis filiformis,-3.2,29.55,1840885222,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,NA,Teza,NA,BI,NA,11,1991,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102000132355,275,Arbonnier M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135128,Nephrangis filiformis,Nephrangis,filiformis,(Kraenzl.) Summerh.,Species,Accepted,NA,645436-1,135128,19,-1,"c(29.55, -3.2)",TRUE
281992,GBIF_262127,Nephrangis bertauxiana,2.396111,10.797023,4061721087,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,Szlach. & Olszewski,"Province du Sud, village de Ma'an, UFA 09-022 (Wijma)",NA,CM,557,8,2013,PRESERVED_SPECIMEN,NA,Tropicos,101110051,4458,Vincent Droissart;Murielle Simo;Tariq Stévart;Bonaventure Sonké;Narcisse Kamdem;C. Guiakam,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135127,Nephrangis bertauxiana,Nephrangis,bertauxiana,Szlach. & Olszewski,Species,Accepted,NA,20000666-1,135127,0,19,"c(10.797023, 2.396111)",TRUE
350993,GBIF_372719,Nephrangis bertauxiana,2.396602,10.796457,4061112187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,Szlach. & Olszewski,"Province du Sud, village de Ma'an, UFA 09-022 (Wijma)",NA,CM,549,8,2013,PRESERVED_SPECIMEN,NA,Tropicos,101110052,4498,Vincent Droissart;Murielle Simo;Tariq Stévart;Bonaventure Sonké;Narcisse Kamdem;C. Guiakam,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135127,Nephrangis bertauxiana,Nephrangis,bertauxiana,Szlach. & Olszewski,Species,Accepted,NA,20000666-1,135127,0,19,"c(10.796457, 2.396602)",TRUE
351020,GBIF_372747,Nephrangis bertauxiana,1.13333,13.11667,4061112250,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nephrangis,SPECIES,Szlach. & Olszewski,Bélingua,NA,GA,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Tropicos,101115354,2847,Nicolas Hallé,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135127,Nephrangis bertauxiana,Nephrangis,bertauxiana,Szlach. & Olszewski,Species,Accepted,NA,20000666-1,135127,0,19,"c(13.11667, 1.13333)",TRUE
