V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
6758,ALA_8099,Nervilia holochila,-12.7,130.983333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,Berry Springs: approx. 60km S of Darwin.,Australia,AU,NA,1,1978,PRESERVED_SPECIMEN,CANB,CANB,CBG 7800599.1,1044,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135297,Nervilia holochila,Nervilia,holochila,(F.Muell.) Schltr.,Species,Accepted,NA,645487-1,135297,0,18,"c(130.983333, -12.7)",TRUE
10108,ALA_12630,Nervilia holochila,-12.516667,131.116667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,"Girraween Rd, Howard R[iver] Xing [Crossing].",Australia,AU,NA,1,1994,PRESERVED_SPECIMEN,CANB,CANB,CANB 1001524.1,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135297,Nervilia holochila,Nervilia,holochila,(F.Muell.) Schltr.,Species,Accepted,NA,645487-1,135297,0,18,"c(131.116667, -12.516667)",TRUE
11303,ALA_14330,Nervilia holochila,-12.383333,131.05,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,"Humpty Doo, Howard River Swamp (source of Howard River).",Australia,AU,NA,12,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8805651.1,MAC4711,"Morris, I.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135297,Nervilia holochila,Nervilia,holochila,(F.Muell.) Schltr.,Species,Accepted,NA,645487-1,135297,0,18,"c(131.05, -12.383333)",TRUE
12364,ALA_15764,Nervilia holochila,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,1,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 669942.2,ORG2072,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135297,Nervilia holochila,Nervilia,holochila,(F.Muell.) Schltr.,Species,Accepted,NA,645487-1,135297,0,18,"c(145.2, -15.8)",TRUE
15015,ALA_19561,Nervilia peltata,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,B.Gray & D.L.Jones,NA,Australia,AU,NA,1,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 680390.2,ORG2056,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135329,Nervilia peltata,Nervilia,peltata,B.Gray & D.L.Jones,Species,Accepted,NA,979666-1,135329,0,18,"c(145.2, -15.8)",TRUE
15749,ALA_20677,Nervilia uniflora,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,1,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 669938.1,ORG2051,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135359,Nervilia uniflora,Nervilia,uniflora,(F.Muell.) Schltr.,Species,Accepted,NA,645545-1,135359,0,18,"c(145.2, -15.8)",TRUE
17616,ALA_23617,Nervilia peltata,-15.8,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,B.Gray & D.L.Jones,NA,Australia,AU,NA,12,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9603710.1,DLJ12804,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135329,Nervilia peltata,Nervilia,peltata,B.Gray & D.L.Jones,Species,Accepted,NA,979666-1,135329,0,18,"c(145.3, -15.8)",TRUE
17968,ALA_24166,Nervilia holochila,-15.8,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,12,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9603711.2,DLJ12805,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135297,Nervilia holochila,Nervilia,holochila,(F.Muell.) Schltr.,Species,Accepted,NA,645487-1,135297,0,18,"c(145.3, -15.8)",TRUE
19221,ALA_26243,Nervilia holochila,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,12,1992,PRESERVED_SPECIMEN,CANB,CANB,CANB 669394.2,s.n.,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135297,Nervilia holochila,Nervilia,holochila,(F.Muell.) Schltr.,Species,Accepted,NA,645487-1,135297,0,18,"c(145.2, -15.8)",TRUE
20275,ALA_27963,Nervilia uniflora,-15.8,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Nervilia,species,(F.Muell.) Schltr.,NA,Australia,AU,NA,12,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9603708.2,DLJ12802,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135359,Nervilia uniflora,Nervilia,uniflora,(F.Muell.) Schltr.,Species,Accepted,NA,645545-1,135359,0,18,"c(145.3, -15.8)",TRUE
