V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103991,GBIF_205,Neuwiedia veratrifolia,-0.54,114.2787,1057242006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Blume,NA,NA,ID,NA,11,1915,PRESERVED_SPECIMEN,NHMUK,BOT,BM000009589,101,Joseph Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135442,Neuwiedia veratrifolia,Neuwiedia,veratrifolia,Blume,Species,Accepted,NA,645567-1,135442,0,5,"c(114.2787, -0.54)",TRUE
107771,GBIF_11015,Neuwiedia veratrifolia,1.41667,110.15,2513831131,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Blume,"Bau limestone hills, G. Jebong, Kuching.",NA,MY,NA,10,1977,PRESERVED_SPECIMEN,NA,Botany,L.1534332,"Martin, PJ S 38673",Martin PJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135442,Neuwiedia veratrifolia,Neuwiedia,veratrifolia,Blume,Species,Accepted,NA,645567-1,135442,0,5,"c(110.15, 1.41667)",TRUE
123029,GBIF_44349,Neuwiedia veratrifolia,0.83333,109.13333,2515803241,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Blume,"West Borneo, Gunung Kuching, Sei Njarumkop.",NA,ID,NA,NA,1965,PRESERVED_SPECIMEN,NA,Botany,WAG.1138237,"Elsener, A H 85",Elsener A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135442,Neuwiedia veratrifolia,Neuwiedia,veratrifolia,Blume,Species,Accepted,NA,645567-1,135442,0,5,"c(109.13333, 0.83333)",TRUE
123507,GBIF_44869,Neuwiedia veratrifolia,-3.96667,103.8,2513829227,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Blume,Seleman Enim,NA,ID,NA,3,1972,PRESERVED_SPECIMEN,NA,Botany,L.1534353,"Vogel, EF de 1280",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135442,Neuwiedia veratrifolia,Neuwiedia,veratrifolia,Blume,Species,Accepted,NA,645567-1,135442,0,5,"c(103.8, -3.96667)",TRUE
123913,GBIF_45306,Neuwiedia zollingeri,6.16667,116.51667,2516651678,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,VARIETY,(J.J.Sm.) Vogel,Plants of Borneo. Malaysia. Sabah. Kota Belud District: E of Melangkap Kappa on NW side of Mt. Kinabalu.,NA,MY,NA,3,1984,PRESERVED_SPECIMEN,NA,Botany,L.3717923,"Beaman, JH; Beaman, RS; Decker, P; Medley, K 8782",Beaman JH; Beaman RS; Decker P; Medley K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135443,Neuwiedia zollingeri,Neuwiedia,zollingeri,Rchb.f.,Species,Accepted,NA,645568-1,135443,13,1,"c(116.51667, 6.16667)",TRUE
127216,GBIF_50708,Neuwiedia zollingeri,18.626309,109.700342,1303970926,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,NA,兴隆钢铁嶺,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,IBSC,NA,00f830c5-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135443,Neuwiedia zollingeri,Neuwiedia,zollingeri,Rchb.f.,Species,Accepted,NA,645568-1,135443,7,-1,"c(109.700342, 18.626309)",TRUE
130913,GBIF_55631,Neuwiedia zollingeri,17.45666,106.38722,1260775441,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Baill. ex Gagnep.,"Phong Nha - Ke Bang National Park. Bo Trach Distr., Hung Trach Municipality, Khe Ba Tanh locality. Slightly logged primary closed broad-leaved evergreen forest on slopes of mountains composed with shale, sandstone and occasionally granite.",NA,VN,650,1,2005,PRESERVED_SPECIMEN,MO,Tropicos,3365654,6254,L. V. Averyanov;P.K. Lôc;V.T. Pham;A. Averyanova;N.T. Vinh;N.Q. Vinh;N.T. Binh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135443,Neuwiedia zollingeri,Neuwiedia,zollingeri,Rchb.f.,Species,Accepted,NA,645568-1,135443,15,1,"c(106.38722, 17.45666)",TRUE
131221,GBIF_55948,Neuwiedia veratrifolia,-8.87644,147.73779,1057033703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Blume,Kokoda,NA,PG,NA,4,1936,PRESERVED_SPECIMEN,NHMUK,BOT,BM000009587,10663,Cedric Errol Carr,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135442,Neuwiedia veratrifolia,Neuwiedia,veratrifolia,Blume,Species,Accepted,NA,645567-1,135442,0,5,"c(147.73779, -8.87644)",TRUE
132717,GBIF_57772,Neuwiedia zollingeri,-7.7086,108.1964,2513830699,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,VARIETY,(J.J.Sm.) Vogel,Archipel Ind. Java Res. Preanger Reg. Tjampaka bij Tjibeber,NA,ID,NA,6,1923,PRESERVED_SPECIMEN,NA,Botany,L.1534310,"Smith, JJ 852",Smith JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135443,Neuwiedia zollingeri,Neuwiedia,zollingeri,Rchb.f.,Species,Accepted,NA,645568-1,135443,13,1,"c(108.1964, -7.7086)",TRUE
132718,GBIF_57773,Neuwiedia veratrifolia,-4.45,104.45,2513832086,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neuwiedia,SPECIES,Blume,"Plants of Indonesia, Barisan Range, S. Sumatra, c. 20 km SE of Martapura, karengas-like old secondary forest, much disturbed.",NA,ID,NA,3,1972,PRESERVED_SPECIMEN,NA,Botany,L.1534352,"Vogel, EF de; Seedling project Rijksherbarium Leiden - Herbarium Bogoriense 1346",Vogel EF de; Seedling project Rijksherbarium Leiden - Herbarium Bogoriense,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135442,Neuwiedia veratrifolia,Neuwiedia,veratrifolia,Blume,Species,Accepted,NA,645567-1,135442,0,5,"c(104.45, -4.45)",TRUE
