V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104523,GBIF_766,Nidema boothii,19.336861,-97.025833,1897491001,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,"(Lindl.) Schltr., 1922",Cosautlán,NA,MX,601,4,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,6,16,"c(-97.025833, 19.336861)",TRUE
128896,GBIF_53558,Nidema boothii,12.3625,-85.392778,4031739410,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"Comarca El Tesorero, 5.8 km E of Río Quilile on road from Camoapa to Cuapa, 2.9 km E of Finca Las Delicias; moist forest along stream",NA,NI,535,11,2011,PRESERVED_SPECIMEN,MO,Tropicos,102742292,32277,W. D. Stevens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-85.392778, 12.3625)",TRUE
129001,GBIF_53664,Nidema boothii,13.75,-86.1,1261356812,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"El Jícaro, Casas Viejas",NA,NI,625,2,1981,PRESERVED_SPECIMEN,MO,Tropicos,640562,6952,P. P. Moreno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-86.1, 13.75)",TRUE
129092,GBIF_53757,Nidema boothii,13.68333,-84.93333,1261362746,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"Municipio de Siuna, carretera Matagalpa- Siuna, Loma La Gloria",NA,NI,150,1,1983,PRESERVED_SPECIMEN,MO,Tropicos,647015,677,F. Ortiz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-84.93333, 13.68333)",TRUE
129189,GBIF_53855,Nidema boothii,10.45,-84.06,1261369450,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"Chilamate de Sarapiquí; south end of Cerros Sardinal; north side of Río Sarapiquí. 10º27.5'N, 84º4'W",NA,CR,95,7,1985,PRESERVED_SPECIMEN,MO,Tropicos,654116,14110,Barry E. Hammel;Michael H. Grayum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-84.06, 10.45)",TRUE
129258,GBIF_53924,Nidema boothii,15.481667,-89.4,1261377287,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"Lago de Izabal, Ensenada Los Lagartos.",NA,GT,1,9,1988,PRESERVED_SPECIMEN,MO,Tropicos,662162,25324,W. D. Stevens;Esteban M. Martínez S.;Herbert Droege;Ava Nury Díaz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-89.4, 15.481667)",TRUE
130167,GBIF_54862,Nidema boothii,13.15,-84.91666,1261385194,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"Kurinwasito, Caño Kurinwasito",NA,NI,100,3,1984,PRESERVED_SPECIMEN,MO,Tropicos,670001,23866,P. P. Moreno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-84.91666, 13.15)",TRUE
130286,GBIF_54983,Nidema boothii,16.935833,-89.886111,1258421433,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,"Santa Elena, en sabana San Miguel Tayazal, aprox. 300-750 m de la orilla de la laguna [Petén Itzá]. En sabana con árboles y arbustos",NA,GT,NA,10,1971,PRESERVED_SPECIMEN,MO,Tropicos,1213493,1989,Rolando Tún Ortíz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-89.886111, 16.935833)",TRUE
131022,GBIF_55742,Nidema ottonis,10.15,-65.8,1260188788,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Rchb. f.) Britton & Millsp.,"Cerros del Bachiller, near east end: virgin semi-deciduous forest, low rolling topography, between Quebradas Corozal and Santa Cruz, south of Santa Cruz, 10 kms. (by air) west of Cúpira.",NA,VE,19,3,1978,PRESERVED_SPECIMEN,MO,Tropicos,2834411,116437,Julian A. Steyermark;Gerrit Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135473,Nidema ottonis,Nidema,ottonis,(Rchb.f.) Britton & Millsp.,Species,Accepted,NA,169878-2,135473,1,21,"c(-65.8, 10.15)",TRUE
136422,GBIF_61910,Nidema boothii,18.0683,-95.0371,1585944800,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nidema,SPECIES,(Lindl.) Schltr.,Near Jalapa.,NA,MX,NA,4,1899,PRESERVED_SPECIMEN,USF,Herb,51100,7816,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,135470,Nidema boothii,Nidema,boothii,(Lindl.) Schltr.,Species,Accepted,NA,169875-2,135470,0,16,"c(-95.0371, 18.0683)",TRUE
