V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104543,GBIF_827,Notylia barkeri,19.420111,-96.81425,1897491021,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,"Lindl., 1838","Camino a Monte Oscuro, cerca de Chavarrillo",NA,MX,427.5,9,2010,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Manuel Adrián Cuellar Martínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135970,Notylia barkeri,Notylia,barkeri,Lindl.,Species,Accepted,NA,323059-2,135970,6,6,"c(-96.81425, 19.420111)",TRUE
111281,GBIF_15291,Notylia lyrata,-27.7175,-48.5275,4526422719,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,Angiospermas,Parque Municipal Lagoa do Peri.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,NA,FURB,FURB35702,2015,"Stival-Santos, A.;Silveira, S.,Legal, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,136013,Notylia lyrata,Notylia,lyrata,S.Moore,Species,Accepted,NA,170937-2,136013,10,1,"c(-48.5275, -27.7175)",TRUE
113429,GBIF_17594,Notylia barkeri,19.636944,-104.395,1893971758,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,"Lindl., 1838","3-4 km al NE de Casimiro Castillo, 3-4 km al E de El Zapotillo",NA,MX,225,3,1990,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8835,without-number,Luis Guzmán Hernández; Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135970,Notylia barkeri,Notylia,barkeri,Lindl.,Species,Accepted,NA,323059-2,135970,6,6,"c(-104.395, 19.636944)",TRUE
113545,GBIF_17723,Notylia barkeri,19.587778,-104.413333,1893971676,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,"Lindl., 1838","Cerro La Petaca, 2 km al SE de Casimiro Castillo",NA,MX,400,5,1992,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,12020,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135970,Notylia barkeri,Notylia,barkeri,Lindl.,Species,Accepted,NA,323059-2,135970,6,6,"c(-104.413333, 19.587778)",TRUE
124330,GBIF_45748,Notylia barkeri,1.486694,-61.01,1042684224,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,NA,"Parque Nacional do Viruá, Caminhamos pela grade do PPBIO, desde N2-L1 até N6-L1. Foram feitas coletas do material fertil nas diferentes unidades geoambientais.",NA,BR,28.5,9,2010,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",236283,371,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135970,Notylia barkeri,Notylia,barkeri,Lindl.,Species,Accepted,NA,323059-2,135970,6,-1,"c(-61.01, 1.486694)",TRUE
124894,GBIF_46336,Notylia yauaperyensis,3.583333,-61.83,1042709021,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,NA,"Ilha de Maracá, SEMA Estação., Estrada from base camp to Santa Rosa. First picada on right. 1 km along picada in forest regeneration plot number 4.",NA,BR,0,3,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",256132,1525,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,136068,Notylia yauaperyensis,Notylia,yauaperyensis,Barb.Rodr.,Species,Accepted,NA,170965-2,136068,10,-1,"c(-61.83, 3.583333)",TRUE
125135,GBIF_46591,Notylia durandiana,-2.883333,-59.97,1042654263,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Alojamento.",NA,BR,0,1,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195235,717,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135988,Notylia durandiana,Notylia,durandiana,Cogn.,Species,Accepted,NA,170922-2,135988,5,-1,"c(-59.97, -2.883333)",TRUE
127533,GBIF_51729,Notylia microchila,3.62348,-53.20925,4565160416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,1,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,136016,Notylia microchila,Notylia,microchila,Cogn.,Species,Accepted,NA,170939-2,136016,5,-1,"c(-53.20925, 3.62348)",TRUE
127593,GBIF_51816,Notylia fragrans,3.62348,-53.20925,4565160510,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,135991,Notylia fragrans,Notylia,fragrans,Wullschl. ex H.Focke,Species,Accepted,NA,645637-1,135991,20,-1,"c(-53.20925, 3.62348)",TRUE
127605,GBIF_51835,Notylia microchila,3.62348,-53.20925,4565160530,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Notylia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,1,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,136016,Notylia microchila,Notylia,microchila,Cogn.,Species,Accepted,NA,170939-2,136016,5,-1,"c(-53.20925, 3.62348)",TRUE
