V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
4727,ALA_5584,Oberonia titania,-13.833333,143.283333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lindl.,"CULTIVATED: ex Cape York Peninsula, McIlwraith Range.",Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912846.1,4045,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136626,Oberonia titania,Oberonia,titania,Lindl.,Species,Accepted,NA,646062-1,136626,0,6,"c(143.283333, -13.833333)",TRUE
5201,ALA_6159,Oberonia titania,-21.2,165.533333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lindl.,Along E coast road between Ba and Monen.,New Caledonia,NC,NA,8,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9213339.1,7903,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136626,Oberonia titania,Oberonia,titania,Lindl.,Species,Accepted,NA,646062-1,136626,0,6,"c(165.533333, -21.2)",TRUE
5527,ALA_6552,Oberonia titania,-20.25,148.55,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lindl.,Mt Dryander N of Proserpine.,Australia,AU,NA,7,1974,PRESERVED_SPECIMEN,CANB,CANB,CANB 586375.1,1546,"Moriarty, V.K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136626,Oberonia titania,Oberonia,titania,Lindl.,Species,Accepted,NA,646062-1,136626,0,6,"c(148.55, -20.25)",TRUE
5762,ALA_6841,Oberonia carnosa,-12.6,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lavarack,NA,Australia,AU,NA,3,1995,PRESERVED_SPECIMEN,CANB,CANB,CANB 678643.1,DLJ13855,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136302,Oberonia carnosa,Oberonia,carnosa,Lavarack,Species,Accepted,NA,645760-1,136302,0,8,"c(143.3, -12.6)",TRUE
6342,ALA_7573,Oberonia complanata,-17.5,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,(A.Cunn.) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913126.4,4322,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136315,Oberonia complanata,Oberonia,complanata,(A.Cunn.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,947571-1,136315,0,31,"c(145.6, -17.5)",TRUE
8066,ALA_9830,Oberonia carnosa,-13.7,143.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lavarack,NA,Australia,AU,NA,7,1978,PRESERVED_SPECIMEN,CANB,CANB,CBG 7806443.1,525,"Butler, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136302,Oberonia carnosa,Oberonia,carnosa,Lavarack,Species,Accepted,NA,645760-1,136302,0,8,"c(143.5, -13.7)",TRUE
8071,ALA_9835,Oberonia attenuata,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Dockrill,NA,Australia,AU,NA,6,1960,PRESERVED_SPECIMEN,CANB,CANB,CANB 827538.1,s.n.,"Dockrill, A.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136264,Oberonia attenuata,Oberonia,attenuata,Dockrill,Species,Accepted,NA,104074-3,136264,0,8,"c(145.3, -16.5)",TRUE
9656,ALA_12007,Oberonia complanata,-24.9,151.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,(A.Cunn.) M.A.Clem. & D.L.Jones,NA,Australia,AU,NA,8,1995,PRESERVED_SPECIMEN,CANB,CANB,CBG 9608131.1,1263,"Crane, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136315,Oberonia complanata,Oberonia,complanata,(A.Cunn.) M.A.Clem. & D.L.Jones,Species,Accepted,NA,947571-1,136315,0,31,"c(151.6, -24.9)",TRUE
10462,ALA_13175,Oberonia titania,-28.066667,153.266667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lindl.,"Numinbah Valley, near Advancetown.",Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912800.2,3999,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136626,Oberonia titania,Oberonia,titania,Lindl.,Species,Accepted,NA,646062-1,136626,0,6,"c(153.266667, -28.066667)",TRUE
12666,ALA_16191,Oberonia titania,-17.333333,145.75,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Oberonia,species,Lindl.,"State Forest R310, SE of Yungaburra, via Lamin's Hill.",Australia,AU,NA,6,1972,PRESERVED_SPECIMEN,CANB,CANB,CBG 43140.1,NQ658,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,136626,Oberonia titania,Oberonia,titania,Lindl.,Species,Accepted,NA,646062-1,136626,0,6,"c(145.75, -17.333333)",TRUE
