V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
172778,GBIF_115975,Odontorrhynchus castillonii,-17.578333,-65.7225,4061637654,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,(Hauman) L.O. Williams,Cerro de Arani,NA,BO,2600,NA,without-year,PRESERVED_SPECIMEN,NA,Tropicos,3585207,2482,Martín Cárdenas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,10,9,"c(-65.7225, -17.578333)",TRUE
357278,GBIF_381737,Odontorrhynchus alticola,-13.7928,-70.4745,4143214172,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,Garay,"Peru, Dept. Puno, Prov. Cararabaya",NA,PE,NA,12,1944,PRESERVED_SPECIMEN,NA,NA,UGDA.0009895,6956,Vargas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,137971,Odontorrhynchus alticola,Odontorrhynchus,alticola,Garay,Species,Accepted,NA,172532-2,137971,0,5,"c(-70.4745, -13.7928)",TRUE
472310,GBIF_550878,Odontorrhynchus castillonii,-28.02,-65.91,417000203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"en las afuera de El Rodeo, rumbo a Las Juntas",NA,AR,NA,NA,without-year,PRESERVED_SPECIMEN,CORD,HERB,24569,without-number,"Hunziker, A. T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-65.91, -28.02)",TRUE
607871,GBIF_761292,Odontorrhynchus castillonii,-31.649722,-64.257778,2247703422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,Observatorio Bosque Alegre,NA,AR,NA,1,1998,PRESERVED_SPECIMEN,CORD,NA,CORD 00000721,s.n.,"Singer, R. B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-64.257778, -31.649722)",TRUE
607875,GBIF_761296,Odontorrhynchus castillonii,-28.016667,-65.913889,2247703383,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"Sierra de Ambato (falda este): Subiendo desde El Rodeo hacia el Cerro Manchado, inmediaciones de El Morro.",NA,AR,NA,1,1973,PRESERVED_SPECIMEN,CORD,NA,CORD00015353,22207,"Hunziker, A. T.;Subils, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-65.913889, -28.016667)",TRUE
607878,GBIF_761299,Odontorrhynchus castillonii,-28.016667,-65.913889,2247702256,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"En las afuera de El Rodeo, rumbo a Las Juntas (Casa de G. Olmos)",NA,AR,NA,12,1971,PRESERVED_SPECIMEN,CORD,NA,CORD00015351,21728,"Hunziker, A. T.;Ariza Espinar, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-65.913889, -28.016667)",TRUE
607882,GBIF_761303,Odontorrhynchus castillonii,-31.4325,-65.427222,2247703451,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"Sierra Grande, falda oeste: Cuesta de Las Chacras",NA,AR,NA,1,1974,PRESERVED_SPECIMEN,CORD,NA,CORD00015350,22467,"Hunziker, A. T.;Subils, R., Di Fulvio, T. E. & Ferrucci, M. S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-65.427222, -31.4325)",TRUE
607889,GBIF_761310,Odontorrhynchus castillonii,-24.554444,-65.886389,2247705544,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,Quebrada del Toro,NA,AR,NA,1,2018,PRESERVED_SPECIMEN,CORD,NA,CORD00087561,6079,"Cocucci, A. A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-65.886389, -24.554444)",TRUE
607905,GBIF_761326,Odontorrhynchus castillonii,-28.016667,-65.913889,2247703418,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"Sierra de Ambato, falda este, subiendo desde El Rodeo hacia El Manchado, en las inmediaciones de Los Caserones",NA,AR,NA,1,1973,PRESERVED_SPECIMEN,CORD,NA,CORD00015352,22217,"Hunziker, A. T.;Subils, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-65.913889, -28.016667)",TRUE
607989,GBIF_761414,Odontorrhynchus castillonii,-31.140278,-64.174167,2247702187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"La Calera, cerca del arroyo Las Bateas",NA,AR,NA,1,2000,PRESERVED_SPECIMEN,CORD,NA,CORD00015354,281,"Chiarini, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-64.174167, -31.140278)",TRUE
607992,GBIF_761417,Odontorrhynchus castillonii,-31.198611,-64.583611,2247704825,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"Valle de Punilla, Capilla del Monte, cerca del Cerro Uritorco.",NA,AR,NA,11,1917,PRESERVED_SPECIMEN,CORD,NA,CORD00065637,1052,"Hosseus, C. C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-64.583611, -31.198611)",TRUE
607995,GBIF_761420,Odontorrhynchus castillonii,-31.198611,-64.583611,2247705389,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Odontorrhynchus,SPECIES,NA,"Valle de Punilla, Cumbre del Overo, Capilla del Monte.",NA,AR,NA,1,1917,PRESERVED_SPECIMEN,CORD,NA,CORD00065634,171,"Hosseus, C. C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,137972,Odontorrhynchus castillonii,Odontorrhynchus,castillonii,(Hauman) M.N.Correa,Species,Accepted,NA,172533-2,137972,18,1,"c(-64.583611, -31.198611)",TRUE
