V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110562,GBIF_14477,Oeonia curvata,-21.3,47.38333,437313327,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,Bosser,NA,NA,MG,1300,4,1993,PRESERVED_SPECIMEN,MNHN,P,P00241800,without-number,"Malcomber, S.T.;Hemingway, C.;Randriamantena, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138097,Oeonia curvata,Oeonia,curvata,Bosser,Species,Accepted,NA,1018267-1,138097,0,6,"c(47.38333, -21.3)",TRUE
122438,GBIF_43724,Oeonia curvata,-21.3,47.38333,2517395811,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,Bosser,"Parc National de Ranomafana, SE of Savondronona, Maharira.",NA,MG,NA,4,1993,PRESERVED_SPECIMEN,NA,Botany,WAG0350099,"Malcomber, ST; Hemingway, C; Randriamanantena, D 2429",Malcomber ST; Hemingway C; Randriamanantena D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138097,Oeonia curvata,Oeonia,curvata,Bosser,Species,Accepted,NA,1018267-1,138097,0,6,"c(47.38333, -21.3)",TRUE
128686,GBIF_53346,Oeonia rosea,-23.41722,46.45138,4031988363,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,Ridl.,"Fivondronana: Betroka, Firaisana: Ivahona, Fokontany: Voromiantsa. Forêt dense de Befarafara, Kalambatritra AP. Echantillon préservé en alcool. Réecolté avec M. Andrianjafy & Resaviny (guide).",NA,MG,1388,5,2005,PRESERVED_SPECIMEN,MO,Tropicos,102165239,1980,Richard Razakamalala;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138109,Oeonia rosea,Oeonia,rosea,Ridl.,Species,Accepted,NA,614966-1,138109,0,5,"c(46.45138, -23.41722)",TRUE
128712,GBIF_53372,Oeonia volucris,-18.85222,48.29555,4031583081,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,(Thouars) Spreng.,"Fokontany Ampitambe, Ambatovy, commune rurale Ambohibary, district Moramanga, 1 km 21 Ouest de Dynatec. Forêt dense humide de moyenne altitude avec cuirasse. Récolté7 avec P. Antilahimena et F. Edmond.",NA,MG,1108,2,2005,PRESERVED_SPECIMEN,MO,Tropicos,102199007,166,H. Razanatsoa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138111,Oeonia volucris,Oeonia,volucris,(Thouars) Spreng.,Species,Accepted,NA,646793-1,138111,0,17,"c(48.29555, -18.85222)",TRUE
128807,GBIF_53469,Oeonia volucris,-24.56166,47.20055,4032081192,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,(Thouars) Spreng.,"Toliara, Anosy, Taolagnaro, Iaboko, Antsotso Avaratra. Récoltés avec D. Rabehevitra, M. Maka, Roger & B. Mara.",NA,MG,662,12,2007,PRESERVED_SPECIMEN,MO,Tropicos,102458144,3974,Richard Razakamalala;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138111,Oeonia volucris,Oeonia,volucris,(Thouars) Spreng.,Species,Accepted,NA,646793-1,138111,0,17,"c(47.20055, -24.56166)",TRUE
129399,GBIF_54073,Oeonia rosea,-18.86,48.32,4031352384,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,Ridl.,"Ambatovy: Région Alaotra-Mangoro, Distict Moramanga.",NA,MG,1095.5,2,2013,PRESERVED_SPECIMEN,MO,Tropicos,102856106,212,Brigitte Ramandimbisoa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138109,Oeonia rosea,Oeonia,rosea,Ridl.,Species,Accepted,NA,614966-1,138109,0,5,"c(48.32, -18.86)",TRUE
129703,GBIF_54382,Oeonia brauniana,-19.164722,48.58,4120560317,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,VARIETY,(Schltr.) Bosser,"Atsinanana, Vatomandry, Ambalabe-Ambinanindrano II.",NA,MG,654,4,2023,PRESERVED_SPECIMEN,MO,Tropicos,103318409,632L1042,Ambalabe Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,138093,Oeonia brauniana,Oeonia,brauniana,H.Wendl. & Kraenzl.,Species,Accepted,NA,646783-1,138093,17,1,"c(48.58, -19.164722)",TRUE
132162,GBIF_57160,Oeonia rosea,-21.25,47.45,2517869538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,Ridl.,"Fianarantsoa, Parc National de Ranomafana, Parcelle # #, Talatakely.",NA,MG,NA,9,1993,PRESERVED_SPECIMEN,NA,Botany,WAG.1924462,"Kotozafy, A; Randriamanantena, D 277",Kotozafy A; Randriamanantena D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138109,Oeonia rosea,Oeonia,rosea,Ridl.,Species,Accepted,NA,614966-1,138109,0,5,"c(47.45, -21.25)",TRUE
134126,GBIF_59352,Oeonia volucris,-18.88333,49.11667,2517720035,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,(Thouars) Spreng.,between Ambila-Lemaitso and Andovoranto. East of canal.,NA,MG,NA,9,1987,PRESERVED_SPECIMEN,NA,Botany,WAG.1138348,"Phillipson, PB 1892",Phillipson PB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138111,Oeonia volucris,Oeonia,volucris,(Thouars) Spreng.,Species,Accepted,NA,646793-1,138111,0,17,"c(49.11667, -18.88333)",TRUE
150000,GBIF_81316,Oeonia curvata,-21.3333,47.4,1936237104,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeonia,SPECIES,Bosser,"Fianarantsoa. Parc National de Ranomafana, parcelle III, summit of Maharira",NA,MG,NA,3,1992,PRESERVED_SPECIMEN,MA,MA,MA-01-00826121,1370,S.T. Malcomber & Raphael Rakoto,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138097,Oeonia curvata,Oeonia,curvata,Bosser,Species,Accepted,NA,1018267-1,138097,0,6,"c(47.4, -21.3333)",TRUE
