V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129563,GBIF_54238,Oeoniella polystachys,-15.58333,50.41666,1258401039,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Forêt littorale. Parc National de Masoala, 1 km au Nord de la rivière Fampotakely.",NA,MG,NA,9,1994,PRESERVED_SPECIMEN,MO,Tropicos,1194872,419,Grâce M. Rahajasoa;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(50.41666, -15.58333)",TRUE
173250,GBIF_116466,Oeoniella polystachys,-23.516389,47.498611,2268835861,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Vangaindrano, Vohipaho, Besaraha, à 1,5 km au Nord Est de Vohipaho, AP Ankarabolava.",NA,MG,90,10,2016,PRESERVED_SPECIMEN,TAN,Tropicos,100936601,2389,F. Ratovoson;V. Razafindrahaja,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(47.498611, -23.516389)",TRUE
175093,GBIF_118414,Oeoniella polystachys,-14.20861,49.3775,1260330240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Andapa, Anjialavabe, Ankiakabe. Forest around Tsaralanto village. Specimen preserved in alcohol. Collected with Randriamandimby & Falison.",NA,MG,1028,3,2006,PRESERVED_SPECIMEN,P,Tropicos,2962790,4620,P. Antilahimena;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(49.3775, -14.20861)",TRUE
182344,GBIF_127676,Oeoniella polystachys,-24.95,47,1261896537,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,Mandena.,NA,MG,NA,10,1993,PRESERVED_SPECIMEN,MO,Tropicos,969548,27,C. Bourgeois,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(47, -24.95)",TRUE
183996,GBIF_129403,Oeoniella polystachys,-21.406389,47.941667,1258176096,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Région Vatovavy-Fitovinany, Distict Mananjary, Commune Kianjavato. Mont Vatovavy.",NA,MG,352,7,2015,PRESERVED_SPECIMEN,MO,Tropicos,100859186,94T120,Antananarivo Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(47.941667, -21.406389)",TRUE
184383,GBIF_129820,Oeoniella polystachys,-20.358333,48.613889,4031545127,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Fivondronana: Mahanoro, Firaisana: Ambodibonara, Fokontany: Ambalavontaka. Forêt littorale sur sable de Nankinana. Echantillon préservé en alcool. Récolté avec R. Razakamalala.",NA,MG,8,9,2004,PRESERVED_SPECIMEN,MO,Tropicos,102089783,878,R. Ranaivojaona;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(48.613889, -20.358333)",TRUE
184549,GBIF_129997,Oeoniella polystachys,-24.940278,47.045278,4032152873,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,Mandromodromotra. Inselberg: Ambalavato.,NA,MG,20,12,2010,PRESERVED_SPECIMEN,MO,Tropicos,102668807,236,A. Ramahefaharivelo;M. Rabarimanarivo;Brigitte Ramandimbisoa;N. Ravololomanana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(47.045278, -24.940278)",TRUE
185737,GBIF_131299,Oeoniella polystachys,-16.769722,49.701111,4031695492,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Soanierana Ivongo, Manompana. Le long de la rivière Antsohy.",NA,MG,8,9,2010,PRESERVED_SPECIMEN,MO,Tropicos,102643790,259,N. Manjato;L. Faranirina;Nivo Rakotonirina;J. Razanatsoa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(49.701111, -16.769722)",TRUE
186099,GBIF_131699,Oeoniella polystachys,-23.010833,47.735278,4170766340,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,"Region Atsimo-Atsinana, district Farafangana, commune Ankara, Reserve Speciale de Manombo, parcelle I, circuit Reharatra.",NA,MG,16,9,2006,PRESERVED_SPECIMEN,MO,Tropicos,103352657,79,M. Rabarimanarivo;Nivo Rakotonirina;Richard Razakamalala;J. Randrianasolo;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(47.735278, -23.010833)",TRUE
250444,GBIF_215057,Oeoniella polystachys,-23.01083,47.73528,439205723,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oeoniella,SPECIES,(Thouars) Schltr.,NA,NA,MG,16,9,2005,PRESERVED_SPECIMEN,MNHN,P,P00755083,without-number,"Rabarimanarivo, N. M.;Et, al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,138114,Oeoniella polystachys,Oeoniella,polystachys,(Thouars) Schltr.,Species,Accepted,NA,646797-1,138114,0,17,"c(47.73528, -23.01083)",TRUE
