V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104491,GBIF_719,Oncidium incurvum,19.490333,-97.030972,1897491099,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"Barker ex Lindl., 1840",La Cortadura,NA,MX,NA,9,2010,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Manuel Adrián Cuellar Martínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139531,Oncidium incurvum,Oncidium,incurvum,Barker ex Lindl.,Species,Accepted,NA,647201-1,139531,6,16,"c(-97.030972, 19.490333)",TRUE
104542,GBIF_825,Oncidium stenoglossum,19.525225,-97.007517000000007,1897490850,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"(Schltr.) Dressler & N.H. Williams, 1975",Rancho Viejo,NA,MX,907.5,3,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139956,Oncidium stenoglossum,Oncidium,stenoglossum,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,174314-2,139956,7,25,"c(-97.007517, 19.525225)",TRUE
110915,GBIF_14882,Oncidium amazonicum,4.6,-52.35556,438826220,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,Schltr.,Réserve Naturelle des Montagnes de la Trinité,NA,GF,500,7,2001,PRESERVED_SPECIMEN,MNHN,P,P00266070,without-number,"Poncy, O.;Crozier, F., Dutrève B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,458568,Oncidium amazonicum,Oncidium,amazonicum,(Schltr.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77101417-1,458568,27,6,"c(-52.35556, 4.6)",TRUE
113395,GBIF_17559,Oncidium reflexum,19.587778,-104.413333,1893962268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"Lindl., 1837","Base del Cerro La Petaca, 2-3 km al SE de Casimiro Castillo",NA,MX,300,3,1996,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,17071,without-number,Francisco Javier Santana Michel; Judith Cevallos Espinosa; José Martín Vázquez López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139863,Oncidium reflexum,Oncidium,reflexum,Lindl.,Species,Accepted,NA,647493-1,139863,6,6,"c(-104.413333, 19.587778)",TRUE
113401,GBIF_17565,Oncidium ghiesbreghtianum,19.558333,-104.241667,1893962978,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"(A. Rich. & Galeotti) Garay, 1974","1 km al SE del Cerro El Almeal, 23 km al SSE de Autlán",NA,MX,1025,1,1980,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,3783,without-number,Hugh Iltis; Luz María Villareal de Puga; Rafael Guzmán Mejía,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139440,Oncidium ghiesbreghtianum,Oncidium,ghiesbreghtianum,A.Rich. & Galeotti,Species,Accepted,NA,174040-2,139440,15,16,"c(-104.241667, 19.558333)",TRUE
113410,GBIF_17575,Oncidium ghiesbreghtianum,19.588611,-104.267222,1893963011,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"(A. Rich. & Galeotti) Garay, 1974","Estación Científica Las Joyas, 17-18 km al E de Casimiro Castillo",NA,MX,900,7,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,5714,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139440,Oncidium ghiesbreghtianum,Oncidium,ghiesbreghtianum,A.Rich. & Galeotti,Species,Accepted,NA,174040-2,139440,15,16,"c(-104.267222, 19.588611)",TRUE
113438,GBIF_17605,Oncidium tigrinum,19.461667,-103.963333,1893974470,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"Lex., 1825","3 km al NO de El Terrero, 12- 13 km al ENE de Minatitlán",NA,MX,1150,11,1993,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,14221,without-number,Francisco Javier Santana Michel; Bruce Benz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,139991,Oncidium tigrinum,Oncidium,tigrinum,Lex.,Species,Accepted,NA,647614-1,139991,6,4,"c(-103.963333, 19.461667)",TRUE
113444,GBIF_17611,Oncidium tigrinum,19.591667,-104.275,1893974444,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"Lex., 1825","El Tlacuache, Estación Científica Las Joyas",NA,MX,1010,11,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,247,without-number,José Antonio Vázquez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,139991,Oncidium tigrinum,Oncidium,tigrinum,Lex.,Species,Accepted,NA,647614-1,139991,6,4,"c(-104.275, 19.591667)",TRUE
113470,GBIF_17639,Oncidium graminifolium,19.548889,-104.245278,1893957988,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"(Lindl.) Lindl., 1841","2-3 km al SO de La Cumbre, 15-16 km al NE de Cuautitlán",NA,MX,875,2,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8049,without-number,Gerardo López Hernandez; Luis Guzmán Hernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139456,Oncidium graminifolium,Oncidium,graminifolium,(Lindl.) Lindl.,Species,Accepted,NA,647137-1,139456,6,15,"c(-104.245278, 19.548889)",TRUE
113476,GBIF_17645,Oncidium leleui,19.623889,-104.402778,1893968760,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"R. Jiménez & Soto Arenas, 1990","El Tecolote, 2-6 km al ENE de Casimiro Castillo",NA,MX,200,3,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8265,without-number,Gerardo López Hernandez; Luis Guzmán Hernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139587,Oncidium leleui,Oncidium,leleui,R.Jiménez & Soto Arenas,Species,Accepted,NA,281586-2,139587,7,21,"c(-104.402778, 19.623889)",TRUE
113510,GBIF_17685,Oncidium ghiesbreghtianum,19.591667,-104.275,1893962941,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"(A. Rich. & Galeotti) Garay, 1974","El Zarzamoro, Estación Científica Las Joyas",NA,MX,950,7,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1305,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139440,Oncidium ghiesbreghtianum,Oncidium,ghiesbreghtianum,A.Rich. & Galeotti,Species,Accepted,NA,174040-2,139440,15,16,"c(-104.275, 19.591667)",TRUE
113523,GBIF_17698,Oncidium leleui,19.491667,-104.325,1893968707,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"R. Jiménez & Soto Arenas, 1990","Camino a Cofradía, 1 km al N de Cuzalapa",NA,MX,375,4,1987,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1762,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139587,Oncidium leleui,Oncidium,leleui,R.Jiménez & Soto Arenas,Species,Accepted,NA,281586-2,139587,7,21,"c(-104.325, 19.491667)",TRUE
113540,GBIF_17717,Oncidium ghiesbreghtianum,19.591667,-104.275,1893962861,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"(A. Rich. & Galeotti) Garay, 1974",Estación Científica Las Joyas,NA,MX,0,8,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,12897,without-number,José Arturo Solís Magallanes; Martha Flores López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139440,Oncidium ghiesbreghtianum,Oncidium,ghiesbreghtianum,A.Rich. & Galeotti,Species,Accepted,NA,174040-2,139440,15,16,"c(-104.275, 19.591667)",TRUE
113550,GBIF_17728,Oncidium reflexum,19.587778,-104.413333,1893962416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"Lindl., 1837","Base del Cerro La Petaca, 2-3 km al SE de Casimiro Castillo",NA,MX,350,3,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16234,without-number,Francisco Javier Santana Michel; Elizabeth Muñoz Mendoza; Judith Cevallos Espinosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139863,Oncidium reflexum,Oncidium,reflexum,Lindl.,Species,Accepted,NA,647493-1,139863,6,6,"c(-104.413333, 19.587778)",TRUE
113556,GBIF_17735,Oncidium reflexum,19.699167,-104.198333,1893962367,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,SPECIES,"Lindl., 1837","2-3 km al S de El Chante, 19-20 km al ESE de Autlán",NA,MX,700,11,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8654,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,139863,Oncidium reflexum,Oncidium,reflexum,Lindl.,Species,Accepted,NA,647493-1,139863,6,6,"c(-104.198333, 19.699167)",TRUE
