V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103912,GBIF_88,Ophrys insectifera,51.46,-2.63,3348229958,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,NA,NA,NA,GB,NA,5,2011,PRESERVED_SPECIMEN,NA,NA,NMW6053,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,141277,Ophrys insectifera,Ophrys,insectifera,L.,Species,Accepted,NA,647942-1,141277,2,-1,"c(-2.63, 51.46)",TRUE
104166,GBIF_384,Ophrys holosericea,51.208542,0.91371,1135475747,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,(Crantz) Rchb.f.,VC15: East Kent,NA,GB,NA,7,1829,PRESERVED_SPECIMEN,NHMUK,BOT,BM000623445,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,141232,Ophrys holosericea,Ophrys,holosericea,(Burm.f.) Greuter,Species,Accepted,NA,647934-1,141232,13,2,"c(0.91371, 51.208542)",TRUE
104167,GBIF_385,Ophrys insectifera,51.626075,-0.491499,1135475801,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,L.,"Garett Wood, Springwell",NA,GB,NA,6,1900,PRESERVED_SPECIMEN,NHMUK,BOT,BM000893471,s.n.,John Benbow,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141277,Ophrys insectifera,Ophrys,insectifera,L.,Species,Accepted,NA,647942-1,141277,0,2,"c(-0.491499, 51.626075)",TRUE
104174,GBIF_392,Ophrys sphegodes,51.200001,1.3572,1055390716,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,Mill.,3.2km W of Walmer Castle,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM-BSBI 6081,1829,Elizabeth Harvey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141753,Ophrys sphegodes,Ophrys,sphegodes,Mill.,Species,Accepted,NA,648128-1,141753,0,5,"c(1.3572, 51.200001)",TRUE
104185,GBIF_403,Ophrys insectifera,54.068199,-2.2777,1135468563,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,L.,Nearest Named Place: Settle (Nr),NA,GB,NA,5,1882,PRESERVED_SPECIMEN,NHMUK,BOT,BM000954158,s.n.,R.F. Thompson & F.P. Thompson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141277,Ophrys insectifera,Ophrys,insectifera,L.,Species,Accepted,NA,647942-1,141277,0,2,"c(-2.2777, 54.068199)",TRUE
104190,GBIF_408,Ophrys insectifera,54.250161,-0.482732,1135468730,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,L.,East and West Ayton,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000954047,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141277,Ophrys insectifera,Ophrys,insectifera,L.,Species,Accepted,NA,647942-1,141277,0,2,"c(-0.482732, 54.250161)",TRUE
104195,GBIF_413,Ophrys insectifera,51.3359,0.0535,1135469090,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,L.,Greater London; Township: Downe,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000954111,s.n.,W A. Miller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141277,Ophrys insectifera,Ophrys,insectifera,L.,Species,Accepted,NA,647942-1,141277,0,2,"c(0.0535, 51.3359)",TRUE
104196,GBIF_414,Ophrys insectifera,51.240215,-0.205827,1135469238,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,L.,Township: Reigate,NA,GB,NA,6,1852,PRESERVED_SPECIMEN,NHMUK,BOT,BM000954106,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141277,Ophrys insectifera,Ophrys,insectifera,L.,Species,Accepted,NA,647942-1,141277,0,2,"c(-0.205827, 51.240215)",TRUE
104199,GBIF_417,Ophrys sphegodes,51.2048,1.3932,1135469365,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,Mill.,Township: Walmer,NA,GB,NA,NA,1846,PRESERVED_SPECIMEN,NHMUK,BOT,BM000955338,s.n.,James Taylor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,141753,Ophrys sphegodes,Ophrys,sphegodes,Mill.,Species,Accepted,NA,648128-1,141753,0,5,"c(1.3932, 51.2048)",TRUE
104273,GBIF_492,Ophrys apifera,52.099312,0.098668,1135473702,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,SPECIES,Huds.,Township: Thriplow,NA,GB,NA,7,1856,PRESERVED_SPECIMEN,NHMUK,BOT,BM001081106,s.n.,William Williamson Newbould,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,140745,Ophrys apifera,Ophrys,apifera,Huds.,Species,Accepted,NA,647746-1,140745,0,5,"c(0.098668, 52.099312)",TRUE
