V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103885,GBIF_54,Orchis purpurea,43.55,3.05,3348281067,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,NA,NA,NA,FR,NA,NA,2015,MATERIAL_SAMPLE,NA,NA,NA,without-number,S. Coq,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143136,Orchis purpurea,Orchis,purpurea,Huds.,Species,Accepted,NA,649036-1,143136,5,-1,"c(3.05, 43.55)",TRUE
103961,GBIF_153,Orchis mascula,53.0811,-8.8759,1057452157,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Township: Garryland,NA,IE,NA,5,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM001138811,s.n.,"S A. Chambers, W Fowler",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(-8.8759, 53.0811)",TRUE
104168,GBIF_386,Orchis mascula,51.262699,0.9719,1135475786,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Nearest Named Place: Lower Ensden (Nr),NA,GB,NA,4,1945,PRESERVED_SPECIMEN,NHMUK,BOT,BM000586819,s.n.,Douglas Henry Kent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(0.9719, 51.262699)",TRUE
104201,GBIF_419,Orchis anthropophora,51.293999,0.5696,1135469565,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) All.,Parish: Boxley; Township: Detling,NA,GB,NA,5,1854,PRESERVED_SPECIMEN,NHMUK,BOT,BM001057260,s.n.,Allan Osmond Black,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142231,Orchis anthropophora,Orchis,anthropophora,(L.) All.,Species,Accepted,NA,648363-1,142231,0,9,"c(0.5696, 51.293999)",TRUE
104202,GBIF_420,Orchis anthropophora,51.258801,-0.2376,1135469583,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) All.,Nearest Named Place: Buckland Hills,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM001057311,S.N.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142231,Orchis anthropophora,Orchis,anthropophora,(L.) All.,Species,Accepted,NA,648363-1,142231,0,9,"c(-0.2376, 51.258801)",TRUE
104203,GBIF_421,Orchis anthropophora,52.6828,0.616,1135469763,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) All.,Township: Narford,NA,GB,NA,6,1849,PRESERVED_SPECIMEN,NHMUK,BOT,BM001057362,s.n.,Mr B D. Wardale,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142231,Orchis anthropophora,Orchis,anthropophora,(L.) All.,Species,Accepted,NA,648363-1,142231,0,9,"c(0.616, 52.6828)",TRUE
104259,GBIF_478,Orchis mascula,51.092602,0.175,1135472803,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,"Penn's Rocks, Penn's Rocks Cottage (Nr)",NA,GB,NA,5,1943,PRESERVED_SPECIMEN,NHMUK,BOT,BM001110762,s.n.,P M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(0.175, 51.092602)",TRUE
104260,GBIF_479,Orchis mascula,52.238884,-2.162076,1135472821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,VC37: Worcestershire,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM001128333,s.n.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(-2.162076, 52.238884)",TRUE
104261,GBIF_480,Orchis mascula,50.068401,-5.1522,1135472867,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Between Falmouth and The Lizard,NA,GB,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM001128339,s.n.,Mrs Macdonald,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(-5.1522, 50.068401)",TRUE
104262,GBIF_481,Orchis mascula,52.078899,-2.3815,1135472977,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Township: Colwall,NA,GB,NA,5,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM001110743,s.n.,F M. Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(-2.3815, 52.078899)",TRUE
104263,GBIF_482,Orchis purpurea,51.177101,0.967,1135473035,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,Huds.,Nearest Named Place: Wye Downs,NA,GB,NA,5,1878,PRESERVED_SPECIMEN,NHMUK,BOT,BM001110485,s.n.,Frederick Janson Hanbury,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,143136,Orchis purpurea,Orchis,purpurea,Huds.,Species,Accepted,NA,649036-1,143136,0,5,"c(0.967, 51.177101)",TRUE
104264,GBIF_483,Orchis militaris,51.370235,10.87268,1135473094,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,L.,Sondershausen,NA,DE,NA,NA,1887,PRESERVED_SPECIMEN,NHMUK,BOT,BM001164603,s.n.,Theinmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142900,Orchis militaris,Orchis,militaris,L.,Species,Accepted,NA,648875-1,142900,0,2,"c(10.87268, 51.370235)",TRUE
104265,GBIF_484,Orchis mascula,54.255402,-1.2834,1135473129,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Township: Felixkirk,NA,GB,NA,3,1858,PRESERVED_SPECIMEN,NHMUK,BOT,BM001110803,s.n.,John Gilbert Baker,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(-1.2834, 54.255402)",TRUE
104266,GBIF_485,Orchis mascula,56.386799,-4.2049,1135473126,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Nearest Named Place: Loch Earn,NA,GB,NA,6,1833,PRESERVED_SPECIMEN,NHMUK,BOT,BM001164687,s.n.,Campbell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(-4.2049, 56.386799)",TRUE
104267,GBIF_486,Orchis simia,51.5228,-1.1333,1135473349,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,Lam.,Township: Goring,NA,GB,NA,6,1873,PRESERVED_SPECIMEN,NHMUK,BOT,BM001164613,s.n.,A Bennett,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,143249,Orchis simia,Orchis,simia,Lam.,Species,Accepted,NA,649128-1,143249,0,4,"c(-1.1333, 51.5228)",TRUE
104268,GBIF_487,Orchis anthropophora,52.631699,-0.4121,1135473340,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) All.,Township: Barnack,NA,GB,NA,5,1934,PRESERVED_SPECIMEN,NHMUK,BOT,BM001110991,s.n.,Constance L. Wilde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142231,Orchis anthropophora,Orchis,anthropophora,(L.) All.,Species,Accepted,NA,648363-1,142231,0,9,"c(-0.4121, 52.631699)",TRUE
104468,GBIF_695,Orchis militaris,51.626075,-0.491499,1135475821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,L.,"Garett Wood, Springwell",NA,GB,NA,6,1885,PRESERVED_SPECIMEN,NHMUK,BOT,BM000893452,s.n.,John Benbow,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142900,Orchis militaris,Orchis,militaris,L.,Species,Accepted,NA,648875-1,142900,0,2,"c(-0.491499, 51.626075)",TRUE
104488,GBIF_716,Orchis simia,51.340401,0.7316,4413148439,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,Lam.,Nearest Named Place: Sittingbourne (Nr),NA,GB,NA,5,1958,PRESERVED_SPECIMEN,NHMUK,BOT,BM015144271,s.n.,Thomas William James David Dupree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,143249,Orchis simia,Orchis,simia,Lam.,Species,Accepted,NA,649128-1,143249,0,4,"c(0.7316, 51.340401)",TRUE
104555,GBIF_857,Orchis militaris,50.69027,2.07484,4567830363,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,NA,NA,NA,FR,NA,5,2000,PRESERVED_SPECIMEN,NA,NA,NA,without-number,TOUSSAINT Benoît (Conservatoire botanique national de Bailleul),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,142900,Orchis militaris,Orchis,militaris,L.,Species,Accepted,NA,648875-1,142900,2,-1,"c(2.07484, 50.69027)",TRUE
104557,GBIF_859,Orchis purpurea,50.85821,1.87039,4563561267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,NA,NA,NA,FR,NA,NA,1935,PRESERVED_SPECIMEN,NA,NA,NA,without-number,HIMBERT Alfred,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143136,Orchis purpurea,Orchis,purpurea,Huds.,Species,Accepted,NA,649036-1,143136,5,-1,"c(1.87039, 50.85821)",TRUE
106709,GBIF_9918,Orchis italica,34.95,33.19583,2513819287,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,Link,Perivoglia.,NA,CY,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1523312,Sieber s.n.,Sieber,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,142690,Orchis italica,Orchis,italica,Poir.,Species,Accepted,NA,648750-1,142690,4,1,"c(33.19583, 34.95)",TRUE
106802,GBIF_10014,Orchis mascula,50.84663,5.77771,2515607114,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,(L.) L.,Vonckenberg Bemelen.,NA,NL,NA,4,1945,PRESERVED_SPECIMEN,NA,Botany,U.1463771,"Rijven, A 233",Rijven A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,142857,Orchis mascula,Orchis,mascula,(L.) L.,Species,Accepted,NA,648853-1,142857,0,7,"c(5.77771, 50.84663)",TRUE
106803,GBIF_10015,Orchis purpurea,50.81923,5.89102,2517449122,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,Huds.,Gulpen Dolsberg.,NA,NL,NA,5,1945,PRESERVED_SPECIMEN,NA,Botany,U.1463832,"Rijven, A 260",Rijven A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,143136,Orchis purpurea,Orchis,purpurea,Huds.,Species,Accepted,NA,649036-1,143136,0,5,"c(5.89102, 50.81923)",TRUE
107184,GBIF_10408,Orchis purpurea,50.84607,5.91971,2516757969,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,SPECIES,Huds.,in een bosch op den Eyserberg (Krikelenberg) te Eys.,NA,NL,NA,5,1912,PRESERVED_SPECIMEN,NA,Botany,L.3156330,"Jansen, P; Wachter, WH; Henrard, JT s.n.",Jansen P; Wachter WH; Henrard JT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,143136,Orchis purpurea,Orchis,purpurea,Huds.,Species,Accepted,NA,649036-1,143136,0,5,"c(5.91971, 50.84607)",TRUE
